player,team,number,position,height,weight,last_attended,country,profile_url,is_active,is_free_agent,is_retired,headshot_url,birthdate,experience,legacy,draft_year,draft_round,draft_pick,draft_status,player_id
Bam Adebayo,MIA,13,Center-Forward,81.0,255.0,Kentucky,USA,https://www.nba.com/player/1628389/bam-adebayo,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,7.0,False,2017.0,1.0,14.0,Drafted,adebaba01
Kyle Anderson,MIA,20,Forward-Guard,81.0,230.0,UCLA,USA,https://www.nba.com/player/203937/kyle-anderson,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,10.0,False,2014.0,1.0,30.0,Drafted,anderky01
Alec Burks,MIA,18,Guard,77.0,214.0,Colorado,USA,https://www.nba.com/player/202692/alec-burks,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,13.0,False,2011.0,1.0,12.0,Drafted,burksal01
Josh Christopher,MIA,8,Guard,76.0,215.0,Arizona State,USA,https://www.nba.com/player/1630528/josh-christopher,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,2.0,False,2021.0,1.0,24.0,Drafted,chrisjo01
Tyler Herro,MIA,14,Guard,77.0,195.0,Kentucky,USA,https://www.nba.com/player/1629639/tyler-herro,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,5.0,False,2019.0,1.0,13.0,Drafted,herroty01
Haywood Highsmith,MIA,24,Forward,77.0,220.0,Wheeling Jesuit,USA,https://www.nba.com/player/1629312/haywood-highsmith,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,4.0,False,2018.0,1.0,,Drafted,highsha01
Jaime Jaquez Jr.,MIA,11,Guard,78.0,225.0,UCLA,USA,https://www.nba.com/player/1631170/jaime-jaquez-jr,True,False,False,https://cdn.nba.com/headshots/nba/latest/260x190/1641815.png,1980-01-01,1.0,False,2023.0,1.0,18.0,Drafted,jr.ja0100
Keshad Johnson,MIA,16,Forward,79.0,225.0,Arizona,USA,https://www.nba.com/player/1642352/tmp-keshad-johnson,True,False,False,https://cdn.nba.com/headshots/nba/latest/260x190/1641815.png,1980-01-01,,False,0.0,0.0,0.0,UDF,johnske01
Nikola Jović,MIA,5,Forward,82.0,205.0,Mega Basket,Serbia,https://www.nba.com/player/1631107/nikola-jovic,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,1980-01-01,2.0,False,2022.0,1.0,27.0,Drafted,jovićni01
Pelle Larsson,MIA,9,Guard,77.0,215.0,Arizona,Sweden,https://www.nba.com/player/1641796/pelle-larsson,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,,False,2024.0,2.0,44.0,Drafted,larsspe01
