game_id,game_date,away_team,home_team,pf,opp_pf,round,game_no_in_series
42000151,2021-05-23,LAL,PHX,99,90.0,rnd1,1
42000152,2021-05-25,LAL,PHX,102,109.0,rnd1,2
42000153,2021-05-27,PHX,LAL,95,109.0,rnd1,3
42000154,2021-05-30,PHX,LAL,100,92.0,rnd1,4
42000155,2021-06-01,LAL,PHX,115,85.0,rnd1,5
42000156,2021-06-03,PHX,LAL,113,100.0,rnd1,6
42000231,2021-06-07,DEN,PHX,122,105.0,sf,1
42000232,2021-06-09,DEN,PHX,123,98.0,sf,2
42000233,2021-06-11,PHX,DEN,116,102.0,sf,3
42000234,2021-06-13,PHX,DEN,125,118.0,sf,4
42000311,2021-06-20,LAC,PHX,120,114.0,conf,1
42000312,2021-06-22,LAC,PHX,104,103.0,conf,2
42000313,2021-06-24,PHX,LAC,92,106.0,conf,3
42000314,2021-06-26,PHX,LAC,84,80.0,conf,4
42000315,2021-06-28,LAC,PHX,102,116.0,conf,5
42000316,2021-06-30,PHX,LAC,130,103.0,conf,6
42000401,2021-07-06,MIL,PHX,118,105.0,finals,1
42000402,2021-07-08,MIL,PHX,118,108.0,finals,2
42000403,2021-07-11,PHX,MIL,100,120.0,finals,3
42000404,2021-07-14,PHX,MIL,103,109.0,finals,4
42000405,2021-07-17,MIL,PHX,119,123.0,finals,5
42000406,2021-07-20,PHX,MIL,98,105.0,finals,6
