player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,e_off_rating,off_rating,sp_work_off_rating,e_def_rating,def_rating,sp_work_def_rating,e_net_rating,net_rating,sp_work_net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,e_usg_pct,e_pace,pace,pace_per40,sp_work_pace,pie,poss,fgm,fga,fgm_pg,fga_pg,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,e_off_rating_rank,off_rating_rank,sp_work_off_rating_rank,e_def_rating_rank,def_rating_rank,sp_work_def_rating_rank,e_net_rating_rank,net_rating_rank,sp_work_net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,e_tov_pct_rank,efg_pct_rank,ts_pct_rank,usg_pct_rank,e_usg_pct_rank,e_pace_rank,pace_rank,sp_work_pace_rank,pie_rank,fgm_rank,fga_rank,fgm_pg_rank,fga_pg_rank,fg_pct_rank,team
203085,Austin Rivers,Austin,1610612745,HOU,26.0,76,45,31,0.592,26.7,111.2,111.6,111.6,108.3,109.1,109.1,2.9,2.5,2.5,0.12,2.46,19.7,0.012,0.065,0.038,8.0,8.0,0.497,0.503,0.142,0.146,101.64,101.09,84.24,101.09,0.042,4269,232,572,3.1,7.5,0.406,88,70,335,166,143,81,83,83,280,312,312,144,152,152,237,93,165,468,486,496,142,143,332,392,410,414,308,344,344,473,171,149,217,189,384,HOU
2546,Carmelo Anthony,Carmelo,1610612745,HOU,35.0,10,4,6,0.4,29.4,99.8,102.3,102.3,111.4,112.2,112.2,-11.6,-9.9,-9.9,0.028,0.63,3.5,0.027,0.158,0.088,5.6,5.6,0.492,0.513,0.199,0.202,101.47,99.87,83.23,99.87,0.074,611,49,121,4.9,12.1,0.405,463,459,76,377,92,471,416,416,428,445,445,477,464,464,504,482,506,278,154,215,50,50,346,374,164,176,324,428,428,341,388,382,112,82,388,HOU
1629185,Chris Chiozza,Chris,1610612745,HOU,23.0,7,6,1,0.857,4.6,91.8,83.8,83.8,108.1,108.8,108.8,-16.2,-25.0,-25.0,0.19,4.0,30.8,0.021,0.111,0.053,7.7,7.7,0.375,0.375,0.108,0.118,100.33,104.75,87.3,104.75,0.051,74,2,8,0.3,1.1,0.25,477,450,9,13,505,510,513,513,268,294,294,506,517,517,126,14,36,342,309,413,120,123,486,498,503,499,412,119,119,452,507,500,513,510,508,HOU
101108,Chris Paul,Chris,1610612745,HOU,34.0,58,39,19,0.672,32.0,111.9,112.4,112.4,104.8,104.2,104.2,7.1,8.3,8.3,0.382,3.11,33.1,0.019,0.123,0.07,10.6,10.6,0.508,0.56,0.22,0.226,100.3,100.37,83.64,100.37,0.138,3873,302,720,5.2,12.4,0.419,248,118,183,76,48,70,67,67,125,99,99,63,43,43,10,40,24,374,261,303,341,342,275,216,114,119,416,405,405,52,118,102,97,72,330,HOU
203991,Clint Capela,Clint,1610612745,HOU,25.0,67,44,23,0.657,33.6,113.2,114.0,114.0,107.5,108.7,108.7,5.7,5.4,5.4,0.07,1.02,9.3,0.13,0.241,0.185,9.1,9.1,0.648,0.658,0.18,0.183,99.1,98.21,81.84,98.21,0.156,4594,474,732,7.1,10.9,0.648,179,77,230,94,32,49,39,39,235,281,281,83,88,88,400,410,444,13,30,18,221,224,17,18,227,235,489,502,502,28,50,98,38,101,13,HOU
1627863,Danuel House Jr.,Danuel,1610612745,HOU,26.0,39,27,12,0.692,25.1,117.0,117.2,117.2,107.2,108.3,108.3,9.8,8.9,8.9,0.058,1.14,11.2,0.025,0.112,0.069,9.8,9.8,0.615,0.646,0.137,0.141,101.22,100.67,83.89,100.67,0.074,2046,118,252,3.0,6.5,0.468,354,229,125,65,174,16,13,13,226,263,263,34,36,36,446,387,393,299,304,310,282,281,38,26,431,435,342,384,384,338,290,305,221,241,181,HOU
201569,Eric Gordon,Eric,1610612745,HOU,30.0,68,44,24,0.647,31.7,114.7,116.2,116.2,107.1,108.1,108.1,7.6,8.1,8.1,0.09,1.43,10.6,0.007,0.059,0.033,7.4,7.4,0.525,0.549,0.215,0.219,100.93,99.87,83.22,99.87,0.07,4483,384,938,5.6,13.8,0.409,165,77,245,103,57,28,20,20,221,256,256,51,48,48,330,301,412,493,496,510,100,101,218,255,131,139,364,429,429,360,77,59,80,52,373,HOU
1629109,Gary Clark,Gary,1610612745,HOU,24.0,51,33,18,0.647,12.6,110.0,111.8,111.8,109.8,109.8,109.8,0.2,2.0,2.0,0.04,2.57,10.1,0.035,0.144,0.087,3.9,3.9,0.467,0.48,0.106,0.108,100.54,99.73,83.11,99.73,0.061,1331,50,151,1.0,3.0,0.331,284,169,168,103,394,124,79,79,363,346,346,216,164,164,498,86,425,232,198,221,30,30,411,444,506,509,390,435,435,408,384,364,469,436,486,HOU
101123,Gerald Green,Gerald,1610612745,HOU,33.0,73,47,26,0.644,20.2,113.4,114.0,114.0,109.5,109.3,109.3,4.0,4.6,4.6,0.041,0.73,5.7,0.019,0.1,0.059,7.9,7.8,0.535,0.555,0.19,0.196,100.79,100.58,83.82,100.58,0.066,3081,231,578,3.2,7.9,0.4,124,51,262,108,247,44,40,40,338,322,322,116,98,98,495,472,496,360,356,369,132,131,183,231,193,185,375,393,393,385,173,147,211,181,410,HOU
202697,Iman Shumpert,Iman,1610612745,HOU,29.0,62,39,23,0.629,23.9,108.1,109.1,109.1,109.3,110.5,110.5,-1.2,-1.4,-1.4,0.098,2.24,17.8,0.016,0.101,0.057,8.0,8.0,0.481,0.499,0.143,0.145,104.88,103.82,86.52,103.82,0.057,3202,167,446,2.7,7.2,0.374,224,118,230,120,185,196,175,175,330,376,376,264,270,270,304,132,207,406,352,385,136,138,370,407,408,417,112,177,177,415,251,208,262,203,449,HOU
