season,team_id,game_id,game_date,away_team,home_team,opponent,opponent_id,game_no,pf,opp_pf,wl,differential
2020-21,1610612758,22000019,2020-12-23,SAC,DEN,DEN,1610612743,1,124,122,W,2
2020-21,1610612758,22000030,2020-12-26,PHX,SAC,PHX,1610612756,2,106,103,W,3
2020-21,1610612758,22000039,2020-12-27,PHX,SAC,PHX,1610612756,3,100,116,L,-16
2020-21,1610612758,22000055,2020-12-29,DEN,SAC,DEN,1610612743,4,125,115,W,10
2020-21,1610612758,22000065,2020-12-31,SAC,HOU,HOU,1610612745,5,119,122,L,-3
2020-21,1610612758,22000079,2021-01-02,SAC,HOU,HOU,1610612745,6,94,102,L,-8
2020-21,1610612758,22000101,2021-01-04,SAC,GSW,GSW,1610612744,7,106,137,L,-31
2020-21,1610612758,22000117,2021-01-06,CHI,SAC,CHI,1610612741,8,128,124,W,4
2020-21,1610612758,22000132,2021-01-08,TOR,SAC,TOR,1610612761,9,123,144,L,-21
2020-21,1610612758,22000140,2021-01-09,POR,SAC,POR,1610612757,10,99,125,L,-26
2020-21,1610612758,22000156,2021-01-11,IND,SAC,IND,1610612754,11,127,122,W,5
2020-21,1610612758,22000173,2021-01-13,POR,SAC,POR,1610612757,12,126,132,L,-6
2020-21,1610612758,22000188,2021-01-15,LAC,SAC,LAC,1610612746,13,100,138,L,-38
2020-21,1610612758,22000201,2021-01-17,NOP,SAC,NOP,1610612740,14,123,128,L,-5
2020-21,1610612758,22000224,2021-01-20,SAC,LAC,LAC,1610612746,15,96,115,L,-19
2020-21,1610612758,22000241,2021-01-22,NYK,SAC,NYK,1610612752,16,103,94,W,9
2020-21,1610612758,22000273,2021-01-27,SAC,ORL,ORL,1610612753,17,121,107,W,14
2020-21,1610612758,22000292,2021-01-29,SAC,TOR,TOR,1610612761,18,126,124,W,2
2020-21,1610612758,22000301,2021-01-30,SAC,MIA,MIA,1610612748,19,104,105,L,-1
2020-21,1610612758,22000317,2021-02-01,SAC,NOP,NOP,1610612740,20,118,109,W,9
2020-21,1610612758,22000336,2021-02-03,BOS,SAC,BOS,1610612738,21,116,111,W,5
2020-21,1610612758,22000352,2021-02-06,DEN,SAC,DEN,1610612743,22,119,114,W,5
2020-21,1610612758,22000366,2021-02-07,SAC,LAC,LAC,1610612746,23,113,110,W,3
2020-21,1610612758,22000381,2021-02-09,PHI,SAC,PHI,1610612755,24,111,119,L,-8
2020-21,1610612758,22000405,2021-02-12,ORL,SAC,ORL,1610612753,25,112,123,L,-11
2020-21,1610612758,22000418,2021-02-14,MEM,SAC,MEM,1610612763,26,110,124,L,-14
2020-21,1610612758,22000426,2021-02-15,BKN,SAC,BKN,1610612751,27,125,136,L,-11
2020-21,1610612758,22000447,2021-02-18,MIA,SAC,MIA,1610612748,28,110,118,L,-8
2020-21,1610612758,22000460,2021-02-20,SAC,CHI,CHI,1610612741,29,114,122,L,-8
2020-21,1610612758,22000471,2021-02-21,SAC,MIL,MIL,1610612749,30,115,128,L,-13
2020-21,1610612758,22000482,2021-02-23,SAC,BKN,BKN,1610612751,31,118,127,L,-9
2020-21,1610612758,22000500,2021-02-25,SAC,NYK,NYK,1610612752,32,121,140,L,-19
2020-21,1610612758,22000504,2021-02-26,SAC,DET,DET,1610612765,33,110,107,W,3
2020-21,1610612758,22000528,2021-02-28,CHA,SAC,CHA,1610612766,34,126,127,L,-1
2020-21,1610612758,22000551,2021-03-03,LAL,SAC,LAL,1610612747,35,123,120,W,3
2020-21,1610612758,22000558,2021-03-04,SAC,POR,POR,1610612757,36,119,123,L,-4
2020-21,1610612758,22000578,2021-03-11,HOU,SAC,HOU,1610612745,37,125,105,W,20
2020-21,1610612758,22000590,2021-03-13,SAC,ATL,ATL,1610612737,38,106,121,L,-15
2020-21,1610612758,22000602,2021-03-15,SAC,CHA,CHA,1610612766,39,116,122,L,-6
2020-21,1610612758,22000619,2021-03-17,SAC,WAS,WAS,1610612764,40,121,119,W,2
2020-21,1610612758,22000631,2021-03-19,SAC,BOS,BOS,1610612738,41,107,96,W,11
2020-21,1610612758,22000641,2021-03-20,SAC,PHI,PHI,1610612755,42,105,129,L,-24
2020-21,1610612758,22000653,2021-03-22,SAC,CLE,CLE,1610612739,43,119,105,W,14
2020-21,1610612758,22000677,2021-03-24,ATL,SAC,ATL,1610612737,44,110,108,W,2
2020-21,1610612758,22000682,2021-03-25,GSW,SAC,GSW,1610612744,45,141,119,W,22
2020-21,1610612758,22000702,2021-03-27,CLE,SAC,CLE,1610612739,46,100,98,W,2
2020-21,1610612758,22000714,2021-03-29,SAC,SAS,SAS,1610612759,47,132,115,W,17
2020-21,1610612758,22000728,2021-03-31,SAC,SAS,SAS,1610612759,48,106,120,L,-14
2020-21,1610612758,22000746,2021-04-02,LAL,SAC,LAL,1610612747,49,94,115,L,-21
2020-21,1610612758,22000754,2021-04-03,MIL,SAC,MIL,1610612749,50,128,129,L,-1
2020-21,1610612758,22000765,2021-04-05,SAC,MIN,MIN,1610612750,51,106,116,L,-10
2020-21,1610612758,22000789,2021-04-08,DET,SAC,DET,1610612765,52,101,113,L,-12
2020-21,1610612758,22000801,2021-04-10,SAC,UTA,UTA,1610612762,53,112,128,L,-16
2020-21,1610612758,22000819,2021-04-12,SAC,NOP,NOP,1610612740,54,110,117,L,-7
2020-21,1610612758,22000839,2021-04-14,WAS,SAC,WAS,1610612764,55,111,123,L,-12
2020-21,1610612758,22000843,2021-04-15,SAC,PHX,PHX,1610612756,56,114,122,L,-8
2020-21,1610612758,22000866,2021-04-18,SAC,DAL,DAL,1610612742,57,121,107,W,14
2020-21,1610612758,22000880,2021-04-20,MIN,SAC,MIN,1610612750,58,120,134,L,-14
2020-21,1610612758,22000891,2021-04-21,MIN,SAC,MIN,1610612750,59,128,125,W,3
2020-21,1610612758,22000915,2021-04-25,SAC,GSW,GSW,1610612744,60,113,117,L,-4
2020-21,1610612758,22000926,2021-04-26,DAL,SAC,DAL,1610612742,61,113,106,W,7
2020-21,1610612758,22000942,2021-04-28,UTA,SAC,UTA,1610612762,62,105,154,L,-49
2020-21,1610612758,22000956,2021-04-30,SAC,LAL,LAL,1610612747,63,110,106,W,4
2020-21,1610612758,22000970,2021-05-02,SAC,DAL,DAL,1610612742,64,111,99,W,12
2020-21,1610612758,22000988,2021-05-04,SAC,OKC,OKC,1610612760,65,103,99,W,4
2020-21,1610612758,22000993,2021-05-05,SAC,IND,IND,1610612754,66,104,93,W,11
2020-21,1610612758,22001011,2021-05-07,SAS,SAC,SAS,1610612759,67,104,113,L,-9
2020-21,1610612758,22001025,2021-05-09,OKC,SAC,OKC,1610612760,68,126,98,W,28
2020-21,1610612758,22001040,2021-05-11,OKC,SAC,OKC,1610612760,69,122,106,W,16
2020-21,1610612758,22000255,2021-05-13,SAC,MEM,MEM,1610612763,70,110,116,L,-6
2020-21,1610612758,22000263,2021-05-14,SAC,MEM,MEM,1610612763,71,106,107,L,-1
2020-21,1610612758,22001077,2021-05-16,UTA,SAC,UTA,1610612762,72,99,121,L,-22
