Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,-9999
Toumani Camara,24.0,POR,PF,78.0,78.0,2548.0,0.458,0.542,0.375,0.552,0.722,0.572,0.176,0.503,98.0,99.0,104.0,102.0,93.0,99.0,72.0,119.0,13.3,-7.0,camarto01
Pascal Siakam,30.0,IND,PF,78.0,78.0,2548.0,0.519,0.568,0.389,0.572,0.734,0.599,0.261,0.274,111.0,104.0,108.0,105.0,94.0,104.0,107.0,65.0,68.2,59.7,siakapa01
Brook Lopez,36.0,MIL,C,80.0,80.0,2546.0,0.509,0.636,0.373,0.599,0.826,0.624,0.178,0.482,109.0,117.0,103.0,110.0,106.0,108.0,73.0,114.0,86.3,79.1,lopezbr01
Karl-Anthony Towns,29.0,NYK,C,72.0,72.0,2517.0,0.526,0.567,0.42,0.584,0.829,0.63,0.337,0.278,113.0,104.0,117.0,108.0,106.0,109.0,139.0,66.0,100.3,151.5,townska01
Bub Carrington,19.0,WAS,PG,82.0,57.0,2458.0,0.401,0.475,0.339,0.493,0.812,0.514,0.114,0.544,86.0,87.0,94.0,91.0,104.0,89.0,47.0,129.0,-74.4,-98.1,carrica01
Cade Cunningham,23.0,DET,PG,70.0,70.0,2452.0,0.469,0.515,0.356,0.521,0.846,0.565,0.254,0.287,100.0,94.0,99.0,96.0,108.0,98.0,105.0,68.0,-65.5,-36.6,cunnica01
Tyrese Haliburton,24.0,IND,PG,73.0,73.0,2451.0,0.473,0.581,0.388,0.582,0.851,0.616,0.221,0.559,101.0,107.0,108.0,107.0,109.0,107.0,91.0,133.0,77.3,87.1,halibty01
Coby White,24.0,CHI,SG,74.0,73.0,2450.0,0.453,0.544,0.37,0.55,0.902,0.601,0.274,0.521,97.0,100.0,103.0,101.0,116.0,104.0,113.0,124.0,14.4,61.5,whiteco01
LeBron James,40.0,LAL,SF,70.0,70.0,2444.0,0.513,0.574,0.376,0.571,0.782,0.604,0.261,0.312,110.0,105.0,104.0,105.0,100.0,105.0,107.0,74.0,71.6,78.6,jamesle01
Domantas Sabonis,28.0,SAC,C,70.0,70.0,2429.0,0.59,0.627,0.417,0.627,0.754,0.655,0.324,0.175,126.0,115.0,116.0,115.0,97.0,114.0,133.0,41.0,149.1,161.4,sabondo01
