"PLAYER","TEAM","NUMBER","POSITION","HEIGHT","WEIGHT","LAST ATTENDED","COUNTRY"
"Precious Achiuwa","NYK","5","F","6-8","243 lbs","Memphis","Nigeria"
"Steven Adams","HOU","12","C","6-11","265 lbs","Pittsburgh","New Zealand"
"Bam Adebayo","MIA","13","C-F","6-9","255 lbs","Kentucky","USA"
"Ochai Agbaji","TOR","30","G","6-5","215 lbs","Kansas","USA"
"Santi Aldama","MEM","7","F-C","7-0","215 lbs","Loyola-Maryland","Spain"
"Trey Alexander","DEN","23","G","6-4","185 lbs","Creighton","USA"
"Nickeil Alexander-Walker","MIN","9","G","6-5","205 lbs","Virginia Tech","Canada"
"Grayson Allen","PHX","8","G","6-4","198 lbs","Duke","USA"
"Jarrett Allen","CLE","31","C","6-9","243 lbs","Texas","USA"
"Jose Alvarado","NOP","15","G","6-0","179 lbs","Georgia Tech","USA"
"Kyle Anderson","MIA","20","F-G","6-9","230 lbs","UCLA","USA"
"Giannis Antetokounmpo","MIL","34","F","6-11","243 lbs","Filathlitikos","Greece"
"Cole Anthony","ORL","50","G","6-2","185 lbs","North Carolina","USA"
"OG Anunoby","NYK","8","F-G","6-7","240 lbs","Indiana","United Kingdom"
"Taran Armstrong","GSW","1","G","6-5","190 lbs","Cairns, Australia","Australia"
"Deni Avdija","POR","8","F","6-9","240 lbs","Maccabi Tel Aviv","Israel"
"Deandre Ayton","POR","2","C","7-0","252 lbs","Arizona","Bahamas"
"Marcus Bagley","","","F","6-6","217 lbs","Arizona State","USA"
"Marvin Bagley III","MEM","35","F","6-10","235 lbs","Duke","USA"
"Patrick Baldwin Jr.","LAC","23","F","6-9","220 lbs","Wisconsin-Milwaukee","USA"
"LaMelo Ball","CHA","1","G","6-7","180 lbs","Illawarra","USA"
"Lonzo Ball","CHI","2","G","6-6","190 lbs","UCLA","USA"
"Mo Bamba","","","C","7-0","231 lbs","Texas","USA"
"Paolo Banchero","ORL","5","F","6-10","250 lbs","Duke","USA"
"Desmond Bane","MEM","22","G","6-5","215 lbs","TCU","USA"
"Dalano Banton","POR","5","F","6-8","203 lbs","Nebraska","Canada"
"Dominick Barlow","ATL","26","F","6-8","215 lbs","Overtime Elite","USA"
"Harrison Barnes","SAS","40","F","6-8","225 lbs","North Carolina","USA"
"Scottie Barnes","TOR","4","F-G","6-7","237 lbs","Florida State","USA"
"RJ Barrett","TOR","9","F-G","6-6","214 lbs","Duke","Canada"
"Charles Bassey","SAS","28","C-F","6-10","230 lbs","Western Kentucky","Nigeria"
"Emoni Bates","CLE","21","F","6-8","202 lbs","Eastern Michigan","USA"
"Jamison Battle","TOR","77","F","6-7","220 lbs","Ohio State","USA"
"Nicolas Batum","LAC","33","G-F","6-8","230 lbs","Le Mans","France"
"Damion Baugh","CHA","7","G","6-4","194 lbs","TCU","USA"
"Bradley Beal","PHX","3","G","6-4","207 lbs","Florida","USA"
"Malik Beasley","DET","5","G","6-4","187 lbs","Florida State","USA"
"MarJon Beauchamp","NYK","0","F","6-7","199 lbs","NBA G League Ignite","USA"
"Reece Beekman","BKN","4","G","6-3","190 lbs","Virginia","USA"
"Saddiq Bey","WAS","14","G-F","6-7","215 lbs","Villanova","USA"
"Goga Bitadze","ORL","35","C-F","6-10","250 lbs","Mega Basket","Georgia"
"Bismack Biyombo","SAS","15","C","6-8","255 lbs","Baloncesto Fuenlabrada","DRC"
"Anthony Black","ORL","0","G","6-7","200 lbs","Arkansas","USA"
"Bogdan Bogdanović","LAC","10","G","6-5","225 lbs","Fenerbahce","Serbia"
"Bol Bol","PHX","11","C-F","7-3","220 lbs","Oregon","Sudan"
"Adem Bona","PHI","30","F","6-10","235 lbs","UCLA","Nigeria"
"Devin Booker","PHX","1","G","6-6","206 lbs","Kentucky","USA"
"Brandon Boston","NOP","11","G","6-6","188 lbs","Kentucky","USA"
"Chris Boucher","TOR","25","F","6-9","200 lbs","Oregon","Saint Lucia"
"Jamaree Bouyea","MIL","15","G","6-2","180 lbs","San Francisco","USA"
"Tony Bradley","IND","13","C-F","6-11","248 lbs","North Carolina","USA"
"Malaki Branham","SAS","22","F","6-4","180 lbs","Ohio State","USA"
"Christian Braun","DEN","0","G","6-6","220 lbs","Kansas","USA"
"Jalen Bridges","PHX","15","F","6-8","225 lbs","Baylor","USA"
"Mikal Bridges","NYK","25","G-F","6-6","209 lbs","Villanova","USA"
"Miles Bridges","CHA","0","F","6-7","225 lbs","Michigan State","USA"
"Oshae Brissett","","","F-G","6-7","210 lbs","Syracuse","Canada"
