"PLAYER","TEAM","NUMBER","POSITION","HEIGHT","WEIGHT","LAST ATTENDED","COUNTRY"
"Malcolm Brogdon","WAS","15","G","6-4","229 lbs","Virginia","USA"
"Dillon Brooks","HOU","9","G-F","6-6","225 lbs","Oregon","Canada"
"Keion Brooks Jr.","NOP","","F","6-7","210 lbs","Washington","USA"
"Bruce Brown","NOP","00","G-F","6-4","202 lbs","Miami","USA"
"Jaylen Brown","BOS","7","G-F","6-6","223 lbs","California","USA"
"Kobe Brown","LAC","21","F","6-7","250 lbs","Missouri","USA"
"Moses Brown","","","C","7-2","258 lbs","UCLA","USA"
"Jalen Brunson","NYK","11","G","6-2","190 lbs","Villanova","USA"
"Thomas Bryant","IND","3","C-F","6-10","248 lbs","Indiana","USA"
"Kobe Bufkin","ATL","4","G","6-4","195 lbs","Michigan","USA"
"Alec Burks","MIA","18","G","6-5","214 lbs","Colorado","USA"
"Jared Butler","PHI","12","G","6-3","193 lbs","Baylor","USA"
"Jimmy Butler III","GSW","10","F","6-7","230 lbs","Marquette","USA"
"Matas Buzelis","CHI","14","F","6-10","209 lbs","NBA G League Ignite","USA"
"Jamal Cain","NOP","8","F","6-6","191 lbs","Oakland","USA"
"Kentavious Caldwell-Pope","ORL","3","G","6-5","204 lbs","Georgia","USA"
"Toumani Camara","POR","33","F","6-7","229 lbs","Dayton","Belgium"
"Vlatko Čančar","DEN","31","F","6-8","236 lbs","San Pablo Burgos","Slovenia"
"Clint Capela","ATL","15","C","6-10","256 lbs","Elan Chalon","Switzerland"
"Branden Carlson","OKC","15","C","7-0","220 lbs","Utah","USA"
"Bub Carrington","WAS","8","G","6-4","190 lbs","Pittsburgh","USA"
"Devin Carter","SAC","22","G","6-2","195 lbs","Providence","USA"
"Jevon Carter","CHI","5","G","6-1","200 lbs","West Virginia","USA"
"Wendell Carter Jr.","ORL","34","C-F","6-10","270 lbs","Duke","USA"
"D.J. Carton","","","G","6-3","200 lbs","Marquette","USA"
"Alex Caruso","OKC","9","G","6-5","186 lbs","Texas A&M","USA"
"Stephon Castle","SAS","5","G","6-6","215 lbs","Connecticut","USA"
"Colin Castleton","TOR","11","C","6-10","250 lbs","Florida","USA"
"Julian Champagnie","SAS","30","F","6-7","217 lbs","St. John's","USA"
"Justin Champagnie","WAS","9","G-F","6-6","206 lbs","Pittsburgh","USA"
"Ulrich Chomche","TOR","22","C","6-11","235 lbs","NBA Global Academy","Cameroon"
"Cam Christie","LAC","12","G","6-6","190 lbs","Minnesota","USA"
"Max Christie","DAL","00","G","6-5","190 lbs","Michigan State","USA"
"Josh Christopher","MIA","8","G","6-4","215 lbs","Arizona State","USA"
"Sidy Cissoko","POR","25","G","6-6","200 lbs","NBA G League Ignite","France"
"Jaylen Clark","MIN","22","G","6-4","205 lbs","UCLA","USA"
"Brandon Clarke","MEM","15","F","6-8","215 lbs","Gonzaga","Canada"
"Jordan Clarkson","UTA","00","G","6-3","194 lbs","Missouri","USA"
"Nic Claxton","BKN","33","C","6-11","215 lbs","Georgia","USA"
"Donovan Clingan","POR","23","C","7-2","280 lbs","Connecticut","USA"
"Noah Clowney","BKN","21","F-C","6-9","210 lbs","Alabama","USA"
"Amir Coffey","LAC","7","G-F","6-7","210 lbs","Minnesota","USA"
"Isaiah Collier","UTA","13","G","6-3","210 lbs","Southern California","USA"
"John Collins","UTA","20","F-C","6-9","226 lbs","Wake Forest","USA"
"Yuri Collins","","","G","6-0","190 lbs","St. Louis","USA"
"Zach Collins","CHI","12","F-C","6-11","250 lbs","Gonzaga","USA"
"Mike Conley","MIN","10","G","6-0","175 lbs","Ohio State","USA"
"Pat Connaughton","MIL","24","G","6-5","209 lbs","Notre Dame","USA"
"Bilal Coulibaly","WAS","0","G","6-8","195 lbs","Metropolitans 92","France"
"Ricky Council IV","PHI","14","G","6-6","207 lbs","Arkansas","USA"
"Torrey Craig","BOS","12","F","6-5","221 lbs","South Carolina Upstate","USA"
"Isaiah Crawford","SAC","24","F","6-6","220 lbs","Louisiana Tech","USA"
"Jae Crowder","SAC","99","F","6-6","235 lbs","Marquette","USA"
"Cade Cunningham","DET","2","G","6-6","220 lbs","Oklahoma State","USA"
"Seth Curry","CHA","30","G","6-1","185 lbs","Duke","USA"
"Stephen Curry","GSW","30","G","6-2","185 lbs","Davidson","USA"
"Tristan da Silva","ORL","23","F","6-8","217 lbs","Colorado","Germany"
"Pacôme Dadiet","NYK","4","F","6-8","210 lbs","Ratiopharm Ulm","France"
"Dyson Daniels","ATL","5","G","6-7","199 lbs","NBA G League Ignite","Australia"
"N'Faly Dante","HOU","3","C","6-11","230 lbs","Oregon","Mali"
"Anthony Davis","DAL","3","F-C","6-10","253 lbs","Kentucky","USA"
"Johnny Davis","","","G","6-4","195 lbs","Wisconsin","USA"
"Terence Davis","SAC","3","G","6-4","201 lbs","Mississippi","USA"
"JD Davison","BOS","20","G","6-1","195 lbs","Alabama","USA"
"RayJ Dennis","IND","10","G","6-2","180 lbs","Baylor","USA"
"DeMar DeRozan","SAC","10","G-F","6-6","220 lbs","Southern California","USA"
"Moussa Diabaté","CHA","14","F","6-9","210 lbs","Michigan","France"
"Gradey Dick","TOR","1","G-F","6-6","200 lbs","Kansas","USA"
"Ousmane Dieng","OKC","13","F","6-9","185 lbs","New Zealand Breakers","France"
"Rob Dillingham","MIN","4","G","6-3","175 lbs","Kentucky","USA"
"Spencer Dinwiddie","DAL","26","G","6-5","215 lbs","Colorado","USA"
"Donte DiVincenzo","MIN","0","G","6-4","203 lbs","Villanova","USA"
"Luka Dončić","LAL","77","F-G","6-6","230 lbs","Real Madrid","Slovenia"
"Luguentz Dort","OKC","5","G","6-4","220 lbs","Arizona State","Canada"
"Ayo Dosunmu","CHI","11","G","6-5","200 lbs","Illinois","USA"
"Jeff Dowtin Jr.","PHI","11","G","6-3","177 lbs","Rhode Island","USA"
"PJ Dozier","","","G-F","6-6","205 lbs","South Carolina","USA"
"Andre Drummond","PHI","1","C","6-11","279 lbs","Connecticut","USA"
"Chris Duarte","","","G","6-5","190 lbs","Oregon","Dominican Republic"
"Alex Ducas","OKC","88","G","6-7","220 lbs","St.Mary's College of California","Australia"
"David Duke Jr.","SAS","7","G","6-4","204 lbs","Providence","USA"
"Kris Dunn","LAC","8","G","6-3","205 lbs","Providence","USA"
"Ryan Dunn","PHX","0","F","6-8","216 lbs","Virginia","USA"
"Kevin Durant","PHX","35","F","6-11","240 lbs","Texas","USA"
"Jalen Duren","DET","0","C","6-10","250 lbs","Memphis","USA"
"Tari Eason","HOU","17","F","6-8","215 lbs","Louisiana State","USA"
"Zach Edey","MEM","14","C","7-4","305 lbs","Purdue","Canada"
"Anthony Edwards","MIN","5","G","6-4","225 lbs","Georgia","USA"
"Jesse Edwards","MIN","14","C","7-0","236 lbs","West Virginia","Netherlands"
"Justin Edwards","PHI","19","F","6-7","203 lbs","Kentucky","USA"
"Kessler Edwards","DAL","20","F","6-7","203 lbs","Pepperdine","USA"
"Keon Ellis","SAC","23","G","6-4","175 lbs","Alabama","USA"
"Joel Embiid","PHI","21","C-F","7-0","280 lbs","Kansas","Cameroon"
"Tyson Etienne","BKN","10","G","6-2","200 lbs","Wichita State","USA"
"Drew Eubanks","LAC","15","F-C","6-10","245 lbs","Oregon State","USA"
"Tosan Evbuomwan","BKN","12","F","6-7","217 lbs","Princeton","United Kingdom"
"Danté Exum","DAL","0","G","6-5","214 lbs","Australian Institute of Sport","Australia"
"Bruno Fernando","","","F-C","6-9","240 lbs","Maryland","Angola"
"Kyle Filipowski","UTA","22","C","6-11","250 lbs","Duke","USA"
"Dorian Finney-Smith","LAL","17","F","6-7","220 lbs","Florida","USA"
"Adam Flagler","OKC","14","G","6-3","180 lbs","Baylor","USA"
"Trentyn Flowers","LAC","9","F","6-9","185 lbs","Adelaide","USA"
"Malachi Flynn","","","G","6-1","185 lbs","San Diego State","USA"
"Simone Fontecchio","DET","19","F","6-7","209 lbs","Baskonia","Italy"
"De'Aaron Fox","SAS","4","G","6-3","185 lbs","Kentucky","USA"
"Enrique Freeman","IND","8","F","6-7","220 lbs","Akron","USA"
"Markelle Fultz","SAC","20","G","6-4","209 lbs","Washington","USA"
"Johnny Furphy","IND","12","G","6-9","200 lbs","Kansas","Australia"
"Daniel Gafford","DAL","21","F-C","6-10","265 lbs","Arkansas","USA"
"Darius Garland","CLE","10","G","6-1","192 lbs","Vanderbilt","USA"
"Marcus Garrett","","","G","6-5","205 lbs","Kansas","USA"
"Luka Garza","MIN","55","C","6-10","243 lbs","Iowa","USA"
"Keyonte George","UTA","3","G","6-4","185 lbs","Baylor","USA"
"Kyshawn George","WAS","18","F","6-8","200 lbs","Miami","Switzerland"
"Paul George","PHI","8","F","6-8","220 lbs","Fresno State","USA"
"Taj Gibson","CHA","67","F","6-9","232 lbs","Southern California","USA"
"Josh Giddey","CHI","3","G","6-8","216 lbs","NBA Global Academy","Australia"
"Shai Gilgeous-Alexander","OKC","2","G","6-6","195 lbs","Kentucky","Canada"
"Anthony Gill","WAS","16","F","6-8","230 lbs","Virginia","USA"
"Collin Gillespie","PHX","12","G","6-1","195 lbs","Villanova","USA"
"Rudy Gobert","MIN","27","C","7-1","258 lbs","Cholet","France"
"Jordan Goodwin","LAL","30","G","6-5","215 lbs","St. Louis","USA"
"Aaron Gordon","DEN","32","F","6-8","235 lbs","Arizona","USA"
"Eric Gordon","PHI","23","G","6-3","215 lbs","Indiana","USA"
"Jazian Gortman","","","G","6-2","184 lbs","Overtime Elite","USA"
"Jerami Grant","POR","9","F","6-7","210 lbs","Syracuse","USA"
"AJ Green","MIL","20","G","6-4","190 lbs","Northern Iowa","USA"
"Draymond Green","GSW","23","F","6-6","230 lbs","Michigan State","USA"
"Jalen Green","HOU","4","G","6-4","186 lbs","NBA G League Ignite","USA"
"Javonte Green","CLE","8","G","6-5","205 lbs","Radford","USA"
"Jeff Green","HOU","32","F","6-8","235 lbs","Georgetown","USA"
"Josh Green","CHA","10","G","6-5","200 lbs","Arizona","Australia"
"Quentin Grimes","PHI","5","G","6-4","210 lbs","Houston","USA"
"Mouhamed Gueye","ATL","18","F","6-10","210 lbs","Washington State","Senegal"
"Rui Hachimura","LAL","28","F","6-8","230 lbs","Gonzaga","Japan"
"Tyrese Haliburton","IND","0","G","6-5","185 lbs","Iowa State","USA"
"PJ Hall","DEN","13","C","6-10","245 lbs","Clemson","USA"
"Tim Hardaway Jr.","DET","8","G-F","6-5","205 lbs","Michigan","USA"
"James Harden","LAC","1","G","6-5","220 lbs","Arizona State","USA"
"Jaden Hardy","DAL","1","G","6-3","198 lbs","NBA G League Ignite","USA"
"Elijah Harkless","UTA","16","G","6-3","195 lbs","UNLV","USA"
"Ron Harper Jr.","DET","13","G-F","6-4","233 lbs","Rutgers","USA"
"Gary Harris","ORL","14","G","6-4","210 lbs","Michigan State","USA"
"Tobias Harris","DET","12","F","6-8","226 lbs","Tennessee","USA"
"Josh Hart","NYK","3","G","6-4","215 lbs","Villanova","USA"
"Isaiah Hartenstein","OKC","55","C-F","7-0","250 lbs","Zalgiris","Germany"
"Sam Hauser","BOS","30","F","6-7","217 lbs","Virginia","USA"
"Jordan Hawkins","NOP","24","G","6-5","190 lbs","Connecticut","USA"
"Jaxson Hayes","LAL","11","C-F","7-0","220 lbs","Texas","USA"
"Killian Hayes","","","G","6-5","195 lbs","Ratiopharm Ulm","France"
"Scoot Henderson","POR","00","G","6-3","206 lbs","NBA G League Ignite","USA"
"Taylor Hendricks","UTA","0","F","6-9","215 lbs","Central Florida","USA"
"Tyler Herro","MIA","14","G","6-5","195 lbs","Kentucky","USA"
"Buddy Hield","GSW","7","G","6-4","220 lbs","Oklahoma","Bahamas"
"Haywood Highsmith","MIA","24","F","6-5","220 lbs","Wheeling Jesuit","USA"
"Aaron Holiday","HOU","0","G","6-0","185 lbs","UCLA","USA"
"Jrue Holiday","BOS","4","G","6-4","205 lbs","UCLA","USA"
"Ronald Holland II","DET","00","F","6-8","206 lbs","NBA G League Ignite","USA"
"Richaun Holmes","WAS","22","F","6-9","235 lbs","Bowling Green","USA"
"DaRon Holmes II","DEN","14","F","6-10","225 lbs","Dayton","USA"
"Chet Holmgren","OKC","7","C-F","7-1","208 lbs","Gonzaga","USA"
"Jalen Hood-Schifino","PHI","17","G","6-5","210 lbs","Indiana","USA"
"Al Horford","BOS","42","C-F","6-9","240 lbs","Florida","Dominican Republic"
"Talen Horton-Tucker","CHI","22","G","6-4","234 lbs","Iowa State","USA"
"Caleb Houstan","ORL","2","G","6-8","205 lbs","Michigan","Canada"
"Jett Howard","ORL","13","G","6-6","215 lbs","Michigan","USA"
"Kevin Huerter","CHI","13","G-F","6-7","198 lbs","Maryland","USA"
"Jay Huff","MEM","30","C","7-1","240 lbs","Virginia","USA"
"Ariel Hukporti","NYK","55","C","6-11","246 lbs","MHP Riesen","Germany"
"De'Andre Hunter","CLE","12","F-G","6-8","221 lbs","Virginia","USA"
"Bones Hyland","MIN","77","G","6-2","169 lbs","Virginia Commonwealth","USA"
"Oso Ighodaro","PHX","4","F","7-0","235 lbs","Marquette","USA"
"Joe Ingles","MIN","7","F-G","6-8","220 lbs","Maccabi Tel Aviv","Australia"
"Brandon Ingram","TOR","3","F","6-8","190 lbs","Duke","USA"
"Harrison Ingram","SAS","55","F","6-5","230 lbs","North Carolina","USA"
"Kyrie Irving","DAL","11","G","6-2","195 lbs","Duke","Australia"
"Jonathan Isaac","ORL","1","F","6-10","230 lbs","Florida State","USA"
"Jaden Ivey","DET","23","G","6-4","195 lbs","Purdue","USA"
"GG Jackson","MEM","45","F","6-9","210 lbs","South Carolina","USA"
"Isaiah Jackson","IND","22","F","6-9","205 lbs","Kentucky","USA"
"Quenton Jackson","IND","29","G","6-5","173 lbs","Texas A&M","USA"
"Reggie Jackson","","","G","6-2","208 lbs","Boston College","USA"
"Andre Jackson Jr.","MIL","44","G","6-6","209 lbs","Connecticut","USA"
"Jaren Jackson Jr.","MEM","13","F-C","6-10","242 lbs","Michigan State","USA"
"Trayce Jackson-Davis","GSW","32","F","6-9","245 lbs","Indiana","USA"
"Bronny James","LAL","9","G","6-3","210 lbs","Southern California","USA"
"LeBron James","LAL","23","F","6-9","250 lbs","St. Vincent-St. Mary HS (OH)","USA"
"Jaime Jaquez Jr.","MIA","11","G","6-6","225 lbs","UCLA","USA"
"DaQuan Jeffries","CHA","3","G-F","6-5","222 lbs","Tulsa","USA"
"Trey Jemison III","LAL","55","C","6-11","270 lbs","Alabama-Birmingham","USA"
"Daniss Jenkins","DET","24","G","6-3","165 lbs","St. John's","USA"
"Ty Jerome","CLE","2","G-F","6-5","195 lbs","Virginia","USA"
"Isaiah Joe","OKC","11","G","6-3","165 lbs","Arkansas","USA"
"AJ Johnson","WAS","5","G","6-5","160 lbs","Illawarra","USA"
"Cameron Johnson","BKN","2","F","6-8","210 lbs","North Carolina","USA"
"Jalen Johnson","ATL","1","F","6-8","219 lbs","Duke","USA"
"James Johnson","IND","16","F","6-7","240 lbs","Wake Forest","USA"
"Keldon Johnson","SAS","0","F-G","6-5","220 lbs","Kentucky","USA"
"Keon Johnson","BKN","45","G","6-5","185 lbs","Tennessee","USA"
"Keshad Johnson","MIA","16","F","6-7","225 lbs","Arizona","USA"
"Nikola Jokić","DEN","15","C","6-11","284 lbs","Mega Basket","Serbia"
"Colby Jones","WAS","1","G","6-6","207 lbs","Xavier","USA"
"Dillon Jones","OKC","3","F","6-5","235 lbs","Weber State","USA"
"Herbert Jones","NOP","2","F","6-7","206 lbs","Alabama","USA"
"Isaac Jones","SAC","3","F","6-9","245 lbs","Washington State","USA"
"Kai Jones","DAL","23","C-F","6-11","221 lbs","Texas","Bahamas"
"Mason Jones","SAC","15","G","6-4","200 lbs","Arkansas","USA"
"Spencer Jones","DEN","21","F","6-7","225 lbs","Stanford","USA"
"Tre Jones","CHI","30","G","6-1","185 lbs","Duke","USA"
"Tyus Jones","PHX","21","G","6-1","196 lbs","Duke","USA"
"Derrick Jones Jr.","LAC","55","F","6-6","210 lbs","UNLV","USA"
"DeAndre Jordan","DEN","6","C","6-11","265 lbs","Texas A&M","USA"
"Cory Joseph","ORL","10","G","6-2","200 lbs","Texas","Canada"
"Nikola Jović","MIA","5","F","6-10","205 lbs","Mega Basket","Serbia"
"Johnny Juzang","UTA","33","G","6-5","226 lbs","UCLA","USA"
"Yuki Kawamura","MEM","17","G","5-8","159 lbs","-","Japan"
"Kylor Kelley","","","C","7-0","230 lbs","Oregon State","USA"
"Luke Kennard","MEM","10","G","6-5","206 lbs","Duke","USA"
"Walker Kessler","UTA","24","C","7-0","245 lbs","Auburn","USA"
"Braxton Key","GSW","12","F","6-8","225 lbs","Virginia","USA"
"Corey Kispert","WAS","24","F","6-6","224 lbs","Gonzaga","USA"
"Maxi Kleber","LAL","14","F","6-10","240 lbs","Bayern Munich","Germany"
"Bobi Klintman","DET","34","F","6-9","225 lbs","Cairns","Sweden"
"Dalton Knecht","LAL","4","F","6-6","215 lbs","Tennessee","USA"
"Kevin Knox II","GSW","31","F","6-8","215 lbs","Kentucky","USA"
"Tyler Kolek","NYK","13","G","6-3","195 lbs","Marquette","USA"
"Christian Koloko","LAL","10","C","7-0","225 lbs","Arizona","Cameroon"
"John Konchar","MEM","46","G","6-5","210 lbs","Indiana-Purdue Fort Wayne","USA"
"Luke Kornet","BOS","40","C-F","7-1","250 lbs","Vanderbilt","USA"
"Vít Krejčí","ATL","27","G","6-8","195 lbs","Zaragoza","Czech Republic"
"Jonathan Kuminga","GSW","00","F","6-7","225 lbs","NBA G League Ignite","DRC"
"Kyle Kuzma","MIL","18","F","6-9","221 lbs","Utah","USA"
"Skal Labissiere","","","F-C","6-10","235 lbs","Kentucky","Haiti"
"Jock Landale","HOU","2","C","6-11","255 lbs","St. Mary's","Australia"
"Jake LaRavia","SAC","33","F","6-7","235 lbs","Wake Forest","USA"
"Pelle Larsson","MIA","9","G","6-5","215 lbs","Arizona","Sweden"
"Zach LaVine","SAC","8","G","6-5","200 lbs","UCLA","USA"
"A.J. Lawson","TOR","0","G","6-6","179 lbs","South Carolina","Canada"
"Damion Lee","PHX","10","G-F","6-6","210 lbs","Drexel","USA"
"Alex Len","LAL","27","C","7-0","250 lbs","Maryland","Ukraine"
"Kawhi Leonard","LAC","2","F","6-7","225 lbs","San Diego State","USA"
"Malevy Leons","","","F","6-9","210 lbs","Bradley","Netherlands"
"Caris LeVert","ATL","3","G","6-6","205 lbs","Michigan","USA"
"Maxwell Lewis","BKN","27","F","6-7","215 lbs","Pepperdine","USA"
"E.J. Liddell","CHI","32","F","6-6","240 lbs","Ohio State","USA"
"Damian Lillard","MIL","0","G","6-2","195 lbs","Weber State","USA"
"Dereck Lively II","DAL","2","C","7-1","230 lbs","Duke","USA"
"Chris Livingston","MIL","7","F","6-6","220 lbs","Kentucky","USA"
"Kevon Looney","GSW","5","F","6-9","222 lbs","UCLA","USA"
"Brook Lopez","MIL","11","C","7-1","282 lbs","Stanford","USA"
"Kevin Love","MIA","42","F-C","6-8","251 lbs","UCLA","USA"
"Kyle Lowry","PHI","7","G","6-0","196 lbs","Villanova","USA"
"Seth Lundy","LAC","5","G-F","6-4","220 lbs","Penn State","USA"
"Trey Lyles","SAC","41","F","6-9","234 lbs","Kentucky","Canada"
"Sandro Mamukelashvili","SAS","54","F-C","6-9","240 lbs","Seton Hall","Georgia"
"Terance Mann","ATL","14","G-F","6-5","215 lbs","Florida State","USA"
"Tre Mann","CHA","23","G","6-3","178 lbs","Florida","USA"
"Lauri Markkanen","UTA","23","F-C","7-0","240 lbs","Arizona","Finland"
"Naji Marshall","DAL","13","F","6-6","220 lbs","Xavier","USA"
"Caleb Martin","DAL","16","F","6-5","205 lbs","Nevada","USA"
"Cody Martin","PHX","17","F","6-6","205 lbs","Nevada","USA"
"Jaylen Martin","WAS","4","G","6-6","216 lbs","Overtime Elite","USA"
"KJ Martin","UTA","99","F","6-6","215 lbs","IMG Academy (FL)","USA"
"Tyrese Martin","BKN","13","F","6-6","215 lbs","Connecticut","USA"
"Garrison Mathews","ATL","24","G","6-6","215 lbs","Lipscomb","USA"
"Bennedict Mathurin","IND","00","G-F","6-5","210 lbs","Arizona","Canada"
"Karlo Matković","NOP","17","F-C","6-10","231 lbs","Mega Basket","Bosnia and Herzegovina"
"Tyrese Maxey","PHI","0","G","6-2","200 lbs","Kentucky","USA"
"Miles McBride","NYK","2","G","6-1","195 lbs","West Virginia","USA"
"Jared McCain","PHI","20","G","6-3","195 lbs","Duke","USA"
"Mac McClung","ORL","8","G","6-2","185 lbs","Texas Tech","USA"
"CJ McCollum","NOP","3","G","6-3","190 lbs","Lehigh","USA"
"T.J. McConnell","IND","9","G","6-1","190 lbs","Arizona","USA"
"Kevin McCullar Jr.","NYK","9","G","6-6","210 lbs","Kansas","USA"
"Jaden McDaniels","MIN","3","F","6-9","185 lbs","Washington","USA"
"Jalen McDaniels","","","F","6-9","190 lbs","San Diego State","USA"
"Doug McDermott","SAC","7","F","6-6","225 lbs","Creighton","USA"
"Bryce McGowens","POR","11","G","6-6","190 lbs","Nebraska","USA"
"Jordan McLaughlin","SAS","11","G","6-0","185 lbs","Southern California","USA"
"Jack McVeigh","HOU","58","G-F","6-8","215 lbs","Nebraska-Lincoln","Australia"
"De'Anthony Melton","BKN","14","G","6-3","200 lbs","Southern California","USA"
"Sam Merrill","CLE","5","G","6-4","205 lbs","Utah State","USA"
"Vasilije Micić","PHX","18","G","6-3","188 lbs","Serbia","Serbia"
"Khris Middleton","WAS","32","F","6-7","222 lbs","Texas A&M","USA"
"Brandon Miller","CHA","24","F","6-7","200 lbs","Alabama","USA"
"Emanuel Miller","CHI","20","F","6-7","215 lbs","TCU","Canada"
"Jordan Miller","LAC","11","G","6-5","194 lbs","Miami","USA"
"Leonard Miller","MIN","33","F","6-10","220 lbs","NBA G League Ignite","Canada"
"Patty Mills","LAC","88","G","6-2","180 lbs","St. Mary's","Australia"
"Shake Milton","LAL","20","G","6-5","205 lbs","Southern Methodist","USA"
"Justin Minaya","POR","10","F","6-5","205 lbs","Providence","USA"
"Riley Minix","SAS","27","F","6-7","230 lbs","Morehead State","USA"
"Josh Minott","MIN","8","F","6-8","205 lbs","Memphis","USA"
"Yves Missi","NOP","21","C","6-11","235 lbs","Baylor","Cameroon"
"Ajay Mitchell","OKC","25","G","6-5","190 lbs","California-Santa Barbara","Belgium"
"Davion Mitchell","MIA","45","G","6-0","202 lbs","Baylor","USA"
"Donovan Mitchell","CLE","45","G","6-3","215 lbs","Louisville","USA"
"Evan Mobley","CLE","4","C","6-11","215 lbs","Southern California","USA"
"Isaiah Mobley","","","F","6-8","238 lbs","USC","USA"
"Jonathan Mogbo","TOR","2","F","6-9","225 lbs","San Francisco","USA"
"Malik Monk","SAC","0","G","6-3","200 lbs","Kentucky","USA"
"Moses Moody","GSW","4","G","6-5","211 lbs","Arkansas","USA"
"Tazé Moore","","","G","6-5","195 lbs","Houston","USA"
"Wendell Moore Jr.","CHA","9","G","6-5","215 lbs","Duke","USA"
"Ja Morant","MEM","12","G","6-2","174 lbs","Murray State","USA"
"Markieff Morris","LAL","88","F","6-9","245 lbs","Kansas","USA"
