"player","team","number","position","height","weight","last_attended","country","profile_url"
"Precious
Achiuwa","NYK","5","F","6-8","243 lbs","Memphis","Nigeria","https://www.nba.com/player/1630173/precious-achiuwa/"
"Steven
Adams","HOU","12","C","6-11","265 lbs","Pittsburgh","New Zealand","https://www.nba.com/player/203500/steven-adams/"
"Bam
Adebayo","MIA","13","C-F","6-9","255 lbs","Kentucky","USA","https://www.nba.com/player/1628389/bam-adebayo/"
"Ochai
Agbaji","TOR","30","G","6-5","215 lbs","Kansas","USA","https://www.nba.com/player/1630534/ochai-agbaji/"
"Santi
Aldama","MEM","7","F-C","7-0","215 lbs","Loyola-Maryland","Spain","https://www.nba.com/player/1630583/santi-aldama/"
"Trey
Alexander","DEN","23","G","6-4","185 lbs","Creighton","USA","https://www.nba.com/player/1641725/trey-alexander/"
"Nickeil
Alexander-Walker","MIN","9","G","6-5","205 lbs","Virginia Tech","Canada","https://www.nba.com/player/1629638/nickeil-alexander-walker/"
"Grayson
Allen","PHX","8","G","6-4","198 lbs","Duke","USA","https://www.nba.com/player/1628960/grayson-allen/"
"Jarrett
Allen","CLE","31","C","6-9","243 lbs","Texas","USA","https://www.nba.com/player/1628386/jarrett-allen/"
"Jose
Alvarado","NOP","15","G","6-0","179 lbs","Georgia Tech","USA","https://www.nba.com/player/1630631/jose-alvarado/"
"Kyle
Anderson","MIA","20","F-G","6-9","230 lbs","UCLA","USA","https://www.nba.com/player/203937/kyle-anderson/"
"Giannis
Antetokounmpo","MIL","34","F","6-11","243 lbs","Filathlitikos","Greece","https://www.nba.com/player/203507/giannis-antetokounmpo/"
"Cole
Anthony","ORL","50","G","6-2","185 lbs","North Carolina","USA","https://www.nba.com/player/1630175/cole-anthony/"
"OG
Anunoby","NYK","8","F-G","6-7","240 lbs","Indiana","United Kingdom","https://www.nba.com/player/1628384/og-anunoby/"
"Taran
Armstrong","GSW","1","G","6-5","190 lbs","Cairns, Australia","Australia","https://www.nba.com/player/1642379/taran-armstrong/"
"Deni
Avdija","POR","8","F","6-9","240 lbs","Maccabi Tel Aviv","Israel","https://www.nba.com/player/1630166/deni-avdija/"
"Deandre
Ayton","POR","2","C","7-0","252 lbs","Arizona","Bahamas","https://www.nba.com/player/1629028/deandre-ayton/"
"Marcus
Bagley","","","F","6-6","217 lbs","Arizona State","USA","https://www.nba.com/player/1630542/marcus-bagley/"
"Marvin
Bagley III","MEM","35","F","6-10","235 lbs","Duke","USA","https://www.nba.com/player/1628963/marvin-bagley-iii/"
"Patrick
Baldwin Jr.","LAC","23","F","6-9","220 lbs","Wisconsin-Milwaukee","USA","https://www.nba.com/player/1631116/patrick-baldwin-jr/"
"LaMelo
Ball","CHA","1","G","6-7","180 lbs","Illawarra","USA","https://www.nba.com/player/1630163/lamelo-ball/"
"Lonzo
Ball","CHI","2","G","6-6","190 lbs","UCLA","USA","https://www.nba.com/player/1628366/lonzo-ball/"
"Mo
Bamba","","","C","7-0","231 lbs","Texas","USA","https://www.nba.com/player/1628964/mo-bamba/"
"Paolo
Banchero","ORL","5","F","6-10","250 lbs","Duke","USA","https://www.nba.com/player/1631094/paolo-banchero/"
"Desmond
Bane","MEM","22","G","6-5","215 lbs","TCU","USA","https://www.nba.com/player/1630217/desmond-bane/"
"Dalano
Banton","POR","5","F","6-8","203 lbs","Nebraska","Canada","https://www.nba.com/player/1630625/dalano-banton/"
"Dominick
Barlow","ATL","26","F","6-8","215 lbs","Overtime Elite","USA","https://www.nba.com/player/1631230/dominick-barlow/"
"Harrison
Barnes","SAS","40","F","6-8","225 lbs","North Carolina","USA","https://www.nba.com/player/203084/harrison-barnes/"
"Scottie
Barnes","TOR","4","F-G","6-7","237 lbs","Florida State","USA","https://www.nba.com/player/1630567/scottie-barnes/"
"RJ
Barrett","TOR","9","F-G","6-6","214 lbs","Duke","Canada","https://www.nba.com/player/1629628/rj-barrett/"
"Charles
Bassey","SAS","28","C-F","6-10","230 lbs","Western Kentucky","Nigeria","https://www.nba.com/player/1629646/charles-bassey/"
"Emoni
Bates","CLE","21","F","6-8","202 lbs","Eastern Michigan","USA","https://www.nba.com/player/1641734/emoni-bates/"
"Jamison
Battle","TOR","77","F","6-7","220 lbs","Ohio State","USA","https://www.nba.com/player/1642419/jamison-battle/"
"Nicolas
Batum","LAC","33","G-F","6-8","230 lbs","Le Mans","France","https://www.nba.com/player/201587/nicolas-batum/"
"Damion
Baugh","CHA","7","G","6-4","194 lbs","TCU","USA","https://www.nba.com/player/1641878/damion-baugh/"
"Bradley
Beal","PHX","3","G","6-4","207 lbs","Florida","USA","https://www.nba.com/player/203078/bradley-beal/"
"Malik
Beasley","DET","5","G","6-4","187 lbs","Florida State","USA","https://www.nba.com/player/1627736/malik-beasley/"
"MarJon
Beauchamp","NYK","0","F","6-7","199 lbs","NBA G League Ignite","USA","https://www.nba.com/player/1630699/marjon-beauchamp/"
"Reece
Beekman","BKN","4","G","6-3","190 lbs","Virginia","USA","https://www.nba.com/player/1641736/reece-beekman/"
"Saddiq
Bey","WAS","14","G-F","6-7","215 lbs","Villanova","USA","https://www.nba.com/player/1630180/saddiq-bey/"
"Goga
Bitadze","ORL","35","C-F","6-10","250 lbs","Mega Basket","Georgia","https://www.nba.com/player/1629048/goga-bitadze/"
"Bismack
Biyombo","SAS","15","C","6-8","255 lbs","Baloncesto Fuenlabrada","DRC","https://www.nba.com/player/202687/bismack-biyombo/"
"Anthony
Black","ORL","0","G","6-7","200 lbs","Arkansas","USA","https://www.nba.com/player/1641710/anthony-black/"
"Bogdan
Bogdanović","LAC","10","G","6-5","225 lbs","Fenerbahce","Serbia","https://www.nba.com/player/203992/bogdan-bogdanovic/"
"Bol
Bol","PHX","11","C-F","7-3","220 lbs","Oregon","Sudan","https://www.nba.com/player/1629626/bol-bol/"
"Adem
Bona","PHI","30","F","6-10","235 lbs","UCLA","Nigeria","https://www.nba.com/player/1641737/adem-bona/"
"Devin
Booker","PHX","1","G","6-6","206 lbs","Kentucky","USA","https://www.nba.com/player/1626164/devin-booker/"
"Brandon
Boston","NOP","11","G","6-6","188 lbs","Kentucky","USA","https://www.nba.com/player/1630527/brandon-boston/"
"Chris
Boucher","TOR","25","F","6-9","200 lbs","Oregon","Saint Lucia","https://www.nba.com/player/1628449/chris-boucher/"
"Jamaree
Bouyea","MIL","15","G","6-2","180 lbs","San Francisco","USA","https://www.nba.com/player/1631123/jamaree-bouyea/"
"Tony
Bradley","IND","13","C-F","6-11","248 lbs","North Carolina","USA","https://www.nba.com/player/1628396/tony-bradley/"
"Malaki
Branham","SAS","22","F","6-4","180 lbs","Ohio State","USA","https://www.nba.com/player/1631103/malaki-branham/"
"Christian
Braun","DEN","0","G","6-6","220 lbs","Kansas","USA","https://www.nba.com/player/1631128/christian-braun/"
"Jalen
Bridges","PHX","15","F","6-8","225 lbs","Baylor","USA","https://www.nba.com/player/1641779/jalen-bridges/"
"Mikal
Bridges","NYK","25","G-F","6-6","209 lbs","Villanova","USA","https://www.nba.com/player/1628969/mikal-bridges/"
"Miles
Bridges","CHA","0","F","6-7","225 lbs","Michigan State","USA","https://www.nba.com/player/1628970/miles-bridges/"
"Oshae
Brissett","","","F-G","6-7","210 lbs","Syracuse","Canada","https://www.nba.com/player/1629052/oshae-brissett/"
"Malcolm
Brogdon","WAS","15","G","6-4","229 lbs","Virginia","USA","https://www.nba.com/player/1627763/malcolm-brogdon/"
"Dillon
Brooks","HOU","9","G-F","6-6","225 lbs","Oregon","Canada","https://www.nba.com/player/1628415/dillon-brooks/"
