"player","team","number","position","height","weight","last_attended","country","profile_url","is_active","is_free_agent","is_retired","headshot_url","birthdate","draft","experience","legacy"
"Alaa Abdelnaby","","","","","","","","https://www.nba.com/player/76001/HISTADD-alaa-abdelnaby",False,False,True,"","1968-06-24T00:00:00","1990 #25","5 Years",True
"Zaid Abdul-Aziz","","","","","","","","https://www.nba.com/player/76002/HISTADD-zaid-abdul-aziz",False,False,True,"","1946-04-07T00:00:00","1968 #5","10 Years",True
"Kareem Abdul-Jabbar","","","","","","","","https://www.nba.com/player/76003/HISTADD-kareem-abdul-jabbar",False,False,True,"","1947-04-16T00:00:00","1969 #1","20 Years",True
"Mahmoud Abdul-Rauf","","","","","","","","https://www.nba.com/player/51/mahmoud-abdul-rauf",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/51.png","March 9, 1969","1990 R1 Pick 3","9 Years",False
"Tariq Abdul-Wahad","","","","","","","","https://www.nba.com/player/1505/tariq-abdul-wahad",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1505.png","November 3, 1974","1997 R1 Pick 11","7 Years",False
"Shareef Abdur-Rahim","","","","","","","","https://www.nba.com/player/949/shareef-abdur-rahim",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/949.png","December 11, 1976","1996 R1 Pick 3","13 Years",False
"Tom Abernethy","","","","","","","","https://www.nba.com/player/76005/HISTADD-tom-abernethy",False,False,True,"","1954-05-06T00:00:00","1976 #43","5 Years",True
"Forest Able","","","","","","","","https://www.nba.com/player/76006/HISTADD-frosty-able",False,False,True,"","","","",True
"John Abramovic","","","","","","","","https://www.nba.com/player/76007/HISTADD-brooms-abramovic",False,False,True,"","1919-02-09T00:00:00","Undrafted #Undrafted","2 Years",True
"Alex Abrines","","","","","","","","https://www.nba.com/player/203518/alex-abrines",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/203518.png","August 1, 1993","2013 R2 Pick 32","3 Years",False
"Precious Achiuwa","NYK","","","","","","","https://www.nba.com/player/1630173/precious-achiuwa",True,False,False,"","September 19, 1999","2020 R1 Pick 20","4 Years",False
"Alex Acker","","","","","","","","https://www.nba.com/player/101165/alex-acker",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/101165.png","January 21, 1983","2005 R2 Pick 60","3 Years",False
