PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,LAST ATTENDED,COUNTRY
"Timmy
Allen",MEM,,F,6-6,210 lbs,Texas,USA
"Tony
Allen",MEM,9,G-F,6-4,213 lbs,Oklahoma State,USA
"Odis
Allison",GSW,22,F,6-6,195 lbs,UNLV,USA
"Lance
Allred",CLE,41,C,6-11,250 lbs,Weber State,USA
"Darrell
Allums",DAL,32,F,6-8,220 lbs,UCLA,USA
"Morris
Almond",UTA,21,G,6-6,225 lbs,Rice,USA
"Derrick
Alston",PHI,21,F,6-11,225 lbs,Duquesne,USA
"Rafer
Alston",HOU,11,G,6-2,175 lbs,Fresno State,USA
"Peter
Aluma",SAC,43,C,6-10,260 lbs,Liberty,USA
"Jose
Alvarado",NOP,15,G,6-0,179 lbs,Georgia Tech,USA
"John
Amaechi",ORL,13,F-C,6-10,270 lbs,Penn State,United Kingdom
"Ashraf
Amaya",MEM,18,F,6-7,250 lbs,Southern Illinois,USA
"Al-Farouq
Aminu",POR,5,F,6-8,220 lbs,Wake Forest,USA
"Lou
Amundson",PHX,17,F,6-9,220 lbs,UNLV,USA
"Bob
Anderegg",NYK,18,F,6-3,200 lbs,Michigan State,USA
"Chris
Andersen",DEN,7,F-C,6-10,245 lbs,Blinn J.C.,USA
"David
Andersen",HOU,11,C,6-11,247 lbs,FC Barcelona,Australia
"Alan
Anderson",BKN,9,F-G,6-6,220 lbs,Michigan State,USA
"Antonio
Anderson",OKC,8,G,6-6,215 lbs,Memphis,USA
"Cliff
Anderson",LAL,26,G,6-2,200 lbs,St. Joseph's (PA),USA
"Daniel
Anderson",POR,33,G,6-2,185 lbs,Southern California,USA
"Derek
Anderson",POR,1,G,6-5,195 lbs,Kentucky,USA
"Dwight
Anderson",DEN,20,G,6-3,185 lbs,Southern California,USA
"Eric
Anderson",NYK,42,F,6-9,220 lbs,Indiana,USA
"Greg
Anderson",SAS,0,C-F,6-10,250 lbs,Houston,USA
"James
Anderson",SAS,5,G-F,6-6,213 lbs,Oklahoma State,USA
"Jerome
Anderson",IND,21-23,G,6-5,195 lbs,West Virginia,USA
"Justin
Anderson",IND,10,F-G,6-5,231 lbs,Virginia,USA
"Kenny
Anderson",BKN,13,G,6-1,168 lbs,Georgia Tech,USA
"Kim
Anderson",POR,42,F,6-7,200 lbs,Missouri,USA
"Kyle
Anderson",MIA,20,F-G,6-9,230 lbs,UCLA,USA
"Michael
Anderson",SAS,10,G,5-11,184 lbs,Drexel,USA
"Mitchell
Anderson",UTA,11,F,6-8,195 lbs,Bradley,USA
"Nick
Anderson",ORL,5,F-G,6-6,228 lbs,Illinois,USA
"Richard
Anderson",POR,35,F,6-10,240 lbs,California-Santa Barbara,USA
"Ron
Anderson",PHI,35,F,6-7,215 lbs,Fresno State,USA
"Ryan
Anderson",NOP,31,F,6-10,240 lbs,California,USA
"Shandon
Anderson",NYK,49,G-F,6-6,215 lbs,Georgia,USA
"Willie
Anderson",SAS,35,G-F,6-8,200 lbs,Georgia,USA
"Wally
Anderzunas",SAC,21,C,6-7,220 lbs,Creighton,USA
"Martynas
Andriuskevicius",CLE,15,C,7-2,240 lbs,Zalgiris,Lithuania
"Don
Anielak",NYK,12,F,6-7,190 lbs,Missouri State,USA
"Ike
Anigbogu",IND,13,C-F,6-10,262 lbs,UCLA,USA
"Michael
Ansley",ORL,54,F,6-7,225 lbs,Alabama,USA
"Chris
Anstey",DAL,22,C,7-0,249 lbs,South East Melbourne,Australia
"Giannis
Antetokounmpo",MIL,34,F,6-11,243 lbs,Filathlitikos,Greece
"Kostas
Antetokounmpo",CHI,37,F,6-10,200 lbs,Dayton,Greece
"Thanasis
Antetokounmpo",MIL,43,F,6-7,219 lbs,Panathinaikos,Greece
"Carmelo
Anthony",LAL,7,F,6-7,238 lbs,Syracuse,USA
"Cole
Anthony",ORL,50,G,6-2,185 lbs,North Carolina,USA
"Greg
Anthony",NYK,50,G,6-1,180 lbs,UNLV,USA
"Joel
Anthony",MIA,30,C,6-9,245 lbs,UNLV,Canada
"Pero
Antic",ATL,6,F-C,6-11,260 lbs,Olympiacos,Macedonia
"OG
Anunoby",NYK,8,F-G,6-7,240 lbs,Indiana,United Kingdom
"Keith
Appling",ORL,15,G,6-1,185 lbs,Michigan State,USA
"Rafael
Araujo",TOR,55,C,6-11,270 lbs,Brigham Young,Brazil
"Stacey
Arceneaux",ATL,,F,6-4,210 lbs,Iowa State,USA
"Nate
Archibald",SAC,1,G,6-1,150 lbs,Texas-El Paso,USA
"Robert
Archibald",TOR,34,F,6-11,250 lbs,Illinois,Scotland
"Ryan
Arcidiacono",NYK,51,G,6-3,195 lbs,Villanova,USA
"Jim
Ard",BOS,34,C,6-9,215 lbs,Cincinnati,USA
"Gilbert
Arenas",WAS,10,G,6-4,215 lbs,Arizona,USA
"Trevor
Ariza",LAL,8,F,6-8,215 lbs,UCLA,USA
"Paul
Arizin",GSW,11,F,6-4,190 lbs,Villanova,USA
"Joe
Arlauckas",SAC,53,F,6-9,230 lbs,Niagara,USA
"B.J.
Armstrong",CHI,11,G,6-2,185 lbs,Iowa,USA
"Bob
Armstrong",GSW,19,C,6-8,220 lbs,Michigan State,USA
"Brandon
Armstrong",BKN,1,G,6-5,185 lbs,Pepperdine,USA
"Darrell
Armstrong",ORL,10,G,6-1,180 lbs,Fayetteville State,USA
"Hilton
Armstrong",NOP,57,F-C,6-11,235 lbs,Connecticut,USA
"Paul
Armstrong",DET,3,G,5-11,170 lbs,Indiana,USA
"Taran
Armstrong",GSW,1,G,6-5,190 lbs,"Cairns, Australia",Australia
"Tate
Armstrong",CHI,14,G,6-3,175 lbs,Duke,USA
"Jesse
Arnelle",DET,15-18,F,6-5,220 lbs,Penn State,USA
"Jay
Arnette",SAC,21,G,6-2,175 lbs,Texas,USA
"Bob
Arnzen",SAC,21-30,F,6-5,205 lbs,Notre Dame,USA
"Carlos
Arroyo",ORL,45,G,6-2,200 lbs,Florida International,Puerto Rico
"Darrell
Arthur",DEN,00,F,6-9,235 lbs,Kansas,USA
"John
Arthurs",MIL,12,G,6-4,185 lbs,Tulane,USA
"Jamel
Artis",ORL,0,G,6-7,213 lbs,Pittsburgh,USA
"Omer
Asik",NOP,3,C,7-0,255 lbs,Fenerbahce,Turkey
"Vincent
Askew",OKC,22,F,6-6,235 lbs,Memphis,USA
"Keith
Askins",MIA,2,F-G,6-8,215 lbs,Alabama,USA
"Don
Asmonga",BAL,,G,6-2,185 lbs,Alliance,USA
"Richard
Atha",NYK,7,G,6-2,190 lbs,Indiana State,USA
"Chucky
Atkins",DET,17,G,5-11,185 lbs,South Florida,USA
"Alvin
Attles",GSW,16,G,6-1,175 lbs,North Carolina A&T,USA
"Chet
Aubuchon",DEF,,G,5-10,137 lbs,Michigan State,USA
"Stacey
Augmon",ATL,2,F-G,6-8,213 lbs,UNLV,USA
"D.J.
Augustin",LAL,4,G,5-11,183 lbs,Texas,USA
"James
Augustine",ORL,40,F,6-10,235 lbs,Illinois,USA
"Ike
Austin",MIA,9,C,6-10,270 lbs,Arizona State,USA
"John
Austin",WAS,34,G,6-0,170 lbs,Boston College,USA
"Ken
Austin",DET,34,F,6-9,205 lbs,Rice,USA
"Deni
Avdija",POR,8,F,6-9,240 lbs,Maccabi Tel Aviv,Israel
"Anthony
Avent",MIL,30,C,6-9,240 lbs,Seton Hall,USA
"William
Averitt",LAC,15,G,6-2,170 lbs,Pepperdine,USA
"William
Avery",MIN,30,G,6-2,180 lbs,Duke,USA
"Dennis
Awtrey",PHX,20,C,6-10,235 lbs,Santa Clara,USA
"Joel
Ayayi",WAS,17,G,6-4,180 lbs,Gonzaga,France
"Gustavo
Ayon",NOP,14,F-C,6-10,250 lbs,Baloncesto Fuenlabrada,Mexico
"Jeff
Ayres",SAS,19,F-C,6-9,250 lbs,Arizona State,USA
"Deandre
Ayton",POR,2,C,7-0,252 lbs,Arizona,Bahamas
"Kelenna
Azubuike",GSW,4,G,6-5,215 lbs,Kentucky,United Kingdom
"Udoka
Azubuike",PHX,27,C-F,6-11,270 lbs,Kansas,Nigeria
"Chris
Babb",BOS,52,G,6-5,225 lbs,Iowa State,USA
"Luke
Babbitt",NOP,22,F,6-9,225 lbs,Nevada,USA
"Milos
Babic",CLE,00,C,7-0,240 lbs,Tennessee Tech,USA
"Johnny
Bach",BOS,17,F,6-2,180 lbs,Fordham,USA
"Dwayne
Bacon",LAL,8,G-F,6-6,221 lbs,Florida State,USA
"Ibou
Badji",POR,41,C,7-0,240 lbs,FC Barcelona,Senegal
"Jim
Baechtold",NYK,10,F,6-4,205 lbs,Eastern Kentucky,USA
"Dalibor
Bagaric",CHI,11,C,7-1,290 lbs,Benston Zagreb,Croatia
"John
Bagley",CLE,5,G,6-0,185 lbs,Boston College,USA
"Marcus
Bagley",PHI,38,F,6-6,217 lbs,Arizona State,USA
"Marvin
Bagley III",MEM,35,F,6-10,235 lbs,Duke,USA
"Amari
Bailey",BKN,10,G,6-3,185 lbs,UCLA,USA
"Carl
Bailey",POR,21,C,7-0,210 lbs,Tuskegee,USA
"Gus
Bailey",HOU,20,G,6-5,185 lbs,Texas-El Paso,USA
"James
Bailey",OKC,2,F,6-9,220 lbs,Rutgers,USA
"Thurl
Bailey",UTA,41,F,6-11,247 lbs,North Carolina State,USA
"Toby
Bailey",PHX,11,G,6-6,213 lbs,UCLA,USA
"Cameron
Bairstow",CHI,41,F-C,6-9,250 lbs,New Mexico,Australia
"Mark
Baker",TOR,3,G,6-1,175 lbs,Ohio State,USA
"Maurice
Baker",POR,12,G,6-1,185 lbs,Oklahoma State,USA
"Norm
Baker",CHS,,G,6-0,180 lbs,Victoria,Canada
"Ron
Baker",NYK,31,G,6-4,220 lbs,Wichita State,USA
"Vin
Baker",OKC,34,F,6-11,240 lbs,Hartford,USA
"Wade
Baldwin IV",MEM,2,G,6-4,202 lbs,Vanderbilt,USA
"Patrick
Baldwin Jr.",LAC,23,F,6-9,220 lbs,Wisconsin-Milwaukee,USA
"Renaldo
Balkman",NYK,32,F,6-8,208 lbs,South Carolina,USA
"Cedric
Ball",LAC,44,F,6-8,210 lbs,North Carolina-Charlotte,USA
"LaMelo
Ball",CHA,1,G,6-7,180 lbs,Illawarra,USA
"Lonzo
Ball",CHI,2,G,6-6,190 lbs,UCLA,USA
"Greg
Ballard",WAS,42,F,6-7,215 lbs,Oregon,USA
"Herschel
Baltimore",BOM,,F,6-4,195 lbs,Penn State,USA
"Mo
Bamba",NOP,5,C,7-0,231 lbs,Texas,USA
"Paolo
Banchero",ORL,5,F,6-10,250 lbs,Duke,USA
"Desmond
Bane",MEM,22,G,6-5,215 lbs,TCU,USA
"Gene
Banks",SAS,20,F,6-7,215 lbs,Duke,USA
"Marcus
Banks",BOS,15,G,6-2,205 lbs,UNLV,USA
"Ken
Bannister",NYK,51,F,6-9,235 lbs,St. Augustine's,USA
"Mike
Bantom",IND,42,F,6-9,200 lbs,St. Joseph's (PA),USA
"Dalano
Banton",POR,5,F,6-8,203 lbs,Nebraska,Canada
"Cat
Barber",ATL,5,G,6-1,173 lbs,North Carolina State,USA
"John
Barber",ATL,25,F,6-6,210 lbs,California State-Los Angeles,USA
"Leandro
Barbosa",PHX,19,G,6-3,194 lbs,Bauru,Brazil
"Stephen
Bardo",DAL,25,G,6-5,190 lbs,Illinois,USA
"J.J.
Barea",DAL,5,G,5-10,180 lbs,Northeastern,Puerto Rico
"Andrea
Bargnani",TOR,77,C-F,7-0,245 lbs,Benetton Treviso,Italy
"Cliff
Barker",INO,,G,6-2,185 lbs,Kentucky,USA
"Tom
Barker",ATL,6,C,6-11,225 lbs,Hawaii,USA
"Charles
Barkley",PHI,34,F,6-6,252 lbs,Auburn,USA
"Erick
Barkley",POR,1,G,6-1,185 lbs,St. John's (NY),USA
"Don
Barksdale",BOS,17,F,6-6,200 lbs,UCLA,USA
"Dominick
Barlow",ATL,26,F,6-8,215 lbs,Overtime Elite,USA
"Harrison
Barnes",SAS,40,F,6-8,225 lbs,North Carolina,USA
"Harry
Barnes",HOU,30,F,6-3,205 lbs,Northeastern,USA
"Jim
Barnes",BOS,12,C,6-8,210 lbs,Texas-El Paso,USA
"Marvin
Barnes",LAC,27,F,6-9,210 lbs,Providence,USA
"Matt
Barnes",LAC,22,F,6-7,226 lbs,UCLA,USA
"Scottie
Barnes",TOR,4,F-G,6-7,237 lbs,Florida State,USA
"Dick
Barnett",NYK,12,G,6-4,190 lbs,Tennessee State,USA
"Jim
Barnett",GSW,33,G,6-4,170 lbs,Oregon,USA
"John
Barnhill",ATL,11,G,6-1,180 lbs,Tennessee State,USA
"Norton
Barnhill",OKC,10,G,6-4,205 lbs,Washington State,USA
"Leo
Barnhorst",INO,8-15,F,6-4,190 lbs,Notre Dame,USA
"John
Barr",BOM,,F,6-3,205 lbs,Penn State,USA
"Mike
Barr",SAC,34,G,6-3,180 lbs,Duquesne,USA
"Thomas
Barr",SAC,19,G,6-4,195 lbs,Duquesne,USA
"Andre
Barrett",HOU,11,G,5-10,173 lbs,Seton Hall,USA
"Ernie
Barrett",BOS,23,G,5-8,180 lbs,Kansas State,USA
"RJ
Barrett",TOR,9,F-G,6-6,214 lbs,Duke,Canada
"Earl
Barron",MIA,30,F-C,7-0,250 lbs,Memphis,USA
"Dana
Barros",BOS,,G,5-11,165 lbs,Boston College,USA
"Brent
Barry",OKC,17,G,6-7,210 lbs,Oregon State,USA
"Drew
Barry",ATL,10,G,6-5,191 lbs,Georgia Tech,USA
"Jon
Barry",MIL,20,G,6-5,210 lbs,Georgia Tech,USA
"Rick
Barry",GSW,24,F,6-7,205 lbs,Miami,USA
"Ed
Bartels",WAS,,F,6-6,195 lbs,North Carolina State,USA
"Vic
Bartolome",GSW,20,C,7-0,230 lbs,Oregon State,USA
"Will
Barton",TOR,1,G,6-5,181 lbs,Memphis,USA
"Eddie
Basden",CHI,13,G,6-5,215 lbs,North Carolina-Charlotte,USA
"Jerry
Baskerville",PHI,44,F,6-7,190 lbs,Temple,USA
"Brandon
Bass",BOS,30,F,6-8,250 lbs,Louisiana State,USA
"Paris
Bass",PHX,,F,6-8,200 lbs,Detroit Mercy,USA
"Tim
Bassett",BKN,21,F,6-8,225 lbs,Georgia,USA
"Charles
Bassey",SAS,28,C-F,6-10,230 lbs,Western Kentucky,Nigeria
"Maceo
Baston",IND,9,F,6-10,230 lbs,Michigan,USA
"Mengke
Bateer",DEN,14,C,6-11,290 lbs,Beijing,China
"Billyray
Bates",POR,35,G,6-4,210 lbs,Kentucky State,USA
"Emoni
Bates",CLE,21,F,6-8,202 lbs,Eastern Michigan,USA
"Keita
Bates-Diop",MIN,13,F,6-8,229 lbs,Ohio State,USA
"Esteban
Batista",ATL,11,F-C,6-10,268 lbs,Trouville,Uruguay
"Mike
Batiste",MEM,33,F,6-8,225 lbs,Arizona State,USA
"Tony
Battie",BOS,4,C,6-11,240 lbs,Texas Tech,USA
"Shane
Battier",MEM,31,F,6-8,220 lbs,Duke,USA
"Jamison
Battle",TOR,77,F,6-7,220 lbs,Ohio State,USA
"John
Battle",ATL,10,G,6-2,175 lbs,Rutgers,USA
"Kenny
Battle",PHX,8,G,6-6,210 lbs,Illinois,USA
"Dave
Batton",WAS,45,C,6-10,240 lbs,Notre Dame,USA
"Nicolas
Batum",LAC,33,G-F,6-8,230 lbs,Le Mans,France
"Damion
Baugh",CHA,7,G,6-4,194 lbs,TCU,USA
"Johnny
Baum",CHI,14,F,6-5,200 lbs,Temple,USA
"Frankie
Baumholtz",CLR,,G,5-10,170 lbs,Ohio,USA
"Lonny
Baxter",CHI,35,F,6-8,260 lbs,Maryland,USA
"Jerryd
Bayless",MIL,8,G,6-3,200 lbs,Arizona,USA
"Elgin
Baylor",LAL,22,F,6-5,225 lbs,Seattle,USA
"Aron
Baynes",DET,46,C-F,6-10,260 lbs,Washington State,Australia
"Sergei
Bazarevich",ATL,5,G,6-2,168 lbs,Tofas S.K.,Russia
"Kent
Bazemore",SAC,9,G-F,6-4,195 lbs,Old Dominion,USA
"Darius
Bazley",UTA,26,F,6-9,216 lbs,Princeton HS (OH),USA
"Ed
Beach",ATL,,F,6-3,200 lbs,West Virginia,USA
"Bradley
Beal",PHX,3,G,6-4,207 lbs,Florida,USA
"Butch
Beard",NYK,9,G,6-3,185 lbs,Louisville,USA
"Ralph
Beard",INO,,G,5-10,175 lbs,Kentucky,USA
"Jerome
Beasley",MIA,24,F,6-9,237 lbs,North Dakota,USA
"Malik
Beasley",DET,5,G,6-4,187 lbs,Florida State,USA
"Michael
Beasley",MIA,8,F,6-9,235 lbs,Kansas State,USA
"Zelmo
Beaty",ATL,31,C,6-9,225 lbs,Prairie View A&M,USA
"Rodrigue
Beaubois",DAL,3,G,6-2,185 lbs,Cholet,France
"MarJon
Beauchamp",NYK,0,F,6-7,199 lbs,NBA G League Ignite,USA
"Byron
Beck",DEN,40,C,6-9,225 lbs,Denver,USA
"Corey
Beck",CHA,15,G,6-3,200 lbs,Arkansas,USA
"Ernie
Beck",GSW,12,G,6-4,190 lbs,Pennsylvania,USA
"Moe
Becker",DEF,,,,,Duquesne,USA
"William
Bedford",DET,0,C,7-0,225 lbs,Memphis,USA
"Reece
Beekman",BKN,4,G,6-3,190 lbs,Virginia,USA
"Hank
Beenders",PRO,6,C,6-5,185 lbs,Long Island-Brooklyn,USA
"Ron
Behagen",SAC,12,F,6-9,185 lbs,Minnesota,USA
"Elmer
Behnke",ATL,,C,6-7,210 lbs,Bradley,USA
"Marco
Belinelli",SAS,18,G,6-5,220 lbs,Fortitudo Bologna,Italy
"Charlie
Bell",MIL,34,G,6-3,200 lbs,Michigan State,USA
"Dennis
Bell",NYK,46,F,6-5,185 lbs,Drake,USA
"Jordan
Bell",CHI,7,F,6-8,216 lbs,Oregon,USA
"Raja
Bell",PHX,19,G,6-5,210 lbs,Florida International,US Virgin Islands
"Troy
Bell",MEM,3,G,6-1,180 lbs,Boston College,USA
"William
Bell",NYK,15,G,6-0,180 lbs,North Carolina State,USA
"Walt
Bellamy",ATL,8,C,6-10,225 lbs,Indiana,USA
"DeAndre'
Bembry",MIL,95,G-F,6-5,210 lbs,St. Joseph's (PA),USA
"Irv
Bemoras",ATL,26,F,6-3,185 lbs,Illinois,USA
"Leon
Benbow",CHI,5,G,6-4,185 lbs,Jacksonville,USA
"Dragan
Bender",PHX,35,F,7-1,225 lbs,Maccabi Tel Aviv,Croatia
"Jonathan
Bender",IND,9,F,7-0,230 lbs,Picayune HS (MS),USA
"Jerrelle
Benimon",UTA,,,,,Towson,USA
"Benoit
Benjamin",LAC,00,C,7-0,265 lbs,Creighton,USA
"Corey
Benjamin",CHI,25,G,6-6,205 lbs,Oregon State,USA
"Anthony
Bennett",MIN,24,F,6-8,245 lbs,UNLV,Canada
"Elmer
Bennett",PHI,5,G,6-0,170 lbs,Notre Dame,USA
"Mario
Bennett",LAL,24,C-F,6-9,235 lbs,Arizona State,USA
"Mel
Bennett",IND,52,F,6-7,200 lbs,Pittsburgh,USA
"Tony
Bennett",CHA,25,G,6-0,175 lbs,Wisconsin-Green Bay,USA
"Winston
Bennett",CLE,30,G,6-7,210 lbs,Kentucky,USA
"David
Benoit",UTA,21,F,6-8,220 lbs,Alabama,USA
"Keith
Benson",GSW,34,F-C,6-11,240 lbs,Oakland,USA
"Kent
Benson",DET,54,C,6-11,235 lbs,Indiana,USA
"Ben
Bentil",DAL,42,F,6-9,235 lbs,Providence,Ghana
"Gene
Berce",ATL,,G,5-11,175 lbs,Marquette,USA
"Gary
Bergen",NYK,18,C,6-8,210 lbs,Utah,USA
"Jules
Bernard",CLE,14,G,6-6,210 lbs,UCLA,USA
"Ricky
Berry",SAC,34,F,6-8,205 lbs,San Jose State,USA
"Walter
Berry",SAS,6,F,6-8,215 lbs,St. John's (NY),USA
"Dairis
Bertans",NOP,9,G,6-4,200 lbs,Olimpia Milano,Latvia
"Dāvis
Bertāns",CHA,9,F,6-10,225 lbs,Baskonia,Latvia
"Del
Beshore",CHI,1,G,5-11,165 lbs,California (PA),USA
"Travis
Best",IND,6,G,5-11,182 lbs,Georgia Tech,USA
"Patrick
Beverley",MIL,21,G,6-2,180 lbs,Arkansas,USA
"Saddiq
Bey",WAS,14,G-F,6-7,215 lbs,Villanova,USA
"Tyler
Bey",HOU,2,F,6-7,215 lbs,Colorado,USA
"Sim
Bhullar",SAC,32,C,7-5,360 lbs,New Mexico State,Canada
"Al
Bianchi",PHI,24,G,6-3,185 lbs,Bowling Green,USA
"Hank
Biasatti",HUS,,G,5-11,175 lbs,Assumption,Canada
"Henry
Bibby",PHI,10-15,G,6-1,185 lbs,UCLA,USA
"Mike
Bibby",SAC,20,G,6-2,195 lbs,Arizona,USA
"Ed
Biedenbach",PHX,12,G,6-1,175 lbs,North Carolina State,USA
"Andris
Biedrins",GSW,15,C,7-0,242 lbs,BK Skonto,Latvia
"Don
Bielke",DET,18,C,6-7,240 lbs,Valparaiso,USA
"Bob
Bigelow",SAC,32,F,6-7,215 lbs,Pennsylvania,USA
"Chauncey
Billups",DET,1,G,6-3,210 lbs,Colorado,USA
"Dave
Bing",DET,21,G,6-3,180 lbs,Syracuse,USA
"Joe
Binion",POR,50,F,6-8,235 lbs,North Carolina A&T,USA
"Khem
Birch",SAS,24,C,6-8,233 lbs,UNLV,Canada
"Jabari
Bird",BOS,26,G,6-6,198 lbs,California,USA
"Jerry
Bird",NYK,7,F,6-6,210 lbs,Kentucky,USA
"Larry
Bird",BOS,33,F,6-9,220 lbs,Indiana State,USA
"Otis
Birdsong",BKN,12,G,6-3,190 lbs,Houston,USA
"Gale
Bishop",GSW,11,F,6-3,195 lbs,Washington State,USA
"Goga
Bitadze",ORL,35,C-F,6-10,250 lbs,Mega Basket,Georgia
"Onuralp
Bitim",CHI,17,F,6-6,215 lbs,Bursaspor,Turkey
"Bismack
Biyombo",SAS,15,C,6-8,255 lbs,Baloncesto Fuenlabrada,DRC
"Nemanja
Bjelica",GSW,8,F,6-9,234 lbs,Fenerbahce,Serbia
"Uwe
Blab",DAL,33,C,7-1,252 lbs,Indiana,USA
"Anthony
Black",ORL,0,G,6-7,200 lbs,Arkansas,USA
"Charlie
Black",DET,21,F,6-4,200 lbs,Kansas,USA
"Leaky
Black",CHA,12,F,6-6,209 lbs,North Carolina,USA
"Norman
Black",DET,,G,6-5,185 lbs,St. Joseph's (PA),USA
