"player","headshot_url","experience","birthdate"
"Precious
Achiuwa","https://cdn.nba.com/headshots/nba/latest/1040x760/1630173.png","4 Years","September 19, 1999"
"Steven
Adams","","10 Years","July 20, 1993"
"Bam
Adebayo","","7 Years","July 18, 1997"
"Ochai
Agbaji","https://cdn.nba.com/headshots/nba/latest/260x190/1628449.png","2 Years","April 20, 2000"
"Santi
Aldama","https://cdn.nba.com/headshots/nba/latest/260x190/1629723.png","3 Years","January 10, 2001"
"Trey
Alexander","","Rookie","May 2, 2003"
"Nickeil
Alexander-Walker","","5 Years","September 2, 1998"
"Grayson
Allen","https://cdn.nba.com/headshots/nba/latest/260x190/1641779.png","6 Years","October 8, 1995"
"Jarrett
Allen","https://cdn.nba.com/headshots/nba/latest/260x190/1629622.png","7 Years","April 21, 1998"
"Jose
Alvarado","","3 Years","April 12, 1998"
"Kyle
Anderson","https://cdn.nba.com/headshots/nba/latest/260x190/201567.png","10 Years","September 20, 1993"
"Giannis
Antetokounmpo","","11 Years","December 6, 1994"
"Cole
Anthony","https://cdn.nba.com/headshots/nba/latest/260x190/1629048.png","4 Years","May 15, 2000"
"OG
Anunoby","https://cdn.nba.com/headshots/nba/latest/260x190/1626153.png","7 Years","July 17, 1997"
"Taran
Armstrong","https://cdn.nba.com/headshots/nba/latest/1040x760/1642379.png","Rookie","January 15, 2002"
"Deni
Avdija","https://cdn.nba.com/headshots/nba/latest/260x190/1630703.png","4 Years","January 3, 2001"
"Deandre
Ayton","","6 Years","July 23, 1998"
"Marcus
Bagley","","Rookie","October 23, 2001"
"Marvin
Bagley III","","6 Years","March 14, 1999"
"Patrick
Baldwin Jr.","https://cdn.nba.com/headshots/nba/latest/260x190/201935.png","2 Years","November 18, 2002"
"LaMelo
Ball","","4 Years","August 22, 2001"
"Lonzo
Ball","","5 Years","October 27, 1997"
"Mo
Bamba","","6 Years","May 12, 1998"
"Paolo
Banchero","https://cdn.nba.com/headshots/nba/latest/260x190/1641710.png","2 Years","November 12, 2002"
"Desmond
Bane","","4 Years","June 25, 1998"
"Dalano
Banton","https://cdn.nba.com/headshots/nba/latest/260x190/1630703.png","3 Years","November 7, 1999"
"Dominick
Barlow","https://cdn.nba.com/headshots/nba/latest/260x190/1630811.png","2 Years","May 26, 2003"
"Harrison
Barnes","","12 Years","May 30, 1992"
"Scottie
Barnes","","3 Years","August 1, 2001"
"RJ
Barrett","","5 Years","June 14, 2000"
"Charles
Bassey","https://cdn.nba.com/headshots/nba/latest/260x190/1642434.png","3 Years","October 28, 2000"
"Emoni
Bates","https://cdn.nba.com/headshots/nba/latest/260x190/1629622.png","1 Year","January 28, 2004"
"Jamison
Battle","","Rookie","May 10, 2001"
"Nicolas
Batum","","16 Years","December 14, 1988"
"Damion
Baugh","https://cdn.nba.com/headshots/nba/latest/260x190/1629684.png","Rookie","August 3, 2000"
"Bradley
Beal","https://cdn.nba.com/headshots/nba/latest/260x190/fallback.png","12 Years","June 28, 1993"
"Malik
Beasley","https://cdn.nba.com/headshots/nba/latest/260x190/1631105.png","8 Years","November 26, 1996"
"MarJon
Beauchamp","https://cdn.nba.com/headshots/nba/latest/260x190/1626153.png","2 Years","October 12, 2000"
"Reece
Beekman","https://cdn.nba.com/headshots/nba/latest/260x190/1631166.png","Rookie","October 8, 2001"
"Saddiq
Bey","","4 Years","April 9, 1999"
"Goga
Bitadze","","5 Years","July 20, 1999"
"Bismack
Biyombo","https://cdn.nba.com/headshots/nba/latest/260x190/1629640.png","13 Years","August 28, 1992"
"Anthony
Black","https://cdn.nba.com/headshots/nba/latest/260x190/1628371.png","1 Year","January 20, 2004"
"Bogdan
Bogdanović","","",""
"Bol
Bol","","5 Years","November 16, 1999"
"Adem
Bona","","Rookie","March 28, 2003"
"Devin
Booker","https://cdn.nba.com/headshots/nba/latest/260x190/1626220.png","9 Years","October 30, 1996"
"Brandon
Boston","","3 Years","November 28, 2001"
"Chris
Boucher","","7 Years","January 11, 1993"
"Jamaree
Bouyea","","2 Years","June 27, 1999"
"Tony
Bradley","","6 Years","January 8, 1998"
"Malaki
Branham","","2 Years","May 12, 2003"
"Christian
Braun","","",""
"Jalen
Bridges","","",""
"Mikal
Bridges","https://cdn.nba.com/headshots/nba/latest/260x190/1626153.png","6 Years","August 30, 1996"
"Miles
Bridges","","",""
"Oshae
Brissett","","",""
"Malcolm
Brogdon","","8 Years","December 11, 1992"
"Dillon
Brooks","","7 Years","January 22, 1996"
"Keion
Brooks Jr.","","Rookie","August 7, 2000"
"Bruce
Brown","","6 Years","August 15, 1996"
"Jaylen
Brown","","",""
"Kobe
Brown","","",""
"Moses
Brown","","",""
"Jalen
Brunson","https://cdn.nba.com/headshots/nba/latest/260x190/1626153.png","6 Years","August 31, 1996"
"Thomas
Bryant","","7 Years","July 31, 1997"
"Kobe
Bufkin","","1 Year","September 21, 2003"
"Alec
Burks","","13 Years","July 20, 1991"
"Jared
Butler","","3 Years","August 25, 2000"
"Jimmy
Butler III","","13 Years","September 14, 1989"
"Matas
Buzelis","","",""
"Jamal
Cain","","",""
"Kentavious
Caldwell-Pope","","",""
"Toumani
Camara","","",""
"Vlatko
Čančar","","",""
"Clint
Capela","","",""
"Branden
Carlson","","",""
"Bub
Carrington","","",""
"Devin
Carter","","Rookie","March 18, 2002"
"Jevon
Carter","","",""
"Wendell
Carter Jr.","","",""
"D.J.
Carton","","1 Year","August 5, 2000"
"Alex
Caruso","","",""
"Stephon
Castle","","Rookie","November 1, 2004"
"Colin
Castleton","","1 Year","May 25, 2000"
"Julian
Champagnie","","",""
"Justin
Champagnie","","",""
"Ulrich
Chomche","","",""
"Cam
Christie","","",""
"Max
Christie","","",""
"Josh
Christopher","","",""
"Sidy
Cissoko","","",""
"Jaylen
Clark","","",""
