"player","team","number","position","height","weight","last_attended","country","profile_url","is_active","is_free_agent","is_retired"
"Alaa Abdelnaby","","","","","","","","https://www.nba.com/player/76001/HISTADD-alaa-abdelnaby",False,False,True
"Zaid Abdul-Aziz","","","","","","","","https://www.nba.com/player/76002/HISTADD-zaid-abdul-aziz",False,False,True
"Kareem Abdul-Jabbar","","","","","","","","https://www.nba.com/player/76003/HISTADD-kareem-abdul-jabbar",False,False,True
"Mahmoud Abdul-Rauf","","","","","","","","https://www.nba.com/player/51/mahmoud-abdul-rauf",False,False,True
"Tariq Abdul-Wahad","","","","","","","","https://www.nba.com/player/1505/tariq-abdul-wahad",False,False,True
"Shareef Abdur-Rahim","","","","","","","","https://www.nba.com/player/949/shareef-abdur-rahim",False,False,True
"Tom Abernethy","","","","","","","","https://www.nba.com/player/76005/HISTADD-tom-abernethy",False,False,True
"Forest Able","","","","","","","","https://www.nba.com/player/76006/HISTADD-frosty-able",False,False,True
"John Abramovic","","","","","","","","https://www.nba.com/player/76007/HISTADD-brooms-abramovic",False,False,True
"Alex Abrines","","","","","","","","https://www.nba.com/player/203518/alex-abrines",False,False,True
"Precious Achiuwa","NYK","","","","","","","https://www.nba.com/player/1630173/precious-achiuwa",True,False,False
"Alex Acker","","","","","","","","https://www.nba.com/player/101165/alex-acker",False,False,True
"Donald Ackerman","","","","","","","","https://www.nba.com/player/76008/HISTADD-buddy-ackerman",False,False,True
"Mark Acres","","","","","","","","https://www.nba.com/player/76009/HISTADD-mark-acres",False,False,True
"Charles Acton","","","","","","","","https://www.nba.com/player/76010/HISTADD-bud-acton",False,False,True
"Quincy Acy","","","","","","","","https://www.nba.com/player/203112/quincy-acy",False,False,True
"Alvan Adams","","","","","","","","https://www.nba.com/player/76011/HISTADD-alvan-adams",False,False,True
"Don Adams","","","","","","","","https://www.nba.com/player/76012/HISTADD-don-adams",False,False,True
"Hassan Adams","","","","","","","","https://www.nba.com/player/200801/hassan-adams",False,False,True
"Jaylen Adams","","","","","","","","https://www.nba.com/player/1629121/jaylen-adams",False,False,True
"Jordan Adams","","","","","","","","https://www.nba.com/player/203919/jordan-adams",False,False,True
"Michael Adams","","","","","","","","https://www.nba.com/player/149/michael-adams",False,False,True
"Steven Adams","HOU","","","","","","","https://www.nba.com/player/203500/steven-adams",True,False,False
"Rafael Addison","","","","","","","","https://www.nba.com/player/912/rafael-addison",False,False,True
"Bam Adebayo","MIA","","","","","","","https://www.nba.com/player/1628389/bam-adebayo",True,False,False
"Deng Adel","","","","","","","","https://www.nba.com/player/1629061/deng-adel",False,False,True
"Rick Adelman","","","","","","","","https://www.nba.com/player/76015/HISTADD-rick-adelman",False,False,True
"Jeff Adrien","","","","","","","","https://www.nba.com/player/202399/jeff-adrien",False,False,True
"Arron Afflalo","","","","","","","","https://www.nba.com/player/201167/arron-afflalo",False,False,True
"Ochai Agbaji","TOR","","","","","","","https://www.nba.com/player/1630534/ochai-agbaji",True,False,False
"Maurice Ager","","","","","","","","https://www.nba.com/player/200772/maurice-ager",False,False,True
"Mark Aguirre","","","","","","","","https://www.nba.com/player/76016/HISTADD-mark-aguirre",False,False,True
"Blake Ahearn","","","","","","","","https://www.nba.com/player/201336/blake-ahearn",False,False,True
"Danny Ainge","","","","","","","","https://www.nba.com/player/76017/HISTADD-danny-ainge",False,False,True
"Alexis Ajinca","","","","","","","","https://www.nba.com/player/201582/alexis-ajinca",False,False,True
"Henry Akin","","","","","","","","https://www.nba.com/player/76018/HISTADD-henry-akin",False,False,True
"Josh Akognon","","","","","","","","https://www.nba.com/player/203006/josh-akognon",False,False,True
"DeVaughn Akoon-Purcell","","","","","","","","https://www.nba.com/player/1629152/devaughn-akoon-purcell",False,False,True
"Solomon Alabi","","","","","","","","https://www.nba.com/player/202374/solomon-alabi",False,False,True
"Mark Alarie","","","","","","","","https://www.nba.com/player/76019/HISTADD-mark-alarie",False,False,True
"Gary Alcorn","","","","","","","","https://www.nba.com/player/76020/HISTADD-gary-alcorn",False,False,True
"Santi Aldama","MEM","","","","","","","https://www.nba.com/player/1630583/santi-aldama",True,False,False
"Furkan Aldemir","","","","","","","","https://www.nba.com/player/203128/furkan-aldemir",False,False,True
"Cole Aldrich","","","","","","","","https://www.nba.com/player/202332/cole-aldrich",False,False,True
"LaMarcus Aldridge","","","","","","","","https://www.nba.com/player/200746/lamarcus-aldridge",False,False,True
"Chuck Aleksinas","","","","","","","","https://www.nba.com/player/76021/HISTADD-chuck-aleksinas",False,False,True
"Cliff Alexander","","","","","","","","https://www.nba.com/player/1626146/cliff-alexander",False,False,True
"Cory Alexander","","","","","","","","https://www.nba.com/player/724/cory-alexander",False,False,True
"Courtney Alexander","","","","","","","","https://www.nba.com/player/2042/courtney-alexander",False,False,True
"Gary Alexander","","","","","","","","https://www.nba.com/player/76022/HISTADD-gary-alexander",False,False,True
"Joe Alexander","","","","","","","","https://www.nba.com/player/201570/joe-alexander",False,False,True
"Kyle Alexander","","","","","","","","https://www.nba.com/player/1629734/kyle-alexander",False,False,True
"Trey Alexander","DEN","","","","","","","https://www.nba.com/player/1641725/trey-alexander",True,False,False
"Ty-Shon Alexander","","","","","","","","https://www.nba.com/player/1630234/ty-shon-alexander",False,False,True
"Victor Alexander","","","","","","","","https://www.nba.com/player/2349/victor-alexander",False,False,True
"Nickeil Alexander-Walker","MIN","","","","","","","https://www.nba.com/player/1629638/nickeil-alexander-walker",True,False,False
"Steve Alford","","","","","","","","https://www.nba.com/player/76024/HISTADD-steve-alford",False,False,True
"Rawle Alkins","","","","","","","","https://www.nba.com/player/1628959/rawle-alkins",False,False,True
"Bob Allen","","","","","","","","https://www.nba.com/player/76028/HISTADD-bob-allen",False,False,True
"Grayson Allen","PHX","","","","","","","https://www.nba.com/player/1628960/grayson-allen",True,False,False
"Jarrett Allen","CLE","","","","","","","https://www.nba.com/player/1628386/jarrett-allen",True,False,False
"Jerome Allen","","","","","","","","https://www.nba.com/player/706/jerome-allen",False,False,True
"Kadeem Allen","","","","","","","","https://www.nba.com/player/1628443/kadeem-allen",False,False,True
"Lavoy Allen","","","","","","","","https://www.nba.com/player/202730/lavoy-allen",False,False,True
"Lucius Allen","","","","","","","","https://www.nba.com/player/76027/HISTADD-lucius-allen",False,False,True
"Malik Allen","","","","","","","","https://www.nba.com/player/2124/malik-allen",False,False,True
"Randy Allen","","","","","","","","https://www.nba.com/player/76025/HISTADD-randy-allen",False,False,True
"Ray Allen","","","","","","","","https://www.nba.com/player/951/ray-allen",False,False,True
"Timmy Allen","","","","","","","","https://www.nba.com/player/1641851/timmy-allen",False,False,True
