TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK
1610612737,Atlanta Hawks,82,36,46,0.439,3971.0,118.4,31.9,0.717,7.4,4.5,16.5,13.6,16.5,53.2,1,21,21,21,3,27,22,16,17,26,18,11,28,25
1610612738,Boston Celtics,82,64,18,0.78,3966.0,110.6,35.4,0.726,6.7,6.5,13.2,13.5,12.9,47.3,1,1,1,1,7,2,1,7,27,2,1,10,4,9
1610612751,Brooklyn Nets,82,32,50,0.39,3961.0,115.4,32.4,0.715,6.7,5.1,15.3,13.9,15.5,48.0,1,22,22,22,10,20,20,19,28,12,9,17,25,11
1610612766,Charlotte Hornets,82,21,61,0.256,3946.0,119.2,30.9,0.709,6.8,4.5,17.0,14.1,13.7,52.4,1,27,27,27,23,29,29,22,25,25,20,22,12,23
1610612741,Chicago Bulls,82,39,43,0.476,3996.0,115.7,32.2,0.717,7.7,4.7,15.0,13.6,13.1,44.8,1,20,20,20,1,22,21,17,11,18,7,14,6,1
1610612739,Cleveland Cavaliers,82,48,34,0.585,3961.0,112.1,33.2,0.721,7.3,4.6,17.3,12.8,14.3,46.2,1,11,11,11,10,7,11,14,19,21,24,5,15,4
1610612742,Dallas Mavericks,82,50,32,0.61,3941.0,114.9,33.2,0.711,6.9,4.9,15.1,14.3,15.7,51.0,1,6,6,6,26,18,12,21,24,17,8,24,26,21
1610612743,Denver Nuggets,82,57,25,0.695,3941.0,112.3,33.6,0.718,7.1,5.6,15.8,13.2,13.5,50.3,1,2,2,2,26,8,8,15,21,9,14,8,8,18
1610612765,Detroit Pistons,82,14,68,0.171,3951.0,118.0,32.7,0.73,6.5,4.7,19.6,13.8,14.2,54.3,1,30,30,30,21,25,18,5,30,20,30,16,14,27
1610612744,Golden State Warriors,82,46,36,0.561,3966.0,114.5,34.3,0.725,6.9,4.6,17.1,13.3,14.8,49.3,1,16,16,16,7,15,4,10,23,23,22,9,20,14
1610612745,Houston Rockets,82,41,41,0.5,3971.0,112.8,33.7,0.722,7.7,4.5,14.8,13.7,11.6,48.3,1,19,19,19,3,10,7,12,8,24,4,15,1,12
1610612754,Indiana Pacers,82,47,35,0.573,3941.0,117.6,31.4,0.7,7.7,5.9,15.8,14.8,13.7,58.4,1,12,12,12,26,24,28,26,9,8,13,26,11,30
1610612746,LA Clippers,82,51,31,0.622,3941.0,114.6,32.9,0.705,7.8,5.0,15.6,14.0,14.9,49.6,1,5,5,5,26,16,15,24,7,15,11,20,21,16
1610612747,Los Angeles Lakers,82,47,35,0.573,3971.0,114.8,34.6,0.725,7.3,5.5,16.9,14.8,16.1,50.8,1,12,12,12,3,17,2,11,20,11,19,27,27,20
1610612763,Memphis Grizzlies,82,27,55,0.329,3956.0,113.7,31.5,0.706,8.2,6.1,18.4,13.9,15.0,47.9,1,24,24,24,17,12,27,23,4,4,26,18,22,10
1610612748,Miami Heat,82,46,36,0.561,3951.0,111.5,32.8,0.734,7.5,3.4,15.8,13.2,13.0,46.2,1,16,16,16,21,5,17,3,15,30,12,7,5,3
1610612749,Milwaukee Bucks,82,49,33,0.598,3961.0,115.0,34.5,0.731,6.8,5.0,14.9,13.6,13.5,50.7,1,8,8,8,10,19,3,4,26,16,6,13,9,19
1610612750,Minnesota Timberwolves,82,56,26,0.683,3961.0,108.4,34.0,0.725,7.8,6.0,16.2,12.6,13.2,45.8,1,4,4,4,10,1,5,9,6,5,15,4,7,2
1610612740,New Orleans Pelicans,82,49,33,0.598,3941.0,111.9,33.5,0.725,8.3,4.6,15.6,12.8,13.6,46.6,1,8,8,8,26,6,10,8,3,22,10,6,10,5
1610612752,New York Knicks,82,50,32,0.61,3946.0,112.4,32.4,0.729,7.4,4.1,14.9,12.3,13.8,46.8,1,6,6,6,23,9,19,6,16,29,5,3,13,7
1610612760,Oklahoma City Thunder,82,57,25,0.695,3961.0,111.0,33.0,0.698,8.4,6.5,14.7,15.2,12.4,46.7,1,2,2,2,10,4,13,27,2,1,3,28,3,6
1610612753,Orlando Magic,82,47,35,0.573,3956.0,110.8,31.6,0.737,8.1,5.1,16.4,12.1,14.4,47.2,1,12,12,12,17,3,25,2,5,13,17,2,19,8
1610612755,Philadelphia 76ers,82,47,35,0.573,3956.0,113.0,31.7,0.701,8.4,6.0,14.3,13.6,15.3,49.8,1,12,12,12,17,11,24,25,1,6,2,12,24,17
