player,team,number,position,height,weight,last_attended,country,profile_url,is_active,is_free_agent,is_retired,headshot_url,birthdate,experience,legacy,draft_year,draft_round,draft_pick,draft_status,player_id
Tony Bradley,IND,13,Center-Forward,83.0,248.0,North Carolina,USA,https://www.nba.com/player/1628396/tony-bradley,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,6.0,False,2017.0,1.0,28.0,Drafted,bradlto01
Thomas Bryant,IND,3,Center-Forward,82.0,248.0,Indiana,USA,https://www.nba.com/player/1628418/thomas-bryant,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,7.0,False,2017.0,2.0,42.0,Drafted,bryanth01
RayJ Dennis,IND,10,Guard,74.0,180.0,Baylor,USA,https://www.nba.com/player/1642484/rayj-dennis,True,False,False,https://cdn.nba.com/headshots/nba/latest/260x190/1630169.png,1980-01-01,,False,0.0,0.0,0.0,UDF,dennira01
Enrique Freeman,IND,8,Forward,79.0,220.0,Akron,USA,https://www.nba.com/player/1642402/enrique-freeman,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,,False,2024.0,2.0,50.0,Drafted,freemen01
Johnny Furphy,IND,12,Guard,81.0,200.0,Kansas,Australia,https://www.nba.com/player/1642277/johnny-furphy,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,,False,2024.0,2.0,35.0,Drafted,furphjo01
Tyrese Haliburton,IND,0,Guard,77.0,185.0,Iowa State,USA,https://www.nba.com/player/1630169/tyrese-haliburton,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,4.0,False,2020.0,1.0,12.0,Drafted,halibty01
Isaiah Jackson,IND,22,Forward,81.0,205.0,Kentucky,USA,https://www.nba.com/player/1630543/isaiah-jackson,True,False,False,https://cdn.nba.com/headshots/nba/latest/260x190/1630169.png,1980-01-01,3.0,False,2021.0,1.0,22.0,Drafted,jacksis01
Quenton Jackson,IND,29,Guard,77.0,173.0,Texas A&M,USA,https://www.nba.com/player/1631245/quenton-jackson,True,False,False,https://cdn.nba.com/headshots/nba/latest/260x190/fallback.png,1980-01-01,2.0,False,0.0,0.0,0.0,UDF,jacksqu01
James Johnson,IND,16,Forward,79.0,240.0,Wake Forest,USA,https://www.nba.com/player/201949/james-johnson,True,False,False,https://cdn.nba.com/headshots/nba/latest/260x190/1630169.png,1980-01-01,15.0,False,2009.0,1.0,16.0,Drafted,johnsja01
Bennedict Mathurin,IND,00,Guard-Forward,77.0,210.0,Arizona,Canada,https://www.nba.com/player/1631097/bennedict-mathurin,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,2.0,False,2022.0,1.0,6.0,Drafted,mathube01
