team_id,team_name,team,gp,g,freq,fgm_gt_15,fga_gt_15,gt_15_pct,ns_gt_15_pct,plusminus
1610612740,New Orleans Pelicans,NOP,82,82,0.518,1309,3683,0.355,0.372,-0.017
1610612745,Houston Rockets,HOU,82,82,0.485,1257,3495,0.36,0.374,-0.014
1610612757,Portland Trail Blazers,POR,82,82,0.468,1201,3322,0.362,0.374,-0.013
1610612743,Denver Nuggets,DEN,81,81,0.437,1117,3108,0.359,0.372,-0.013
1610612738,Boston Celtics,BOS,82,82,0.484,1322,3632,0.364,0.372,-0.008
1610612755,Philadelphia 76ers,PHI,81,81,0.464,1182,3251,0.364,0.372,-0.008
1610612748,Miami Heat,MIA,82,82,0.507,1301,3574,0.364,0.372,-0.008
1610612750,Minnesota Timberwolves,MIN,82,82,0.471,1218,3347,0.364,0.372,-0.008
1610612749,Milwaukee Bucks,MIL,82,82,0.471,1299,3550,0.366,0.373,-0.007
1610612744,Golden State Warriors,GSW,82,82,0.49,1328,3630,0.366,0.373,-0.007
1610612760,Oklahoma City Thunder,OKC,82,82,0.495,1324,3626,0.365,0.372,-0.007
1610612753,Orlando Magic,ORL,82,82,0.474,1196,3260,0.367,0.372,-0.005
1610612756,Phoenix Suns,PHX,82,82,0.486,1328,3613,0.368,0.371,-0.004
1610612746,LA Clippers,LAC,82,82,0.482,1308,3510,0.373,0.373,0.0
1610612742,Dallas Mavericks,DAL,82,82,0.481,1327,3564,0.372,0.373,0.0
1610612764,Washington Wizards,WAS,82,82,0.443,1263,3372,0.375,0.373,0.002
1610612752,New York Knicks,NYK,82,82,0.487,1282,3422,0.375,0.372,0.002
1610612739,Cleveland Cavaliers,CLE,82,82,0.469,1267,3366,0.376,0.372,0.004
1610612766,Charlotte Hornets,CHA,82,82,0.485,1321,3487,0.379,0.373,0.006
1610612761,Toronto Raptors,TOR,82,82,0.477,1356,3563,0.381,0.374,0.007
1610612759,San Antonio Spurs,SAS,82,82,0.46,1330,3483,0.382,0.375,0.007
1610612754,Indiana Pacers,IND,82,82,0.41,1149,3016,0.381,0.373,0.008
1610612741,Chicago Bulls,CHI,82,82,0.53,1429,3767,0.379,0.372,0.008
1610612751,Brooklyn Nets,BKN,80,80,0.479,1290,3387,0.381,0.372,0.009
1610612747,Los Angeles Lakers,LAL,82,82,0.498,1468,3805,0.386,0.374,0.012
1610612763,Memphis Grizzlies,MEM,82,82,0.489,1352,3484,0.388,0.374,0.014
1610612765,Detroit Pistons,DET,82,82,0.449,1266,3278,0.386,0.373,0.014
1610612758,Sacramento Kings,SAC,82,82,0.472,1309,3357,0.39,0.375,0.015
1610612737,Atlanta Hawks,ATL,82,82,0.476,1375,3522,0.39,0.371,0.019
1610612762,Utah Jazz,UTA,82,82,0.485,1460,3641,0.401,0.375,0.026
