season,team_id,team,sos_v0
2024-25,1610612737,ATL,-0.19720404521118384
2024-25,1610612738,BOS,-0.8819155264723378
2024-25,1610612739,CLE,-0.43679357525282575
2024-25,1610612740,NOP,-0.022159428911362276
2024-25,1610612741,CHI,-0.258923259964307
2024-25,1610612742,DAL,0.10797144556811422
2024-25,1610612743,DEN,0.12492563950029746
2024-25,1610612744,GSW,0.24301011302795952
2024-25,1610612745,HOU,0.37046400951814396
2024-25,1610612746,LAC,0.1643367043426532
2024-25,1610612747,LAL,0.0510113027959548
2024-25,1610612748,MIA,-0.3805770374776919
2024-25,1610612749,MIL,-0.2907495538370018
2024-25,1610612750,MIN,-0.0886377156454491
2024-25,1610612751,BKN,0.03955978584176076
2024-25,1610612752,NYK,-0.4598453301606186
2024-25,1610612753,ORL,-0.40110053539559787
2024-25,1610612754,IND,-0.320493753718025
2024-25,1610612755,PHI,-0.19036287923854855
2024-25,1610612756,PHX,0.033313503866746
2024-25,1610612757,POR,0.7024092801903629
2024-25,1610612758,SAC,0.13161808447352766
2024-25,1610612759,SAS,0.35514574657941705
2024-25,1610612760,OKC,-0.10336109458655561
2024-25,1610612761,TOR,0.13503866745984527
2024-25,1610612762,UTA,0.37373587150505655
2024-25,1610612763,MEM,0.47456870910172516
2024-25,1610612764,WAS,0.2681439619274241
2024-25,1610612765,DET,0.2651695419393218
2024-25,1610612766,CHA,0.1917013682331945
