season_id,player_id,player,team_id,team,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx
42022,1628370,Malik Monk,1610612758,SAC,Sacramento Kings,Misc,Offensive,0.0,7,0.038,1.0,0.0,0.6,0.2,0.2,0.0,0.6,0.0,1.0,0.7,0.0,0.1,0.1
42022,1627734,Domantas Sabonis,1610612758,SAC,Sacramento Kings,Misc,Offensive,0.257,7,0.087,0.417,0.5,0.25,0.583,0.0,0.0,0.25,0.005,2.0,0.7,0.1,0.3,0.1
42022,1629056,Terence Davis,1610612758,SAC,Sacramento Kings,Misc,Offensive,0.0,4,0.043,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.5,0.3,0.3,0.0
42022,203084,Harrison Barnes,1610612758,SAC,Sacramento Kings,Misc,Offensive,0.0,7,0.04,0.667,0.0,0.333,0.0,0.0,0.0,0.333,0.0,0.0,0.3,0.0,0.3,0.3
42022,1629002,Chimezie Metu,1610612758,SAC,Sacramento Kings,Misc,Offensive,0.0,3,0.333,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0
42022,1628408,PJ Dozier,1610612758,SAC,Sacramento Kings,Misc,Offensive,0.0,3,0.143,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0
42022,1631099,Keegan Murray,1610612758,SAC,Sacramento Kings,Misc,Offensive,0.0,7,0.031,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.1,0.0,0.0,0.0
42022,1626168,Trey Lyles,1610612758,SAC,Sacramento Kings,Misc,Offensive,0.0,7,0.022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42022,1628989,Kevin Huerter,1610612758,SAC,Sacramento Kings,Misc,Offensive,0.0,7,0.013,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42022,1628368,De'Aaron Fox,1610612758,SAC,Sacramento Kings,Misc,Offensive,0.0,7,0.019,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42022,203458,Alex Len,1610612758,SAC,Sacramento Kings,Misc,Offensive,0.0,7,0.263,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42022,1630558,Davion Mitchell,1610612758,SAC,Sacramento Kings,Misc,Offensive,0.0,7,0.093,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.4
