SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2023-24,1641726,Dereck Lively II,Dereck,1610612742,DAL,Dallas Mavericks,0042300405,2024-06-17T00:00:00,DAL @ BOS,L,54.7,2.3,4.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,9.1,0.0,2.3,0.0,2.3,2.3,11.4,2.3,4.5,-13.6,20.0,0,0,18.2,1,835,1,835,158,1312,1509,523,879,1271,879,797,847,797,262,1003,655,1167,661,701,269,272,98,924,1376,1143,1411,150,13,1423,1,24:05
2023-24,1629052,Oshae Brissett,Oshae,1610612738,BOS,Boston Celtics,0042300405,2024-06-17T00:00:00,BOS vs. DAL,W,64.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,1,852,1,28,1355,1548,1355,879,1271,879,797,847,797,842,1378,1455,1167,935,701,538,564,1279,1106,1400,786,1587,150,13,1588,1,0:39
2023-24,1630639,A.J. Lawson,A.J.,1610612742,DAL,Dallas Mavericks,0042300405,2024-06-17T00:00:00,DAL @ BOS,L,65.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0,0,0.0,1,835,1,835,24,1355,1548,1355,879,1271,879,797,847,797,842,1378,1455,1167,935,701,538,564,1279,1106,1400,9,1587,150,13,1588,1,2:37
2023-24,1627884,Derrick Jones Jr.,Derrick,1610612742,DAL,Dallas Mavericks,0042300405,2024-06-17T00:00:00,DAL @ BOS,L,54.5,9.8,19.5,0.5,2.4,9.8,0.25,2.4,4.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,4.9,24.4,-19.5,31.7,0,0,31.7,1,835,1,835,175,483,561,523,609,440,682,667,512,632,842,1378,1455,1167,935,701,247,564,1279,506,573,1243,1122,150,13,1078,1,22:20
2023-24,201143,Al Horford,Al,1610612738,BOS,Boston Celtics,0042300405,2024-06-17T00:00:00,BOS vs. DAL,W,52.6,5.0,10.0,0.5,3.3,5.0,0.667,1.7,3.3,0.5,3.3,11.7,15.0,3.3,0.0,3.3,0.0,0.0,5.0,1.7,15.0,33.3,48.0,0,0,43.3,1,1,852,1,411,1019,1246,523,441,972,111,728,653,632,388,249,248,837,935,193,538,564,549,1005,999,199,601,150,13,679,1,31:35
2023-24,203957,Danté Exum,Danté,1610612742,DAL,Dallas Mavericks,0042300405,2024-06-17T00:00:00,DAL @ BOS,L,55.1,6.3,6.3,1.0,6.3,6.3,1.0,6.3,12.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,25.0,-37.5,25.0,0,0,31.3,1,835,1,835,136,884,1460,1,133,819,1,278,108,632,842,1378,1455,1167,935,701,538,564,1279,352,527,1453,1306,150,13,1096,1,8:49
2023-24,1628467,Maxi Kleber,Maxi,1610612742,DAL,Dallas Mavericks,0042300405,2024-06-17T00:00:00,DAL @ BOS,L,49.8,3.7,11.1,0.333,0.0,7.4,0.0,0.0,0.0,0.0,3.7,7.4,11.1,3.7,0.0,0.0,0.0,0.0,7.4,0.0,7.4,-44.4,26.3,0,0,22.2,1,835,1,835,1058,1159,1171,1040,879,684,879,797,847,797,343,606,486,777,935,701,538,564,257,1106,1295,1512,1278,150,13,1338,1,13:26
2023-24,1628436,Luke Kornet,Luke,1610612738,BOS,Boston Celtics,0042300405,2024-06-17T00:00:00,BOS vs. DAL,W,67.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.7,40.0,0,0,33.3,1,1,852,1,15,1355,1548,1355,879,1271,879,797,847,797,3,1378,14,1167,935,701,538,564,1279,1106,1400,1612,862,150,13,1007,1,2:02
2023-24,204001,Kristaps Porziņģis,Kristaps,1610612738,BOS,Boston Celtics,0042300405,2024-06-17T00:00:00,BOS vs. DAL,W,51.9,6.5,12.9,0.5,0.0,6.5,0.0,3.2,6.5,0.5,0.0,3.2,3.2,0.0,0.0,0.0,0.0,0.0,6.5,16.1,16.1,25.8,20.0,0,0,19.4,1,1,852,1,551,872,1054,523,879,799,879,537,393,632,842,1179,1341,1167,935,701,538,564,360,25,956,287,1411,150,13,1405,1,16:05
2023-24,202681,Kyrie Irving,Kyrie,1610612742,DAL,Dallas Mavericks,0042300405,2024-06-17T00:00:00,DAL @ BOS,L,54.1,6.6,21.1,0.313,3.9,11.8,0.333,2.6,2.6,1.0,1.3,2.6,3.9,11.8,1.3,1.3,0.0,1.3,2.6,2.6,19.7,-14.5,44.9,0,0,42.1,1,835,1,835,218,852,451,1144,370,271,525,635,748,1,759,1252,1272,105,880,610,538,468,1019,858,768,1161,705,150,13,723,1,41:07
