PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK
1630639,A.J. Lawson,A.J.,1610612742,DAL,23.0,10,7,3,0.7,29.94333333333333,8.0,4.8,6.4,6.4,12.8,4.8,9.6,35.3,1.6,0.0,1.6,1.6,28.2,56,37,53,25,162,5,23,6,99,88,31,51,179,40,1,30,157,161
1631260,AJ Green,AJ,1610612749,MIL,24.0,6,2,4,0.333,67.42333333333333,2.1,0.0,3.6,2.8,10.7,11.4,8.5,44.1,0.0,0.0,6.4,2.8,21.2,95,101,84,113,135,111,153,41,162,53,108,36,91,142,1,190,109,194
203932,Aaron Gordon,Aaron,1610612743,DEN,28.0,12,7,5,0.583,444.77166666666665,1.3,3.1,2.6,11.7,15.2,10.8,14.8,53.3,0.8,0.5,3.0,3.3,42.0,43,37,161,54,27,143,56,67,44,135,94,155,21,97,90,81,93,83
1630174,Aaron Nesmith,Aaron,1610612754,IND,24.0,17,8,9,0.471,559.3616666666667,1.6,2.1,2.0,5.1,14.1,13.2,11.0,45.7,0.8,0.4,5.7,3.9,31.9,17,24,200,84,12,128,92,93,130,111,142,86,75,96,81,186,70,139
1630598,Aaron Wiggins,Aaron,1610612760,OKC,25.0,10,6,4,0.6,156.87833333333333,2.4,3.7,1.2,10.4,13.5,20.2,9.2,39.8,0.9,0.3,2.4,2.4,40.8,56,51,84,36,90,93,41,123,57,96,201,45,148,77,76,55,127,86
201143,Al Horford,Al,1610612738,BOS,38.0,19,16,3,0.842,574.8883333333333,2.3,1.1,1.2,4.7,12.9,9.4,9.6,49.3,1.3,0.0,2.3,1.2,39.6,9,1,53,10,11,99,135,124,135,89,68,50,43,53,1,46,171,93
202692,Alec Burks,Alec,1610612752,NYK,32.0,6,2,4,0.333,120.55166666666666,5.2,5.2,2.4,7.2,10.4,11.1,13.1,54.9,0.4,1.6,2.4,8.4,51.0,95,101,84,113,113,21,18,77,93,47,106,126,18,118,178,49,9,31
1629599,Amir Coffey,Amir,1610612746,LAC,27.0,6,2,4,0.333,112.22666666666667,0.9,2.1,0.0,3.4,15.4,15.4,12.8,51.3,0.4,0.9,2.6,0.4,15.4,95,101,84,113,118,150,93,145,151,142,172,115,34,115,127,59,181,206
1641748,Andre Jackson Jr.,Andre,1610612749,MIL,22.0,5,1,4,0.2,59.693333333333335,1.6,3.2,0.0,4.8,8.8,12.9,8.8,33.8,0.8,0.8,8.0,0.0,44.4,122,136,84,157,142,130,55,145,133,33,135,40,188,90,119,202,183,63
1629614,Andrew Nembhard,Andrew,1610612754,IND,24.0,17,8,9,0.471,554.2733333333333,2.9,1.8,1.6,8.8,12.7,15.2,9.7,45.7,0.3,0.9,4.8,2.5,40.5,17,24,200,84,13,72,109,107,75,83,169,53,74,125,130,155,125,89
