team_id,team_name,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,team
1610612737,Atlanta Hawks,41,20,21,0.488,165.34,10.9,8.3,5.0,38.3,10.2,10.7,6.5,37.0,17,17,14,15,9,13,26,21,5,13,16,20,29,ATLANTA HAWKS
1610612738,Boston Celtics,42,23,19,0.548,148.27333333333334,12.9,9.2,7.8,34.0,7.0,12.6,6.3,29.6,14,9,12,11,19,8,23,7,10,2,21,17,9,BOSTON CELTICS
1610612751,Brooklyn Nets,44,24,20,0.545,183.4033333333333,10.6,12.4,3.1,31.4,12.6,16.5,5.9,31.4,11,5,13,12,2,16,10,30,16,22,30,12,14,BROOKLYN NETS
1610612766,Charlotte Hornets,39,18,21,0.462,158.54666666666665,9.1,10.2,4.1,24.1,6.8,7.7,6.4,31.8,21,23,14,20,15,24,17,24,28,1,7,18,16,CHARLOTTE HORNETS
1610612741,Chicago Bulls,39,15,24,0.385,162.76333333333332,10.0,5.5,4.4,29.6,11.5,10.6,5.1,31.8,21,25,21,25,12,20,29,23,21,21,15,7,17,CHICAGO BULLS
1610612739,Cleveland Cavaliers,34,13,21,0.382,101.03,10.0,12.5,7.5,28.5,8.9,13.9,6.1,25.7,27,28,14,27,30,18,9,8,22,7,26,15,2,CLEVELAND CAVALIERS
1610612742,Dallas Mavericks,46,20,26,0.435,171.27166666666668,9.9,10.3,5.9,30.3,9.7,6.9,6.9,34.1,4,17,27,22,8,22,16,18,19,9,4,22,22,DALLAS MAVERICKS
1610612743,Denver Nuggets,46,31,15,0.674,151.885,13.3,16.8,3.8,39.3,14.0,7.3,7.6,34.1,4,1,2,1,18,6,2,26,3,26,5,26,23,DENVER NUGGETS
1610612765,Detroit Pistons,42,20,22,0.476,172.945,9.0,11.0,3.7,32.1,12.9,6.2,5.0,30.4,14,17,18,17,6,25,13,27,14,23,2,5,12,DETROIT PISTONS
1610612744,Golden State Warriors,35,20,15,0.571,137.64,12.6,7.3,6.5,22.5,9.7,10.7,8.6,27.7,26,17,2,9,26,9,27,15,30,10,17,29,5,GOLDEN STATE WARRIORS
1610612745,Houston Rockets,41,24,17,0.585,146.63166666666666,7.9,10.3,6.1,24.1,10.3,6.9,7.9,31.4,17,5,8,8,21,30,15,16,29,14,3,27,15,HOUSTON ROCKETS
1610612754,Indiana Pacers,41,23,18,0.561,121.10666666666668,10.7,12.8,5.9,30.3,10.7,9.2,7.4,27.9,17,9,10,10,28,15,7,17,18,16,9,25,6,INDIANA PACERS
1610612746,LA Clippers,43,27,16,0.628,155.28,15.1,9.7,6.7,32.0,13.9,9.7,6.0,30.6,12,3,6,3,17,3,21,14,15,25,11,14,13,LA CLIPPERS
1610612747,Los Angeles Lakers,43,21,22,0.488,143.57833333333335,11.8,10.8,13.0,39.1,10.8,10.5,5.0,24.1,12,15,18,14,23,10,14,1,4,17,14,6,1,LOS ANGELES LAKERS
1610612763,Memphis Grizzlies,47,19,28,0.404,192.63666666666663,11.8,6.4,3.2,26.2,11.0,11.4,8.6,34.0,2,21,29,24,1,11,28,29,27,18,18,28,21,MEMPHIS GRIZZLIES
1610612748,Miami Heat,45,21,24,0.467,158.455,10.9,9.1,6.8,32.3,11.4,10.2,6.4,30.0,7,15,21,19,16,12,24,13,13,20,13,19,10,MIAMI HEAT
1610612749,Milwaukee Bucks,36,22,14,0.611,137.7,15.2,13.3,9.2,41.8,9.9,9.2,5.2,27.7,25,12,1,4,25,1,5,4,1,12,8,8,4,MILWAUKEE BUCKS
1610612750,Minnesota Timberwolves,45,19,26,0.422,172.14666666666668,9.2,14.4,5.0,30.5,11.1,11.9,5.4,32.2,7,21,27,23,7,23,4,20,17,19,20,11,18,MINNESOTA TIMBERWOLVES
1610612740,New Orleans Pelicans,45,17,28,0.378,143.85333333333332,13.8,10.0,3.5,37.0,9.0,10.0,6.3,39.5,7,24,29,28,22,5,19,28,6,8,12,16,30,NEW ORLEANS PELICANS
1610612752,New York Knicks,34,11,23,0.324,130.31166666666667,9.9,5.2,7.5,26.5,10.5,12.7,3.6,28.7,27,30,20,30,27,21,30,10,26,15,23,2,8,NEW YORK KNICKS
1610612760,Oklahoma City Thunder,46,22,24,0.478,174.07833333333335,13.0,11.8,7.0,28.1,8.9,13.6,5.4,35.6,4,12,21,16,4,7,12,11,23,5,25,10,27,OKLAHOMA CITY THUNDER
1610612753,Orlando Magic,47,22,25,0.468,165.10666666666663,8.9,9.8,3.9,32.7,15.0,5.9,7.0,26.2,2,12,25,18,10,26,20,25,11,28,1,23,3,ORLANDO MAGIC
1610612755,Philadelphia 76ers,45,30,15,0.667,164.73,7.9,9.6,4.6,28.0,13.5,12.9,7.2,30.2,7,2,2,2,11,29,22,22,24,24,24,24,11,PHILADELPHIA 76ERS
1610612756,Phoenix Suns,33,12,21,0.364,148.18666666666667,10.0,10.2,7.8,36.0,15.8,14.6,4.1,36.9,29,29,14,29,20,19,18,6,8,29,27,3,28,PHOENIX SUNS
1610612757,Portland Trail Blazers,42,25,17,0.595,141.69166666666666,8.6,18.8,5.6,35.6,8.1,12.7,9.9,33.0,14,4,8,7,24,27,1,19,9,3,22,30,20,PORTLAND TRAIL BLAZERS
1610612758,Sacramento Kings,49,24,25,0.49,161.64833333333334,15.1,12.9,10.2,32.5,8.9,11.6,5.3,34.7,1,5,25,13,13,2,6,2,12,6,19,9,25,SACRAMENTO KINGS
1610612759,San Antonio Spurs,40,24,16,0.6,159.63,8.1,8.3,7.0,29.8,9.9,9.7,6.5,32.5,20,5,6,6,14,28,25,12,20,11,10,21,19,SAN ANTONIO SPURS
1610612761,Toronto Raptors,38,23,15,0.605,173.29166666666666,14.7,12.3,7.5,26.6,8.5,7.7,5.0,28.7,24,9,2,5,5,4,11,9,25,4,6,4,7,TORONTO RAPTORS
1610612762,Utah Jazz,33,15,18,0.455,109.26333333333334,10.9,14.5,9.6,40.2,16.8,15.5,3.0,34.3,29,25,10,21,29,14,3,3,2,30,28,1,24,UTAH JAZZ
1610612764,Washington Wizards,39,15,24,0.385,180.89166666666668,10.5,12.5,8.2,36.2,14.1,16.3,6.0,35.4,21,25,21,25,3,17,8,5,7,27,29,13,26,WASHINGTON WIZARDS
