team_id,team_name,team,gp,g,freq,fgm_lt_06,fga_lt_06,lt_06_pct,ns_lt_06_pct,plusminus
1610612738,Boston Celtics,BOS,82,82,0.333,1445,2443,0.591,0.627,-0.036
1610612760,Oklahoma City Thunder,OKC,82,82,0.312,1325,2224,0.596,0.627,-0.031
1610612739,Cleveland Cavaliers,CLE,82,82,0.318,1425,2372,0.601,0.627,-0.027
1610612765,Detroit Pistons,DET,82,82,0.318,1397,2293,0.609,0.629,-0.02
1610612745,Houston Rockets,HOU,82,82,0.357,1583,2585,0.612,0.63,-0.017
1610612763,Memphis Grizzlies,MEM,82,81,0.33,1499,2450,0.612,0.628,-0.016
1610612742,Dallas Mavericks,DAL,82,82,0.359,1649,2699,0.611,0.627,-0.016
1610612750,Minnesota Timberwolves,MIN,82,82,0.328,1448,2363,0.613,0.628,-0.015
1610612744,Golden State Warriors,GSW,82,82,0.325,1437,2318,0.62,0.629,-0.009
1610612757,Portland Trail Blazers,POR,82,82,0.34,1532,2463,0.622,0.63,-0.008
1610612754,Indiana Pacers,IND,82,82,0.366,1674,2702,0.62,0.627,-0.008
1610612749,Milwaukee Bucks,MIL,82,82,0.315,1467,2352,0.624,0.628,-0.005
1610612753,Orlando Magic,ORL,82,82,0.344,1434,2297,0.624,0.629,-0.005
1610612759,San Antonio Spurs,SAS,82,82,0.346,1643,2625,0.626,0.629,-0.003
1610612761,Toronto Raptors,TOR,82,82,0.357,1639,2588,0.633,0.63,0.003
1610612764,Washington Wizards,WAS,82,82,0.345,1667,2626,0.635,0.629,0.005
1610612758,Sacramento Kings,SAC,82,82,0.327,1492,2351,0.635,0.629,0.006
1610612737,Atlanta Hawks,ATL,82,82,0.339,1594,2508,0.636,0.629,0.007
1610612747,Los Angeles Lakers,LAL,81,81,0.333,1530,2407,0.636,0.628,0.008
1610612766,Charlotte Hornets,CHA,81,81,0.317,1462,2283,0.64,0.629,0.012
1610612743,Denver Nuggets,DEN,82,82,0.323,1581,2467,0.641,0.628,0.013
1610612756,Phoenix Suns,PHX,82,82,0.329,1564,2428,0.644,0.628,0.016
1610612741,Chicago Bulls,CHI,82,82,0.342,1722,2666,0.646,0.629,0.017
1610612746,LA Clippers,LAC,82,82,0.321,1460,2257,0.647,0.629,0.018
1610612751,Brooklyn Nets,BKN,82,82,0.359,1609,2480,0.649,0.63,0.019
1610612752,New York Knicks,NYK,82,81,0.338,1553,2399,0.647,0.628,0.02
1610612748,Miami Heat,MIA,82,82,0.317,1502,2300,0.653,0.629,0.024
1610612762,Utah Jazz,UTA,82,82,0.347,1731,2647,0.654,0.63,0.024
1610612740,New Orleans Pelicans,NOP,82,82,0.35,1707,2596,0.658,0.63,0.028
1610612755,Philadelphia 76ers,PHI,82,82,0.354,1673,2522,0.663,0.629,0.035
