team_id,team_name,team,gp,g,freq,fg3m,fg3a,fg3_pct,ns_fg3_pct,plusminus
1610612760,Oklahoma City Thunder,OKC,82,82,0.452,1104,3225,0.342,0.359,-0.017
1610612741,Chicago Bulls,CHI,82,82,0.417,1118,3250,0.344,0.359,-0.015
1610612761,Toronto Raptors,TOR,82,82,0.427,1078,3092,0.349,0.359,-0.011
1610612738,Boston Celtics,BOS,82,82,0.415,1055,3041,0.347,0.357,-0.01
1610612746,LA Clippers,LAC,82,82,0.432,1064,3038,0.35,0.361,-0.01
1610612750,Minnesota Timberwolves,MIN,82,82,0.409,1040,2949,0.353,0.36,-0.007
1610612749,Milwaukee Bucks,MIL,82,82,0.432,1139,3229,0.353,0.358,-0.005
1610612747,Los Angeles Lakers,LAL,81,81,0.427,1098,3088,0.356,0.36,-0.005
1610612745,Houston Rockets,HOU,82,82,0.391,1010,2833,0.357,0.36,-0.004
1610612754,Indiana Pacers,IND,82,82,0.404,1058,2978,0.355,0.358,-0.003
1610612762,Utah Jazz,UTA,82,82,0.446,1219,3403,0.358,0.361,-0.003
1610612766,Charlotte Hornets,CHA,81,81,0.451,1157,3249,0.356,0.358,-0.002
1610612757,Portland Trail Blazers,POR,82,82,0.398,1042,2884,0.361,0.362,0.0
1610612763,Memphis Grizzlies,MEM,82,82,0.429,1149,3193,0.36,0.36,0.0
1610612739,Cleveland Cavaliers,CLE,82,82,0.413,1104,3075,0.359,0.358,0.001
1610612744,Golden State Warriors,GSW,82,82,0.418,1080,2976,0.363,0.361,0.002
1610612751,Brooklyn Nets,BKN,82,82,0.424,1059,2929,0.362,0.359,0.002
1610612748,Miami Heat,MIA,82,82,0.428,1118,3109,0.36,0.358,0.002
1610612742,Dallas Mavericks,DAL,82,82,0.386,1053,2904,0.363,0.36,0.002
1610612740,New Orleans Pelicans,NOP,82,82,0.443,1199,3289,0.365,0.361,0.003
1610612764,Washington Wizards,WAS,82,82,0.422,1170,3212,0.364,0.359,0.005
1610612753,Orlando Magic,ORL,82,82,0.385,938,2571,0.365,0.36,0.005
1610612743,Denver Nuggets,DEN,82,82,0.416,1156,3170,0.365,0.36,0.005
1610612759,San Antonio Spurs,SAS,82,82,0.425,1177,3226,0.365,0.36,0.005
1610612765,Detroit Pistons,DET,82,82,0.424,1119,3054,0.366,0.36,0.007
1610612756,Phoenix Suns,PHX,82,82,0.426,1163,3145,0.37,0.36,0.01
1610612752,New York Knicks,NYK,82,81,0.408,1067,2890,0.369,0.357,0.012
1610612737,Atlanta Hawks,ATL,82,82,0.419,1168,3096,0.377,0.359,0.018
1610612755,Philadelphia 76ers,PHI,82,82,0.433,1167,3084,0.378,0.36,0.019
1610612758,Sacramento Kings,SAC,82,82,0.435,1193,3131,0.381,0.36,0.021
