team_id,team_name,team,gp,g,freq,fgm_lt_10,fga_lt_10,lt_10_pct,ns_lt_10_pct,plusminus
1610612760,Oklahoma City Thunder,OKC,82,82,0.403,1570,2872,0.547,0.585,-0.038
1610612738,Boston Celtics,BOS,82,82,0.421,1710,3087,0.554,0.583,-0.029
1610612765,Detroit Pistons,DET,82,82,0.415,1676,2991,0.56,0.585,-0.025
1610612739,Cleveland Cavaliers,CLE,82,82,0.42,1758,3134,0.561,0.584,-0.023
1610612745,Houston Rockets,HOU,82,82,0.451,1851,3266,0.567,0.586,-0.019
1610612753,Orlando Magic,ORL,82,82,0.446,1695,2980,0.569,0.585,-0.016
1610612742,Dallas Mavericks,DAL,82,82,0.453,1948,3410,0.571,0.584,-0.013
1610612744,Golden State Warriors,GSW,82,82,0.42,1717,2993,0.574,0.586,-0.012
1610612750,Minnesota Timberwolves,MIN,82,82,0.423,1748,3048,0.573,0.586,-0.012
1610612763,Memphis Grizzlies,MEM,82,81,0.409,1747,3042,0.574,0.585,-0.011
1610612757,Portland Trail Blazers,POR,82,82,0.434,1812,3138,0.577,0.587,-0.01
1610612749,Milwaukee Bucks,MIL,82,82,0.408,1770,3046,0.581,0.584,-0.003
1610612747,Los Angeles Lakers,LAL,81,81,0.424,1797,3068,0.586,0.585,0.0
1610612754,Indiana Pacers,IND,82,82,0.459,1979,3381,0.585,0.583,0.002
1610612758,Sacramento Kings,SAC,82,82,0.419,1782,3017,0.591,0.586,0.005
1610612761,Toronto Raptors,TOR,82,82,0.442,1904,3202,0.595,0.586,0.008
1610612743,Denver Nuggets,DEN,82,82,0.414,1871,3160,0.592,0.585,0.008
1610612759,San Antonio Spurs,SAS,82,82,0.43,1939,3261,0.595,0.585,0.009
1610612756,Phoenix Suns,PHX,82,82,0.416,1828,3069,0.596,0.585,0.01
1610612764,Washington Wizards,WAS,82,82,0.433,1963,3296,0.596,0.586,0.01
1610612746,LA Clippers,LAC,82,82,0.405,1696,2849,0.595,0.586,0.01
1610612741,Chicago Bulls,CHI,82,82,0.438,2030,3412,0.595,0.584,0.011
1610612748,Miami Heat,MIA,82,82,0.411,1785,2985,0.598,0.585,0.013
1610612737,Atlanta Hawks,ATL,82,82,0.423,1876,3126,0.6,0.585,0.015
1610612766,Charlotte Hornets,CHA,81,81,0.397,1718,2860,0.601,0.585,0.015
1610612751,Brooklyn Nets,BKN,82,82,0.451,1885,3114,0.605,0.586,0.019
1610612752,New York Knicks,NYK,82,81,0.427,1826,3026,0.603,0.584,0.02
1610612762,Utah Jazz,UTA,82,82,0.421,1966,3212,0.612,0.587,0.025
1610612740,New Orleans Pelicans,NOP,82,82,0.433,1996,3213,0.621,0.587,0.034
1610612755,Philadelphia 76ers,PHI,82,82,0.437,1929,3113,0.62,0.584,0.035
