close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fg2m,fg2a,fg2_pct,ns_fg2_pct,plusminus
1626143,Jahlil Okafor,1610612755,PHI,C,20.0,53,53,0.878,6.09,12.17,0.501,0.504,-0.003
203457,Nerlens Noel,1610612755,PHI,F-C,22.0,67,67,0.842,5.1,10.48,0.487,0.505,-0.018
202397,Ish Smith,1610612755,PHI,G,27.0,73,73,0.695,4.05,7.78,0.521,0.478,0.043
203924,Jerami Grant,1610612755,PHI,F,22.0,77,77,0.713,3.49,7.7,0.454,0.493,-0.039
203496,Robert Covington,1610612755,PHI,F,25.0,67,67,0.656,2.88,6.15,0.468,0.488,-0.02
203138,Hollis Thompson,1610612755,PHI,G-F,25.0,77,77,0.696,3.06,5.95,0.515,0.487,0.029
203917,Nik Stauskas,1610612755,PHI,G,22.0,72,71,0.722,2.75,5.69,0.483,0.473,0.01
201171,Carl Landry,1610612755,PHI,F,32.0,34,34,0.808,2.94,5.68,0.518,0.497,0.021
1882,Elton Brand,1610612755,PHI,F,37.0,16,16,0.863,2.5,5.13,0.488,0.491,-0.004
1626158,Richaun Holmes,1610612755,PHI,F,22.0,50,50,0.861,2.68,5.1,0.525,0.492,0.034
203477,Isaiah Canaan,1610612755,PHI,G,25.0,76,76,0.667,2.3,4.47,0.515,0.476,0.038
204456,T.J. McConnell,1610612755,PHI,G,24.0,79,78,0.705,2.47,4.46,0.554,0.475,0.079
1626174,Christian Wood,1610612755,PHI,F,20.0,15,14,0.806,1.8,3.87,0.466,0.472,-0.007
203088,Kendall Marshall,1610612755,PHI,G,24.0,24,22,0.663,1.79,2.88,0.623,0.471,0.152
