season,team_id,game_id,game_date,away_team,home_team,opponent,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2017-18,1610612745,41700141,2018-04-15,MIN,HOU,MIN,1610612750,104,101,W,3,rnd1,1
2017-18,1610612745,41700142,2018-04-18,MIN,HOU,MIN,1610612750,102,82,W,20,rnd1,2
2017-18,1610612745,41700143,2018-04-21,HOU,MIN,MIN,1610612750,105,121,L,-16,rnd1,3
2017-18,1610612745,41700144,2018-04-23,HOU,MIN,MIN,1610612750,119,100,W,19,rnd1,4
2017-18,1610612745,41700145,2018-04-25,MIN,HOU,MIN,1610612750,122,104,W,18,rnd1,5
2017-18,1610612745,41700221,2018-04-29,UTA,HOU,UTA,1610612762,110,96,W,14,sf,1
2017-18,1610612745,41700222,2018-05-02,UTA,HOU,UTA,1610612762,108,116,L,-8,sf,2
2017-18,1610612745,41700223,2018-05-04,HOU,UTA,UTA,1610612762,113,92,W,21,sf,3
2017-18,1610612745,41700224,2018-05-06,HOU,UTA,UTA,1610612762,100,87,W,13,sf,4
2017-18,1610612745,41700225,2018-05-08,UTA,HOU,UTA,1610612762,112,102,W,10,sf,5
2017-18,1610612745,41700311,2018-05-14,GSW,HOU,GSW,1610612744,106,119,L,-13,conf,1
2017-18,1610612745,41700312,2018-05-16,GSW,HOU,GSW,1610612744,127,105,W,22,conf,2
2017-18,1610612745,41700313,2018-05-20,HOU,GSW,GSW,1610612744,85,126,L,-41,conf,3
2017-18,1610612745,41700314,2018-05-22,HOU,GSW,GSW,1610612744,95,92,W,3,conf,4
2017-18,1610612745,41700315,2018-05-24,GSW,HOU,GSW,1610612744,98,94,W,4,conf,5
2017-18,1610612745,41700316,2018-05-26,HOU,GSW,GSW,1610612744,86,115,L,-29,conf,6
2017-18,1610612745,41700317,2018-05-28,GSW,HOU,GSW,1610612744,92,101,L,-9,conf,7
