group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,e_off_rating,off_rating,sp_work_off_rating,e_def_rating,def_rating,sp_work_def_rating,e_net_rating,net_rating,sp_work_net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,e_usg_pct,e_pace,pace,pace_per40,sp_work_pace,pie,poss,fgm,fga,fgm_pg,fga_pg,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,e_off_rating_rank,off_rating_rank,sp_work_off_rating_rank,e_def_rating_rank,def_rating_rank,sp_work_def_rating_rank,e_net_rating_rank,net_rating_rank,sp_work_net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,e_tov_pct_rank,efg_pct_rank,ts_pct_rank,usg_pct_rank,e_usg_pct_rank,e_pace_rank,pace_rank,sp_work_pace_rank,pie_rank,fgm_rank,fga_rank,fgm_pg_rank,fga_pg_rank,fg_pct_rank,team
Players,1629004,Svi Mykhailiuk,Svi,1610612765,DET,23.0,13,3,10,0.231,2.8,95.1,92.5,92.5,114.0,101.3,101.3,-18.9,-8.8,-8.8,0.042,0.5,11.1,0.0,0.0,0.0,22.2,22.5,0.3,0.425,0.09,0.094,95.64,102.66,85.55,102.66,-0.038,80,1,5,0.1,0.4,0.2,215,284,297,398,197,350,348,348,250,170,170,323,271,271,248,191,190,273,346,365,427,429,303,300,332,334,372,286,286,412,283,246,328,305,318,DET
Players,201933,Blake Griffin,Blake,1610612765,DET,31.0,6,2,4,0.333,4.0,106.9,104.7,104.7,115.0,115.2,115.2,-8.1,-10.6,-10.6,0.071,0.5,8.3,0.0,0.083,0.043,16.7,16.4,0.643,0.652,0.216,0.238,87.27,88.1,73.42,88.1,0.085,43,3,7,0.5,1.2,0.429,316,321,148,331,33,261,237,237,266,308,308,259,291,291,202,191,232,273,261,302,402,402,75,98,100,86,438,446,446,193,200,216,102,99,170,DET
Players,1629017,Khyri Thomas,Khyri,1610612765,DET,24.0,1,0,1,0.0,0.0,0.0,0.0,0.0,227.3,200.0,200.0,-227.3,-200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1267.2,1440.0,1200.0,1440.06,-1.0,0,0,0,0.0,0.0,0.0,414,415,28,415,454,437,437,437,453,453,453,454,453,453,285,219,285,273,346,365,1,1,340,365,403,404,3,2,2,454,340,394,340,394,340,DET
Players,203089,John Henson,John,1610612765,DET,29.0,7,2,5,0.286,1.0,100.9,92.9,92.9,105.8,100.0,100.0,-4.9,-7.1,-7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.134,109.09,116.73,97.27,116.73,-0.15,14,0,2,0.0,0.3,0.0,299,321,180,367,398,313,345,345,158,138,138,229,254,255,285,219,285,273,346,365,1,1,340,365,242,249,96,94,94,440,340,313,340,335,340,DET
Players,204025,Tim Frazier,Tim,1610612765,DET,29.0,1,0,1,0.0,1.1,0.0,0.0,0.0,173.6,250.0,250.0,-173.6,-250.0,-250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.16,63.53,52.94,63.53,0.0,1,0,0,0.0,0.0,0.0,414,415,28,415,382,437,437,437,441,455,455,449,456,456,285,219,285,273,346,365,1,1,340,365,403,404,445,455,455,343,340,394,340,394,340,DET
Players,203503,Tony Snell,Tony,1610612765,DET,28.0,25,9,16,0.36,2.7,90.6,89.3,89.3,114.3,105.4,105.4,-23.7,-16.1,-16.1,0.023,1.0,6.7,0.012,0.068,0.039,6.7,7.0,0.364,0.446,0.086,0.085,96.51,101.27,84.39,101.27,0.03,140,3,11,0.1,0.4,0.273,105,157,396,325,203,372,361,361,254,206,206,345,321,321,278,128,250,262,293,320,263,271,273,291,340,354,354,321,321,306,200,180,309,283,304,DET
Players,203895,Jordan McRae,Jordan,1610612765,DET,29.0,10,6,4,0.6,2.9,122.7,115.9,115.9,90.9,84.7,84.7,31.8,31.1,31.1,0.1,0.0,9.1,0.036,0.1,0.069,0.0,0.0,0.471,0.521,0.286,0.289,94.06,100.23,83.53,100.23,0.125,63,7,17,0.7,1.7,0.412,259,210,148,118,184,104,110,110,60,49,49,59,54,54,163,219,220,177,221,226,1,1,216,228,52,61,391,343,343,126,136,132,59,59,184,DET
Players,204038,Langston Galloway,Langston,1610612765,DET,28.0,26,8,18,0.308,2.4,93.0,89.9,89.9,128.4,117.7,117.7,-35.4,-27.9,-27.9,0.103,4.0,20.0,0.053,0.03,0.042,5.0,5.0,0.5,0.5,0.102,0.109,102.04,108.39,90.33,108.39,0.021,138,6,15,0.2,0.6,0.4,98,180,426,358,253,360,358,358,363,330,330,371,360,360,161,12,95,128,338,311,236,236,160,247,307,303,213,175,175,327,147,148,242,238,191,DET
Players,202688,Brandon Knight,Brandon,1610612765,DET,28.0,4,1,3,0.25,1.8,100.9,100.0,100.0,171.9,141.2,141.2,-71.0,-41.2,-41.2,0.0,0.0,0.0,0.0,0.667,0.222,0.0,0.0,0.5,0.521,0.214,0.207,91.26,102.01,85.01,102.01,0.07,13,1,2,0.3,0.5,0.5,344,358,117,383,330,313,280,280,439,424,424,430,393,393,285,219,285,273,2,16,1,1,160,228,101,122,419,301,301,227,283,313,220,252,96,DET
Players,201565,Derrick Rose,Derrick,1610612765,DET,31.0,20,7,13,0.35,3.8,85.2,85.0,85.0,122.3,119.0,119.0,-37.1,-34.1,-34.1,0.478,0.92,12.5,0.046,0.094,0.07,13.6,13.6,0.419,0.446,0.44,0.457,97.13,98.6,82.17,98.6,0.105,153,24,62,1.2,3.1,0.387,150,198,357,329,46,389,376,376,326,346,346,374,376,376,7,169,172,145,236,222,376,377,245,292,6,8,340,383,383,162,28,20,9,4,219,DET
Players,1626174,Christian Wood,Christian,1610612765,DET,24.0,14,2,12,0.143,3.4,82.0,82.3,82.3,129.7,120.6,120.6,-47.7,-38.3,-38.3,0.182,0.0,20.0,0.082,0.167,0.122,0.0,0.0,0.643,0.679,0.144,0.151,98.11,101.69,84.75,101.69,0.176,96,8,14,0.6,1.0,0.571,211,321,341,409,99,398,386,386,368,360,360,399,386,386,89,219,95,86,96,91,1,1,75,84,212,217,306,310,310,56,125,154,84,128,71,DET
Players,1628476,Derrick Walton Jr.,Derrick,1610612765,DET,25.0,2,1,1,0.5,1.7,143.2,144.4,144.4,40.0,33.3,33.3,103.2,111.1,111.1,0.0,0.0,0.0,0.0,0.333,0.111,0.0,0.0,0.0,0.568,0.077,0.073,96.96,103.3,86.08,103.3,0.105,9,0,0,0.0,0.0,0.0,383,358,28,177,333,31,19,19,12,12,12,8,2,2,285,219,285,273,13,108,1,1,340,176,358,376,347,272,272,160,340,394,340,394,340,DET
Players,1629635,Sekou Doumbouya,Sekou,1610612765,DET,19.0,4,1,3,0.25,3.6,59.8,53.6,53.6,113.9,113.3,113.3,-54.1,-59.8,-59.8,0.0,0.0,0.0,0.0,0.2,0.105,0.0,0.0,0.5,0.5,0.065,0.074,90.79,95.88,79.9,95.88,0.0,28,1,2,0.3,0.5,0.5,344,358,117,383,74,426,427,427,248,290,290,408,420,420,285,219,285,273,58,125,1,1,160,247,376,375,421,413,413,343,283,313,220,252,96,DET
Players,1628971,Bruce Brown,Bruce,1610612765,DET,23.0,24,9,15,0.375,2.6,90.7,83.3,83.3,112.9,106.7,106.7,-22.2,-23.3,-23.3,0.147,1.67,18.5,0.028,0.141,0.085,11.1,11.3,0.219,0.349,0.152,0.167,92.67,99.4,82.84,99.4,0.018,126,3,16,0.1,0.7,0.188,113,157,387,311,215,369,382,382,235,219,219,334,345,345,111,91,111,205,139,173,340,347,325,323,199,189,405,365,365,331,200,139,305,207,327,DET
Players,1627748,Thon Maker,Thon,1610612765,DET,23.0,9,5,4,0.556,2.7,95.0,89.1,89.1,113.9,103.7,103.7,-18.9,-14.6,-14.6,0.0,0.0,0.0,0.037,0.143,0.091,0.0,0.0,0.333,0.325,0.212,0.223,90.18,97.69,81.41,97.69,-0.006,46,3,9,0.3,1.0,0.333,272,231,148,150,204,351,362,362,247,189,189,322,311,311,285,219,285,175,128,152,1,1,283,334,103,106,423,397,397,390,200,200,180,128,252,DET
Players,1628379,Luke Kennard,Luke,1610612765,DET,24.0,13,6,7,0.462,3.1,97.0,93.8,93.8,115.9,107.7,107.7,-18.9,-13.9,-13.9,0.1,2.0,10.5,0.0,0.103,0.049,5.3,5.2,0.5,0.551,0.185,0.203,90.91,95.83,79.86,95.83,0.101,81,6,15,0.5,1.2,0.4,215,210,232,231,157,343,338,338,277,231,231,321,305,305,163,63,199,273,218,287,243,243,160,202,139,129,420,415,415,170,147,148,126,103,191,DET
