season,team_id,game_id,game_date,away_team,home_team,opponent,opponent_id,game_no,pf,opp_pf,wl,differential
2016-17,1610612738,21600006,2016-10-26,BKN,BOS,BKN,1610612751,1,122,117,W,5
2016-17,1610612738,21600015,2016-10-27,BOS,CHI,CHI,1610612741,2,99,105,L,-6
2016-17,1610612738,21600027,2016-10-29,BOS,CHA,CHA,1610612766,3,104,98,W,6
2016-17,1610612738,21600061,2016-11-02,CHI,BOS,CHI,1610612741,4,107,100,W,7
2016-17,1610612738,21600068,2016-11-03,BOS,CLE,CLE,1610612739,5,122,128,L,-6
2016-17,1610612738,21600091,2016-11-06,DEN,BOS,DEN,1610612743,6,107,123,L,-16
2016-17,1610612738,21600107,2016-11-09,BOS,WAS,WAS,1610612764,7,93,118,L,-25
2016-17,1610612738,21600125,2016-11-11,NYK,BOS,NYK,1610612752,8,115,87,W,28
2016-17,1610612738,21600130,2016-11-12,BOS,IND,IND,1610612754,9,105,99,W,6
2016-17,1610612738,21600148,2016-11-14,BOS,NOP,NOP,1610612740,10,105,106,L,-1
2016-17,1610612738,21600161,2016-11-16,DAL,BOS,DAL,1610612742,11,90,83,W,7
2016-17,1610612738,21600179,2016-11-18,GSW,BOS,GSW,1610612744,12,88,104,L,-16
2016-17,1610612738,21600188,2016-11-19,BOS,DET,DET,1610612765,13,94,92,W,2
2016-17,1610612738,21600205,2016-11-21,BOS,MIN,MIN,1610612750,14,99,93,W,6
2016-17,1610612738,21600217,2016-11-23,BOS,BKN,BKN,1610612751,15,111,92,W,19
2016-17,1610612738,21600225,2016-11-25,SAS,BOS,SAS,1610612759,16,103,109,L,-6
2016-17,1610612738,21600256,2016-11-28,BOS,MIA,MIA,1610612748,17,112,104,W,8
2016-17,1610612738,21600267,2016-11-30,DET,BOS,DET,1610612765,18,114,121,L,-7
2016-17,1610612738,21600283,2016-12-02,SAC,BOS,SAC,1610612758,19,97,92,W,5
2016-17,1610612738,21600294,2016-12-03,BOS,PHI,PHI,1610612755,20,107,106,W,1
2016-17,1610612738,21600311,2016-12-05,BOS,HOU,HOU,1610612745,21,106,107,L,-1
