close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fgm_gt_15,fga_gt_15,gt_15_pct,ns_gt_15_pct,plusminus
1629622,Max Strus,1610612748,MIA,G-F,27.0,80,78,0.509,2.28,5.79,0.393,0.37,0.023
1628997,Caleb Martin,1610612748,MIA,F,27.0,71,71,0.441,2.15,5.76,0.374,0.371,0.003
202710,Jimmy Butler III,1610612748,MIA,F,33.0,64,64,0.53,2.02,5.75,0.351,0.375,-0.024
1629639,Tyler Herro,1610612748,MIA,G,23.0,67,67,0.464,1.96,5.72,0.342,0.372,-0.03
203506,Victor Oladipo,1610612748,MIA,G,31.0,42,42,0.513,2.1,5.67,0.37,0.374,-0.004
1628389,Bam Adebayo,1610612748,MIA,C-F,25.0,75,74,0.391,2.09,5.63,0.372,0.376,-0.004
1629216,Gabe Vincent,1610612748,MIA,G,27.0,68,68,0.545,1.87,5.4,0.346,0.372,-0.026
200768,Kyle Lowry,1610612748,MIA,G,37.0,55,55,0.477,1.89,5.13,0.369,0.366,0.002
1629312,Haywood Highsmith,1610612748,MIA,F,26.0,50,46,0.445,1.22,3.58,0.341,0.372,-0.031
1631288,Jamal Cain,1610612748,MIA,F,24.0,17,15,0.564,1.35,3.35,0.404,0.355,0.048
201567,Kevin Love,1610612748,MIA,F-C,34.0,62,60,0.366,1.08,3.06,0.353,0.369,-0.016
1631107,Nikola Jović,1610612748,MIA,F,20.0,12,10,0.347,1.5,2.75,0.545,0.377,0.168
1629130,Duncan Robinson,1610612748,MIA,F,29.0,41,35,0.498,1.12,2.66,0.422,0.361,0.061
203469,Cody Zeller,1610612748,MIA,F-C,30.0,15,13,0.292,0.87,2.2,0.394,0.362,0.032
1631115,Orlando Robinson,1610612748,MIA,C,22.0,30,23,0.305,0.97,1.93,0.5,0.371,0.129
1630209,Omer Yurtseven,1610612748,MIA,C,25.0,7,5,0.306,0.86,1.57,0.545,0.346,0.199
2617,Udonis Haslem,1610612748,MIA,F,43.0,7,5,0.333,0.86,1.57,0.545,0.352,0.193
