TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK
1610612738,Boston Celtics,13,6,7,0.462,51.8,13.0,15.0,8.0,38.0,23.0,11.0,11.0,34.0,2,2,15,8,1,11,7,4,4,10,7,12,8
1610612751,Brooklyn Nets,1,0,1,0.0,47.3,40.0,0.0,0.0,40.0,40.0,0.0,100.0,80.0,14,13,1,13,15,2,13,10,2,14,1,15,15
1610612742,Dallas Mavericks,2,1,1,0.5,51.0,8.0,28.0,0.0,32.0,8.0,8.0,0.0,40.0,12,8,1,6,11,14,1,10,8,3,4,1,11
1610612743,Denver Nuggets,11,6,5,0.545,48.8,25.3,19.0,2.5,27.8,10.1,13.9,2.5,30.4,3,2,14,5,3,4,3,9,11,4,8,6,6
1610612745,Houston Rockets,5,1,4,0.2,44.1,15.7,9.8,3.9,35.3,21.6,17.6,3.9,23.5,6,8,11,11,6,9,10,8,5,9,10,9,3
1610612754,Indiana Pacers,1,0,1,0.0,59.4,57.1,0.0,14.3,28.6,28.6,28.6,0.0,28.6,14,13,1,13,14,1,13,2,10,12,14,1,5
1610612746,LA Clippers,5,2,3,0.4,49.6,10.0,5.0,0.0,35.0,5.0,22.5,0.0,25.0,6,7,7,9,9,13,12,10,6,2,12,1,4
1610612747,Los Angeles Lakers,10,6,4,0.6,47.5,13.0,25.9,13.0,33.3,16.7,5.6,3.7,18.5,4,2,11,4,5,12,2,3,7,7,3,8,2
1610612748,Miami Heat,14,11,3,0.786,52.0,18.8,18.8,6.3,39.6,15.6,20.8,6.3,31.3,1,1,7,1,2,7,4,6,3,5,11,11,7
1610612749,Milwaukee Bucks,5,1,4,0.2,63.4,24.1,13.8,6.9,27.6,0.0,41.4,0.0,48.3,6,8,11,11,10,5,8,5,12,1,15,1,13
1610612760,Oklahoma City Thunder,4,3,1,0.75,45.1,22.4,18.4,4.1,24.5,16.3,10.2,4.1,36.7,9,6,1,2,7,6,5,7,13,6,6,10,9
1610612755,Philadelphia 76ers,3,0,3,0.0,55.4,33.3,16.7,0.0,16.7,25.0,16.7,50.0,16.7,11,13,7,13,12,3,6,10,14,11,9,14,1
1610612757,Portland Trail Blazers,2,1,1,0.5,45.1,0.0,0.0,0.0,16.7,41.7,0.0,16.7,50.0,12,8,1,6,13,15,13,10,14,15,1,13,14
1610612761,Toronto Raptors,6,4,2,0.667,48.4,16.7,8.3,16.7,30.0,16.7,8.3,3.3,46.7,5,5,6,3,4,8,11,1,9,7,5,7,12
1610612762,Utah Jazz,4,1,3,0.25,48.8,14.3,11.9,0.0,42.9,38.1,23.8,0.0,38.1,9,8,7,10,8,10,9,10,1,13,13,1,10
