TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK
1610612737,Atlanta Hawks,44,17,27,0.386,45.4,16.6,14.8,11.7,39.2,13.0,16.6,8.7,41.0,12,23,26,25,19,6,9,3,10,13,26,21,20
1610612738,Boston Celtics,46,29,17,0.63,47.0,12.5,10.4,6.5,40.6,17.2,14.6,9.6,44.3,6,3,5,4,8,20,27,20,7,23,21,24,25
1610612751,Brooklyn Nets,50,19,31,0.38,46.7,8.3,19.2,4.0,37.0,17.5,12.8,5.5,42.2,2,20,29,26,3,29,1,28,20,26,12,7,22
1610612766,Charlotte Hornets,41,16,25,0.39,45.8,15.6,11.1,4.8,37.2,13.8,6.6,5.7,40.2,19,24,25,24,18,10,24,24,18,17,1,8,18
1610612741,Chicago Bulls,41,21,20,0.512,47.0,11.8,7.6,7.6,38.7,15.4,15.7,9.7,43.5,19,15,10,17,9,23,29,11,11,22,23,25,24
1610612739,Cleveland Cavaliers,45,30,15,0.667,45.7,13.6,16.0,8.3,41.4,9.2,10.9,7.1,38.5,8,1,4,2,16,15,6,10,6,3,6,15,15
1610612742,Dallas Mavericks,50,12,38,0.24,48.3,11.6,11.6,7.3,32.8,15.0,14.4,8.8,54.2,2,28,30,30,13,24,22,13,28,20,19,22,30
1610612743,Denver Nuggets,43,22,21,0.512,48.1,15.9,14.3,6.9,38.7,15.4,10.6,5.3,38.2,15,12,16,19,7,9,12,17,12,21,5,6,14
1610612765,Detroit Pistons,41,19,22,0.463,49.7,8.1,17.5,4.0,45.1,13.8,16.8,4.4,39.1,19,20,18,22,22,30,5,27,4,16,27,3,17
1610612744,Golden State Warriors,29,19,10,0.655,44.4,9.3,4.0,21.1,33.2,17.4,12.6,8.1,32.4,29,20,1,3,28,27,30,1,27,24,11,20,6
1610612745,Houston Rockets,35,25,10,0.714,46.9,21.0,18.3,6.1,37.6,7.0,9.6,3.5,41.9,27,8,1,1,30,2,3,22,17,1,4,2,21
1610612754,Indiana Pacers,44,26,18,0.591,45.9,22.6,18.4,9.5,34.4,11.9,13.1,7.7,31.5,12,5,7,6,15,1,2,5,26,8,15,18,4
1610612746,LA Clippers,41,21,20,0.512,47.3,14.2,13.1,8.4,37.2,10.6,11.3,6.9,38.0,19,15,10,17,25,13,19,9,19,5,9,14,13
1610612747,Los Angeles Lakers,42,20,22,0.476,47.8,8.9,14.3,7.3,38.5,14.6,13.8,9.4,46.9,16,18,18,20,6,28,13,14,13,19,17,23,28
1610612763,Memphis Grizzlies,41,12,29,0.293,50.3,17.8,15.5,9.4,31.6,8.1,11.1,6.7,34.3,19,28,28,29,20,3,7,6,29,2,8,11,9
1610612748,Miami Heat,53,29,24,0.547,49.8,17.6,12.4,9.3,46.4,13.4,18.2,4.8,43.4,1,3,23,12,1,4,20,7,3,15,28,4,23
1610612749,Milwaukee Bucks,47,26,21,0.553,45.8,10.5,8.2,6.9,37.9,13.1,9.5,6.2,32.3,5,5,16,10,10,25,28,16,14,14,3,9,5
1610612750,Minnesota Timberwolves,42,22,20,0.524,49.4,11.9,13.9,3.6,37.8,14.4,12.5,7.2,34.4,16,12,10,14,11,22,16,29,15,18,10,16,10
1610612740,New Orleans Pelicans,50,30,20,0.6,47.6,16.2,13.5,4.4,49.8,12.9,14.6,7.4,33.3,2,1,10,5,2,8,18,26,1,12,20,17,7
1610612752,New York Knicks,35,12,23,0.343,48.0,12.6,13.7,7.2,34.8,12.6,21.5,6.5,34.1,27,28,22,27,23,19,17,15,24,10,30,10,8
1610612760,Oklahoma City Thunder,46,24,22,0.522,47.7,14.0,18.0,11.7,37.6,10.2,12.9,5.1,44.7,6,11,18,16,4,14,4,4,16,4,14,5,26
1610612753,Orlando Magic,41,14,27,0.341,49.8,10.2,11.4,6.3,34.5,18.4,15.3,12.2,47.1,19,27,26,28,26,26,23,21,25,28,22,30,29
