season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,e_off_rating,off_rating,sp_work_off_rating,e_def_rating,def_rating,sp_work_def_rating,e_net_rating,net_rating,sp_work_net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,e_usg_pct,e_pace,pace,pace_per40,sp_work_pace,pie,poss,fgm,fga,fgm_pg,fga_pg,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,e_off_rating_rank,off_rating_rank,sp_work_off_rating_rank,e_def_rating_rank,def_rating_rank,sp_work_def_rating_rank,e_net_rating_rank,net_rating_rank,sp_work_net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,e_tov_pct_rank,efg_pct_rank,ts_pct_rank,usg_pct_rank,e_usg_pct_rank,e_pace_rank,pace_rank,sp_work_pace_rank,pie_rank,fgm_rank,fga_rank,fgm_pg_rank,fga_pg_rank,fg_pct_rank,available_flag,min_sec,season_start,season_end
2015-16,2548,Dwyane Wade,Dwyane,1610612748,MIA,Miami Heat,21501217,2016-04-13T00:00:00,MIA @ BOS,L,31.1,97.4,95.1,95.1,121.5,127.4,127.4,-24.0,-32.3,-32.3,0.278,1.67,20.0,0.0,0.097,0.048,0.12,0.11800000000000001,0.00438,0.00491,0.286,0.301,96.28,95.07,79.23,95.07,0.092,61,7,16,7.0,16.0,0.438,1,13074,13074,13074,6670,16279,17561,17561,21595,23188,23188,21123,22782,22782,3821,5598,7894,13060,15359,18093,16311,16299,14765,15091,2748,2428,15667,17417,17417,12741,2864,2178,2864,2178,12768,1.0,31:03,2015,2016
2015-16,201177,Josh McRoberts,Josh,1610612748,MIA,Miami Heat,21501217,2016-04-13T00:00:00,MIA @ BOS,L,15.8,84.9,86.2,86.2,79.4,79.3,79.3,5.5,6.9,6.9,0.091,0.0,14.3,0.056,0.176,0.114,0.0,0.0,0.00167,0.00167,0.176,0.179,88.71,88.1,73.42,88.1,0.085,29,1,6,1.0,6.0,0.167,1,13074,13074,13074,19193,21610,21118,21118,2395,2442,2442,10290,9637,9641,13650,13303,11627,7489,7458,7673,1,1,21942,22813,13735,13935,23945,24521,24521,13597,18695,14041,18695,14041,21747,1.0,15:48,2015,2016
2015-16,202355,Hassan Whiteside,Hassan,1610612748,MIA,Miami Heat,21501217,2016-04-13T00:00:00,MIA @ BOS,L,27.9,104.1,101.9,101.9,116.4,120.4,120.4,-12.3,-18.5,-18.5,0.0,0.0,0.0,0.069,0.233,0.153,0.067,0.067,0.006,0.00681,0.234,0.242,93.38,92.79,77.33,92.79,0.203,54,6,10,6.0,10.0,0.6,1,13074,13074,13074,9277,12376,13770,13770,19698,21267,21267,17621,19741,19741,18354,13303,18354,6051,4179,4162,11145,11337,7410,5692,6756,6530,19817,20554,20554,2473,4268,7514,4268,7514,4873,1.0,27:56,2015,2016
2015-16,1626159,Justise Winslow,Justise,1610612748,MIA,Miami Heat,21501217,2016-04-13T00:00:00,MIA @ BOS,L,28.5,103.9,102.0,102.0,103.3,110.2,110.2,0.6,-8.2,-8.2,0.053,0.0,16.7,0.179,0.185,0.182,0.0,0.0,0.006999999999999999,0.006999999999999999,0.085,0.088,85.46,83.47,69.56,83.47,0.163,50,3,5,3.0,5.0,0.6,1,13074,13074,13074,8853,12480,13698,13698,12694,16635,16635,12279,16144,16144,16962,13303,9957,960,6888,2350,1,1,4338,5012,23578,23539,25188,25735,25735,4899,11544,16058,11544,16058,4873,1.0,28:28,2015,2016
2015-16,101123,Gerald Green,Gerald,1610612748,MIA,Miami Heat,21501217,2016-04-13T00:00:00,MIA @ BOS,L,5.1,111.1,111.1,111.1,99.3,100.0,100.0,11.8,11.1,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,93.88,93.51,77.92,93.51,-0.308,9,0,1,0.0,1.0,0.0,1,13074,13074,13074,24317,8313,8410,8410,10217,9849,9849,7742,7969,7986,18354,13303,18354,13060,22257,23167,1,1,22516,23226,22524,22781,19154,19671,19666,25872,22516,23432,22516,23432,22516,1.0,5:08,2015,2016
2015-16,201609,Goran Dragic,Goran,1610612748,MIA,Miami Heat,21501217,2016-04-13T00:00:00,MIA @ BOS,L,32.9,103.3,103.2,103.2,109.5,111.1,111.1,-6.2,-7.9,-7.9,0.167,0.0,15.8,0.056,0.0,0.029,0.0,0.0,0.00563,0.00563,0.211,0.216,91.75,91.11,75.92,91.11,0.119,62,9,16,9.0,16.0,0.563,1,13074,13074,13074,5195,12846,13014,13014,16290,17035,17035,15254,16013,16013,8015,13303,11007,7489,22257,21296,1,1,9103,10958,9296,9241,21645,22348,22348,9312,1155,2178,1155,2178,6644,1.0,32:56,2015,2016
2015-16,1626196,Josh Richardson,Josh,1610612748,MIA,Miami Heat,21501217,2016-04-13T00:00:00,MIA @ BOS,L,27.0,85.4,85.7,85.7,92.1,93.9,93.9,-6.7,-8.2,-8.2,0.053,0.0,14.3,0.071,0.069,0.07,0.0,0.0,0.0,0.0,0.107,0.109,88.29,87.26,72.71,87.26,-0.073,49,0,6,0.0,6.0,0.0,1,13074,13074,13074,10051,21475,21224,21224,6454,7221,7221,15472,16127,16127,16962,13303,11627,5744,18442,14156,1,1,22516,23226,22038,22168,24144,24886,24886,24830,22516,14041,22516,14041,22516,1.0,26:57,2015,2016
2015-16,2736,Luol Deng,Luol,1610612748,MIA,Miami Heat,21501217,2016-04-13T00:00:00,MIA @ BOS,L,35.2,102.4,101.5,101.5,108.7,109.0,109.0,-6.3,-7.5,-7.5,0.077,2.0,16.7,0.053,0.162,0.107,0.083,0.083,0.00333,0.00333,0.128,0.131,91.02,91.32,76.1,91.32,0.049,67,3,9,3.0,9.0,0.333,1,13074,13074,13074,3376,13370,14006,14006,15839,15935,15935,15287,15824,15822,14841,3519,9957,7864,8760,8620,12670,12814,18051,19977,19994,20079,22297,22146,22146,17909,11544,8964,11544,8964,16528,1.0,35:13,2015,2016
2015-16,2207,Joe Johnson,Joe,1610612748,MIA,Miami Heat,21501217,2016-04-13T00:00:00,MIA @ BOS,L,36.5,97.2,97.1,97.1,99.8,101.5,101.5,-2.6,-4.4,-4.4,0.05,0.33,4.3,0.0,0.103,0.049,0.13,0.13,0.005,0.005,0.265,0.272,90.78,90.04,75.03,90.04,0.105,69,9,19,9.0,19.0,0.474,1,13074,13074,13074,2387,16443,16595,16595,10511,11568,11568,13734,14579,14579,17222,12600,18167,13060,14714,17942,17320,17385,10446,13647,4150,4077,22493,23259,23259,10986,1155,964,1155,964,11390,1.0,36:31,2015,2016
2015-16,1626196,Josh Richardson,Josh,1610612748,MIA,Miami Heat,21501213,2016-04-12T00:00:00,MIA @ DET,W,37.3,108.5,109.5,109.5,96.1,98.6,98.6,12.4,10.8,10.8,0.034,1.0,16.7,0.0,0.143,0.082,0.16699999999999998,0.17,0.00333,0.00387,0.062,0.061,97.02,95.29,79.41,95.29,0.056,74,1,3,1.0,3.0,0.333,1,1,1,1,1906,9805,9372,9372,8441,9758,9758,7533,8098,8096,18276,7038,9957,13060,10202,12174,19532,20299,18051,18602,24630,24686,14533,17055,17055,17167,18695,19997,18695,19997,16528,1.0,37:17,2015,2016
2015-16,101123,Gerald Green,Gerald,1610612748,MIA,Miami Heat,21501213,2016-04-12T00:00:00,MIA @ DET,W,19.5,95.7,100.0,100.0,92.1,97.5,97.5,3.6,2.5,2.5,0.0,0.0,0.0,0.0,0.034,0.021,0.0,0.0,0.00375,0.00512,0.116,0.114,101.19,96.16,80.14,96.16,0.047,38,1,4,1.0,4.0,0.25,1,1,1,1,16340,17236,14213,14213,6449,9105,9105,11052,11544,11544,18354,13303,18354,13060,21572,22311,1,1,16964,12877,21226,21680,8186,15705,15705,18191,18695,18073,18695,18073,19755,1.0,19:28,2015,2016
2015-16,2736,Luol Deng,Luol,1610612748,MIA,Miami Heat,21501213,2016-04-12T00:00:00,MIA @ DET,W,41.4,106.3,107.3,107.3,95.1,93.9,93.9,11.2,13.4,13.4,0.074,0.67,11.8,0.025,0.209,0.12,0.17600000000000002,0.17800000000000002,0.0068200000000000005,0.00715,0.165,0.166,95.04,95.16,79.3,95.16,0.16,82,6,11,6.0,11.0,0.545,1,1,1,1,416,11113,10616,10616,7935,7241,7241,7957,7163,7163,15238,10723,13753,12515,5374,7020,20534,20695,4821,4662,15450,15833,17443,17289,17289,5201,4268,6284,4268,6284,7132,1.0,41:22,2015,2016
2015-16,2405,Amar'e Stoudemire,Amar'e,1610612748,MIA,Miami Heat,21501213,2016-04-12T00:00:00,MIA @ DET,W,6.0,109.7,107.7,107.7,102.6,100.0,100.0,7.1,7.7,7.7,0.0,0.0,0.0,0.0,0.111,0.071,0.0,0.0,0.006670000000000001,0.006670000000000001,0.214,0.218,106.25,108.66,90.55,108.66,0.051,13,2,3,2.0,3.0,0.667,1,1,1,1,23988,9054,10359,10359,12301,9849,9849,9613,9335,9336,18354,13303,18354,13060,13502,13808,1,1,4962,6060,8818,9049,3049,1952,1952,17639,14994,19997,14994,19997,2883,1.0,5:58,2015,2016
2015-16,2617,Udonis Haslem,Udonis,1610612748,MIA,Miami Heat,21501213,2016-04-12T00:00:00,MIA @ DET,W,7.9,94.0,93.8,93.8,42.4,43.8,43.8,51.6,50.0,50.0,0.0,0.0,0.0,0.0,0.091,0.05,0.0,0.0,0.0,0.00266,0.118,0.118,98.47,97.01,80.84,97.01,-0.571,16,0,1,0.0,1.0,0.0,1,1,1,1,23217,18063,18199,18199,271,311,311,766,806,801,18354,13303,18354,13060,15870,17738,1,1,22516,21495,21043,21372,12232,14354,14354,25996,22516,23432,22516,23432,22516,1.0,7:55,2015,2016
2015-16,2207,Joe Johnson,Joe,1610612748,MIA,Miami Heat,21501213,2016-04-12T00:00:00,MIA @ DET,W,34.0,107.1,109.2,109.2,103.2,104.7,104.7,3.9,4.5,4.5,0.278,1.25,20.0,0.0,0.054,0.031,0.16,0.158,0.00767,0.00766,0.274,0.281,92.56,91.01,75.84,91.01,0.212,65,10,15,10.0,15.0,0.667,1,1,1,1,4337,10600,9487,9487,12649,13435,13435,10910,10622,10622,3821,6879,7894,13060,19974,21049,19468,19460,2918,3259,3549,3481,20742,22446,22446,2112,704,2795,704,2795,2883,1.0,34:01,2015,2016
2015-16,202355,Hassan Whiteside,Hassan,1610612748,MIA,Miami Heat,21501213,2016-04-12T00:00:00,MIA @ DET,W,34.1,106.1,106.1,106.1,110.7,112.5,112.5,-4.6,-6.4,-6.4,0.0,0.0,0.0,0.167,0.114,0.138,0.17600000000000002,0.182,0.004,0.005180000000000001,0.227,0.226,92.15,91.44,76.2,91.44,0.076,66,4,10,4.0,10.0,0.4,1,1,1,1,4251,11209,11355,11355,16977,17733,17733,14546,15386,15386,18354,13303,18354,1084,13393,5284,20534,20794,16028,12637,7548,8112,21210,22041,22041,14732,8539,7514,8539,7514,14037,1.0,34:07,2015,2016
2015-16,2548,Dwyane Wade,Dwyane,1610612748,MIA,Miami Heat,21501213,2016-04-12T00:00:00,MIA @ DET,W,33.7,97.3,98.4,98.4,100.3,103.1,103.1,-3.0,-4.7,-4.7,0.167,3.0,14.3,0.0,0.108,0.058,0.048,0.047,0.00375,0.00404,0.254,0.267,92.38,90.58,75.48,90.58,0.077,63,6,16,6.0,16.0,0.375,1,1,1,1,4629,16351,15901,15901,10922,12554,12554,13909,14706,14706,8015,1802,11627,13060,14081,16352,9773,9791,16964,18021,4973,4433,20955,22831,22831,14668,4268,2178,4268,2178,15466,1.0,33:39,2015,2016
2015-16,201609,Goran Dragic,Goran,1610612748,MIA,Miami Heat,21501213,2016-04-12T00:00:00,MIA @ DET,W,26.2,108.7,109.8,109.8,98.6,96.2,96.2,10.1,13.7,13.7,0.267,2.0,19.0,0.074,0.094,0.085,0.095,0.095,0.0053300000000000005,0.0053300000000000005,0.293,0.296,93.57,94.26,78.55,94.26,0.129,51,8,15,8.0,15.0,0.533,1,1,1,1,10671,9700,9205,9205,9843,8319,8319,8372,7081,7081,4119,3519,9019,5606,15712,11705,13960,14039,10166,12040,2489,2698,19564,18638,18638,8190,1806,2795,1806,2795,7579,1.0,26:14,2015,2016
2015-16,201609,Goran Dragic,Goran,1610612748,MIA,Miami Heat,21501200,2016-04-10T00:00:00,MIA vs. ORL,W,35.7,122.3,124.3,124.3,96.3,97.3,97.3,26.0,27.0,27.0,0.261,6.0,30.0,0.0,0.059,0.033,0.05,0.049,0.006670000000000001,0.00713,0.187,0.193,97.46,96.22,80.19,96.22,0.157,70,8,12,8.0,12.0,0.667,1,1,1,1,3003,3605,3131,3131,8570,8951,8951,3591,3342,3342,4310,310,3798,13060,19415,20763,9910,9940,4962,4756,12428,12084,13850,15606,15606,5407,1806,5215,1806,5215,2883,1.0,35:40,2015,2016
2015-16,201177,Josh McRoberts,Josh,1610612748,MIA,Miami Heat,21501200,2016-04-10T00:00:00,MIA vs. ORL,W,19.6,123.4,122.5,122.5,112.1,109.8,109.8,11.3,12.7,12.7,0.313,5.0,35.7,0.067,0.167,0.121,0.071,0.073,0.0025,0.00387,0.209,0.21,97.65,99.02,82.51,99.02,0.079,40,1,6,1.0,6.0,0.167,1,1,1,1,16202,3334,3606,3606,17656,16375,16375,7930,7414,7414,2977,554,2256,6192,8014,6923,11577,11949,20399,18602,9484,9961,13560,11206,11206,14295,18695,14041,18695,14041,21747,1.0,19:38,2015,2016
2015-16,2617,Udonis Haslem,Udonis,1610612748,MIA,Miami Heat,21501200,2016-04-10T00:00:00,MIA vs. ORL,W,2.7,160.0,133.3,133.3,63.0,60.0,60.0,97.0,73.3,73.3,0.0,0.0,0.0,0.0,0.75,0.6,0.0,0.0,0.0,0.0,0.0,0.0,86.22,97.18,80.98,97.18,0.182,6,0,0,0.0,0.0,0.0,1,1,1,1,25241,239,1297,1297,650,568,568,161,267,267,18354,13303,18354,13060,57,12,1,1,22516,23226,25279,25280,24970,14062,14062,3598,22516,24912,22516,24912,22516,1.0,2:43,2015,2016
2015-16,2207,Joe Johnson,Joe,1610612748,MIA,Miami Heat,21501200,2016-04-10T00:00:00,MIA vs. ORL,W,27.3,122.2,123.2,123.2,86.1,91.1,91.1,36.0,32.1,32.1,0.13,0.0,25.0,0.0,0.067,0.04,0.0,0.0,0.0038900000000000002,0.0038900000000000002,0.153,0.154,101.57,98.34,81.95,98.34,0.05,56,3,9,3.0,9.0,0.333,1,1,1,1,9741,3650,3412,3412,4191,6004,6004,1902,2415,2417,10719,13303,5284,13060,18598,19583,1,1,16697,18502,17018,17335,7667,12272,12275,17757,11544,8964,11544,8964,16528,1.0,27:20,2015,2016
2015-16,1626159,Justise Winslow,Justise,1610612748,MIA,Miami Heat,21501200,2016-04-10T00:00:00,MIA vs. ORL,W,14.0,103.3,96.7,96.7,107.1,106.7,106.7,-3.8,-10.0,-10.0,0.111,0.5,14.3,0.0,0.25,0.13,0.28600000000000003,0.29100000000000004,0.005,0.00644,0.188,0.202,99.21,102.7,85.58,102.7,0.1,30,1,3,1.0,3.0,0.333,1,1,1,1,20398,12852,16807,16807,14874,14561,14561,14232,16866,16903,11899,11265,11627,13060,3136,5975,24115,24310,10446,7113,12216,10880,11097,6159,6159,11619,18695,19997,18695,19997,16528,1.0,14:01,2015,2016
2015-16,1626196,Josh Richardson,Josh,1610612748,MIA,Miami Heat,21501200,2016-04-10T00:00:00,MIA vs. ORL,W,34.1,117.0,118.1,118.1,96.0,95.9,95.9,21.0,22.2,22.2,0.148,4.0,30.8,0.036,0.054,0.046,0.077,0.078,0.005,0.00571,0.117,0.117,102.44,102.02,85.01,102.02,0.066,72,3,7,3.0,7.0,0.429,1,1,1,1,4261,5593,5134,5134,8414,8202,8202,4836,4455,4455,9507,963,3632,10418,19974,18509,12087,12350,10446,10510,21191,21411,6579,6935,6935,15887,11544,12208,11544,12208,12903,1.0,34:07,2015,2016
2015-16,1627362,Briante Weber,Briante,1610612748,MIA,Miami Heat,21501200,2016-04-10T00:00:00,MIA vs. ORL,W,2.7,160.0,133.3,133.3,63.0,60.0,60.0,97.0,73.3,73.3,0.333,0.0,50.0,0.0,0.25,0.2,0.0,0.0,0.01,0.01,0.167,0.2,86.22,97.18,80.98,97.18,0.273,6,1,1,1.0,1.0,1.0,1,1,1,1,25241,239,1297,1297,650,568,568,161,267,267,2256,13303,457,13060,3136,1523,1,1,347,559,14901,11129,24970,14062,14062,765,18695,23432,18695,23432,1,1.0,2:43,2015,2016
2015-16,2548,Dwyane Wade,Dwyane,1610612748,MIA,Miami Heat,21501200,2016-04-10T00:00:00,MIA vs. ORL,W,23.9,115.2,112.0,112.0,91.7,98.0,98.0,23.5,14.0,14.0,0.214,3.0,21.4,0.0,0.125,0.073,0.071,0.07,0.0077800000000000005,0.008239999999999999,0.212,0.224,101.2,99.28,82.73,99.28,0.22,50,7,9,7.0,9.0,0.778,1,1,1,1,12621,6312,7974,7974,6311,9319,9319,4149,6938,6938,5878,1802,7485,13060,11991,13611,11577,11609,2763,2292,9222,8401,8175,10812,10812,1816,2864,8964,2864,8964,1686,1.0,23:56,2015,2016
2015-16,101123,Gerald Green,Gerald,1610612748,MIA,Miami Heat,21501200,2016-04-10T00:00:00,MIA vs. ORL,W,16.5,110.8,108.8,108.8,93.3,94.1,94.1,17.4,14.7,14.7,0.0,0.0,0.0,0.0,0.2,0.107,0.0,0.0,0.00625,0.00625,0.333,0.349,98.44,98.91,82.42,98.91,0.22,34,7,12,7.0,12.0,0.583,1,1,1,1,18652,8500,9716,9716,7042,7304,7304,5864,6714,6716,18354,13303,18354,13060,5626,8504,1,1,6545,7878,908,864,12272,11403,11403,1812,2864,5215,2864,5215,5861,1.0,16:30,2015,2016
2015-16,202355,Hassan Whiteside,Hassan,1610612748,MIA,Miami Heat,21501200,2016-04-10T00:00:00,MIA vs. ORL,W,28.4,118.0,119.0,119.0,83.3,87.9,87.9,34.7,31.0,31.0,0.0,0.0,0.0,0.095,0.419,0.288,0.154,0.16,0.00714,0.00856,0.213,0.207,101.26,98.14,81.79,98.14,0.239,58,5,7,5.0,7.0,0.714,1,1,1,1,8954,5175,4801,4801,3325,4775,4775,2071,2589,2589,18354,13303,18354,3955,384,243,19034,19521,4057,1852,9049,10309,8097,12590,12590,1329,6175,12208,6175,12208,2409,1.0,28:22,2015,2016
