GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Players,101139,CJ Miles,CJ,1610612754,IND,29.0,26,11,15,0.423,46.28333333333333,3.1,11.7,0.267,1.6,9.3,0.167,3.9,4.7,0.833,1.6,3.1,4.7,1.6,0.0,0.8,0.8,0.8,3.1,3.1,11.7,10.9,24.3,0,0,22.6,144,157,114,277,201,239,158,296,100,27,187,163,189,122,161,279,252,194,282,168,134,130,292,201,203,114,243,190,13,245
Players,201588,George Hill,George,1610612754,IND,30.0,47,27,20,0.574,178.13,2.4,6.9,0.353,1.2,3.0,0.4,1.2,2.0,0.6,0.8,2.4,3.2,1.2,0.8,1.0,0.2,0.6,2.4,2.6,7.3,-1.6,15.8,0,0,15.4,5,8,36,125,13,274,279,240,131,193,71,277,279,239,220,320,320,226,241,133,197,150,332,229,295,231,335,190,13,328
Players,203922,Glenn Robinson III,Glenn,1610612754,IND,22.0,6,5,1,0.833,6.56,11.0,16.5,0.667,5.5,5.5,1.0,5.5,11.0,0.5,5.5,5.5,11.0,0.0,0.0,0.0,0.0,5.5,5.5,5.5,32.9,60.4,46.1,0,0,49.4,312,252,363,38,356,22,76,45,5,107,1,100,46,261,26,150,60,287,282,237,200,8,130,88,20,16,45,190,13,26
Players,101133,Ian Mahinmi,Ian,1610612754,IND,29.0,40,23,17,0.575,119.49,2.7,5.1,0.529,0.0,0.0,0.0,4.8,10.5,0.457,3.9,5.7,9.6,0.9,1.2,2.1,2.4,0.3,6.9,6.0,10.2,-3.0,35.5,6,0,29.8,28,19,77,124,73,262,324,89,209,275,209,125,52,291,57,135,84,251,193,39,39,196,86,80,236,243,113,60,13,157
Players,1626202,Joe Young,Joe,1610612754,IND,24.0,2,1,1,0.5,0.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.8,0.0,0,0,0.0,374,362,363,188,416,342,379,342,209,275,209,299,312,299,270,356,370,287,282,237,200,206,375,326,359,13,400,190,13,400
Players,201941,Jordan Hill,Jordan,1610612754,IND,28.0,28,12,16,0.429,68.28166666666667,5.3,12.7,0.417,0.0,0.5,0.0,1.6,2.1,0.75,5.8,5.3,11.1,0.0,2.1,0.0,1.1,0.0,3.7,1.1,12.1,-2.1,26.5,4,0,25.3,128,144,97,269,160,139,139,176,209,268,209,261,275,171,24,158,59,287,106,237,105,206,248,305,198,235,219,80,13,208
Players,202730,Lavoy Allen,Lavoy,1610612754,IND,27.0,26,14,12,0.538,66.68833333333333,1.6,4.9,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,7.0,7.6,1.6,0.5,1.1,1.6,1.1,5.4,0.5,3.2,3.2,22.3,2,0,17.8,144,119,157,161,163,311,330,255,209,275,209,299,312,299,238,85,150,189,264,119,68,95,132,323,353,176,268,103,13,307
Players,101145,Monta Ellis,Monta,1610612754,IND,30.0,50,28,22,0.56,204.93666666666667,7.2,17.6,0.41,1.2,4.6,0.269,6.5,8.6,0.755,0.4,4.0,4.4,5.4,3.3,1.2,0.5,0.7,2.6,6.1,22.1,1.9,37.5,1,0,36.7,2,4,20,139,2,71,60,182,127,138,134,83,79,170,263,223,268,44,42,96,160,138,324,77,71,188,103,125,13,88
Players,1626167,Myles Turner,Myles,1610612754,IND,20.0,26,15,11,0.577,83.55333333333333,5.6,12.1,0.464,0.4,0.9,0.5,2.6,4.7,0.545,2.6,4.7,7.3,1.7,0.4,0.0,1.3,1.7,6.0,3.9,14.2,3.9,29.0,3,0,26.3,144,109,174,120,132,120,151,136,190,257,30,223,187,254,105,182,159,181,272,237,89,54,110,152,169,171,178,93,13,199
Players,202331,Paul George,Paul,1610612754,IND,26.0,51,28,23,0.549,211.9183333333333,7.5,20.0,0.373,2.4,7.1,0.333,8.2,10.2,0.8,0.5,5.3,5.8,2.9,2.4,2.2,0.7,1.9,3.2,7.3,25.5,0.2,43.0,14,0,42.3,1,4,16,151,1,69,37,218,53,59,88,51,58,144,247,159,212,109,93,35,143,42,285,44,50,205,61,21,13,51
