group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,e_off_rating,off_rating,sp_work_off_rating,e_def_rating,def_rating,sp_work_def_rating,e_net_rating,net_rating,sp_work_net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,e_usg_pct,e_pace,pace,pace_per40,sp_work_pace,pie,poss,fgm,fga,fgm_pg,fga_pg,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,e_off_rating_rank,off_rating_rank,sp_work_off_rating_rank,e_def_rating_rank,def_rating_rank,sp_work_def_rating_rank,e_net_rating_rank,net_rating_rank,sp_work_net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,e_tov_pct_rank,efg_pct_rank,ts_pct_rank,usg_pct_rank,e_usg_pct_rank,e_pace_rank,pace_rank,sp_work_pace_rank,pie_rank,fgm_rank,fga_rank,fgm_pg_rank,fga_pg_rank,fg_pct_rank,team
Players,1627749,Dejounte Murray,Dejounte,1610612759,SAS,25.0,34,15,19,0.441,3.7,94.9,93.7,93.7,108.5,105.2,105.2,-13.6,-11.4,-11.4,0.429,1.5,16.0,0.033,0.133,0.082,10.7,10.8,0.451,0.497,0.369,0.38,98.44,100.62,83.85,100.62,0.177,255,35,81,1.0,2.4,0.432,32,68,476,297,74,366,353,353,231,238,238,327,322,322,13,114,149,198,181,208,377,376,235,262,15,18,261,281,281,54,5,8,13,16,189,SAS
Players,1630200,Tre Jones,Tre,1610612759,SAS,22.0,12,5,7,0.417,1.9,91.8,81.3,81.3,115.1,106.9,106.9,-23.3,-25.6,-25.6,0.333,0.0,27.3,0.0,0.059,0.034,0.0,0.0,0.375,0.375,0.151,0.172,99.7,109.67,91.39,109.67,0.049,48,3,8,0.3,0.7,0.375,244,247,255,318,346,384,404,404,296,258,258,379,388,388,26,233,55,290,347,382,1,1,287,330,227,202,221,115,115,284,228,227,244,231,241,SAS
Players,1629111,Jock Landale,Jock,1610612759,SAS,26.0,9,4,5,0.444,1.0,65.7,63.6,63.6,105.9,88.5,88.5,-40.2,-24.8,-24.8,0.0,0.0,0.0,0.077,0.125,0.103,33.3,33.3,0.0,0.0,0.125,0.134,118.71,132.39,110.32,132.39,-0.065,22,0,2,0.0,0.2,0.0,279,275,211,290,434,449,443,443,192,82,82,425,384,384,307,233,307,83,200,140,476,477,364,382,272,277,37,39,39,454,364,335,364,395,364,SAS
Players,203926,Doug McDermott,Doug,1610612759,SAS,30.0,12,3,9,0.25,1.9,81.9,86.0,86.0,139.5,137.0,137.0,-57.6,-50.9,-50.9,0.0,0.0,0.0,0.0,0.167,0.067,11.1,11.3,0.357,0.444,0.173,0.181,97.57,96.14,80.12,96.14,-0.012,43,2,7,0.2,0.6,0.286,244,304,298,421,354,412,391,391,442,456,456,445,445,445,307,233,307,290,113,256,381,383,299,296,180,184,295,397,397,424,256,240,302,269,308,SAS
Players,1630170,Devin Vassell,Devin,1610612759,SAS,21.0,26,9,17,0.346,3.5,86.1,84.3,84.3,113.2,107.3,107.3,-27.2,-23.0,-23.0,0.132,3.5,21.2,0.034,0.123,0.076,6.1,6.1,0.091,0.126,0.116,0.121,99.67,103.52,86.27,103.52,-0.026,191,2,22,0.1,0.8,0.091,101,173,454,376,96,405,398,398,282,262,262,387,378,378,151,34,98,197,208,231,280,281,363,381,302,311,223,209,209,432,256,120,356,176,363,SAS
Players,1629719,Devontae Cacok,Devontae,1610612759,SAS,25.0,2,0,2,0.0,1.3,80.6,71.4,71.4,126.1,120.0,120.0,-45.4,-48.6,-48.6,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.143,0.161,148.44,160.52,133.77,160.52,-0.167,7,0,1,0.0,0.5,0.0,408,448,100,448,415,416,422,422,391,388,388,431,441,441,307,233,307,290,5,17,1,1,364,382,239,226,20,26,26,477,364,364,364,291,364,SAS
Players,204020,Tyler Johnson,Tyler,1610612759,SAS,30.0,1,0,1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.03,61.02,50.85,61.02,0.0,0,0,0,0.0,0.0,0.0,438,448,38,448,463,465,465,465,1,1,1,225,217,217,307,233,307,290,380,406,1,1,364,382,431,431,31,492,492,356,364,419,364,419,364,SAS
Players,1628966,Keita Bates-Diop,Keita,1610612759,SAS,26.0,11,2,9,0.182,2.9,68.3,65.2,65.2,99.9,91.3,91.3,-31.7,-26.0,-26.0,0.0,0.0,0.0,0.0,0.135,0.063,42.9,42.9,0.875,0.875,0.09,0.095,105.68,113.31,94.43,113.31,0.078,69,3,4,0.3,0.4,0.75,254,339,298,436,209,438,442,442,124,93,93,404,391,391,307,233,307,290,174,273,489,488,41,40,357,356,106,96,96,229,228,290,234,344,44,SAS
Players,1627751,Jakob Poeltl,Jakob,1610612759,SAS,26.0,29,13,16,0.448,3.9,97.9,94.6,94.6,103.0,99.1,99.1,-5.1,-4.5,-4.5,0.095,1.5,13.0,0.118,0.194,0.155,8.7,9.0,0.593,0.58,0.148,0.152,93.71,97.16,80.97,97.16,0.145,223,16,27,0.6,0.9,0.593,70,97,438,289,54,350,345,345,157,145,145,269,262,262,192,114,195,47,79,55,339,347,125,176,232,239,393,373,373,98,74,100,94,162,85,SAS
Players,1628380,Zach Collins,Zach,1610612759,SAS,24.0,7,5,2,0.714,0.4,61.3,50.0,50.0,41.0,22.2,22.2,20.4,27.8,27.8,0.0,0.0,0.0,0.0,0.2,0.125,0.0,0.0,0.0,0.0,0.0,0.0,111.37,166.08,138.4,166.08,-0.333,8,0,0,0.0,0.0,0.0,305,247,100,62,469,452,454,454,26,21,21,87,69,69,307,233,307,290,67,86,1,1,364,382,431,431,64,23,23,489,364,419,364,419,364,SAS
