season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,round,game_no_in_series
2020-21,1610612737,42000131,2021-05-23,ATL,NYK,1610612752,107,105,W,rnd1,1
2020-21,1610612737,42000132,2021-05-26,ATL,NYK,1610612752,92,101,L,rnd1,2
2020-21,1610612737,42000133,2021-05-28,NYK,ATL,1610612752,105,94,W,rnd1,3
2020-21,1610612737,42000134,2021-05-30,NYK,ATL,1610612752,113,96,W,rnd1,4
2020-21,1610612737,42000135,2021-06-02,ATL,NYK,1610612752,103,89,W,rnd1,5
2020-21,1610612737,42000201,2021-06-06,ATL,PHI,1610612755,128,124,W,sf,1
2020-21,1610612737,42000202,2021-06-08,ATL,PHI,1610612755,102,118,L,sf,2
2020-21,1610612737,42000203,2021-06-11,PHI,ATL,1610612755,111,127,L,sf,3
2020-21,1610612737,42000204,2021-06-14,PHI,ATL,1610612755,103,100,W,sf,4
2020-21,1610612737,42000205,2021-06-16,ATL,PHI,1610612755,109,106,W,sf,5
2020-21,1610612737,42000206,2021-06-18,PHI,ATL,1610612755,99,104,L,sf,6
2020-21,1610612737,42000207,2021-06-20,ATL,PHI,1610612755,103,96,W,sf,7
2020-21,1610612737,42000301,2021-06-23,ATL,MIL,1610612749,116,113,W,conf,1
2020-21,1610612737,42000302,2021-06-25,ATL,MIL,1610612749,91,125,L,conf,2
2020-21,1610612737,42000303,2021-06-27,MIL,ATL,1610612749,102,113,L,conf,3
2020-21,1610612737,42000304,2021-06-29,MIL,ATL,1610612749,110,88,W,conf,4
2020-21,1610612737,42000305,2021-07-01,ATL,MIL,1610612749,112,123,L,conf,5
2020-21,1610612737,42000306,2021-07-03,MIL,ATL,1610612749,107,118,L,conf,6
