season,player_id,player_name,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,e_off_rating,off_rating,sp_work_off_rating,e_def_rating,def_rating,sp_work_def_rating,e_net_rating,net_rating,sp_work_net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,e_usg_pct,e_pace,pace,pace_per40,sp_work_pace,pie,poss,fgm,fga,fgm_pg,fga_pg,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,e_off_rating_rank,off_rating_rank,sp_work_off_rating_rank,e_def_rating_rank,def_rating_rank,sp_work_def_rating_rank,e_net_rating_rank,net_rating_rank,sp_work_net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,e_tov_pct_rank,efg_pct_rank,ts_pct_rank,usg_pct_rank,e_usg_pct_rank,e_pace_rank,pace_rank,sp_work_pace_rank,pie_rank,fgm_rank,fga_rank,fgm_pg_rank,fga_pg_rank,fg_pct_rank,available_flag,min_sec,season_start,season_end
2019-20,1629126,Deonte Burton,Deonte,1610612760,OKC,Oklahoma City Thunder,21901317,2020-08-14T00:00:00,OKC @ LAC,L,29.5,92.0,97.0,97.0,101.8,98.5,98.5,-9.7,-1.5,-1.5,0.227,1.25,25.0,0.022,0.156,0.077,20.0,20.0,0.273,0.273,0.185,0.191,109.32,108.08,90.07,108.08,0.025,67,3,11,3.0,11.0,0.273,1,11184,11184,11184,6782,17751,16124,16124,8120,6346,6346,14430,11522,11522,4930,6484,4933,11158,8018,10998,18658,18786,17962,18790,10454,10462,3747,4594,4594,17655,10497,5930,10497,5930,17141,1,29:32,2019,2020
2019-20,203460,Andre Roberson,Andre,1610612760,OKC,Oklahoma City Thunder,21901317,2020-08-14T00:00:00,OKC @ LAC,L,28.1,89.1,90.3,90.3,84.2,83.3,83.3,4.9,7.0,7.0,0.1,0.0,16.7,0.027,0.143,0.077,0.0,0.0,0.111,0.152,0.141,0.144,104.31,104.14,86.78,104.14,-0.041,62,1,9,1.0,9.0,0.111,1,11184,11184,11184,7864,18542,18271,18271,2232,2010,2010,8996,8215,8217,11511,11854,9297,10406,8903,10998,1,1,19534,19943,15522,15636,8977,8812,8812,20995,16399,8240,16399,8240,19502,1,28:07,2019,2020
2019-20,1629647,Darius Bazley,Darius,1610612760,OKC,Oklahoma City Thunder,21901317,2020-08-14T00:00:00,OKC @ LAC,L,30.8,97.1,100.0,100.0,90.4,91.2,91.2,6.7,8.8,8.8,0.045,1.0,6.7,0.026,0.171,0.101,6.7,6.5,0.333,0.338,0.179,0.191,108.84,106.81,89.01,106.81,0.082,69,3,12,3.0,12.0,0.25,1,11184,11184,11184,5779,15920,14309,14309,3668,3789,3789,8354,7564,7571,15828,6652,15575,10552,6914,7779,9719,9745,16302,17567,11125,10453,4154,5759,5759,12037,10497,5001,10497,5001,17337,1,30:47,2019,2020
2019-20,1628390,Terrance Ferguson,Terrance,1610612760,OKC,Oklahoma City Thunder,21901317,2020-08-14T00:00:00,OKC @ LAC,L,17.5,61.0,58.3,58.3,93.7,100.0,100.0,-32.7,-41.7,-41.7,0.0,0.0,0.0,0.0,0.056,0.026,0.0,0.0,0.0,0.0,0.048,0.053,97.12,96.18,80.15,96.18,-0.217,36,0,2,0.0,2.0,0.0,1,11184,11184,11184,15650,21721,21743,21743,4723,6531,6531,19690,20626,20623,16549,11854,16549,11304,17260,18935,1,1,19596,20146,21432,21377,17981,18616,18616,22172,19596,18959,19596,18959,19596,1,17:28,2019,2020
2019-20,1628985,Devon Hall,Devon,1610612760,OKC,Oklahoma City Thunder,21901317,2020-08-14T00:00:00,OKC @ LAC,L,24.3,90.9,94.7,94.7,99.8,96.5,96.5,-8.9,-1.8,-1.8,0.25,4.0,21.1,0.025,0.0,0.016,5.3,5.3,0.458,0.436,0.217,0.219,113.26,112.75,93.96,112.75,0.069,57,4,12,4.0,12.0,0.333,1,11184,11184,11184,10791,18079,16903,16903,7122,5568,5568,14126,11635,11635,3870,948,7139,10776,19440,20001,8769,8918,13043,15230,7186,7619,1536,1814,1814,13538,8029,5001,8029,5001,14612,1,24:16,2019,2020
2019-20,203500,Steven Adams,Steven,1610612760,OKC,Oklahoma City Thunder,21901317,2020-08-14T00:00:00,OKC @ LAC,L,6.4,77.6,83.3,83.3,62.1,66.7,66.7,15.5,16.7,16.7,0.0,0.0,0.0,0.25,0.4,0.308,33.3,33.3,0.0,0.0,0.188,0.202,97.11,90.47,75.39,90.47,0.0,12,0,2,0.0,2.0,0.0,1,11184,11184,11184,20486,20636,19677,19677,471,612,612,5485,5118,5121,16549,11854,16549,170,418,190,21221,21261,19596,20146,10183,9319,17995,21696,21696,18951,19596,18959,19596,18959,19596,1,6:22,2019,2020
2019-20,201568,Danilo Gallinari,Danilo,1610612760,OKC,Oklahoma City Thunder,21901317,2020-08-14T00:00:00,OKC @ LAC,L,8.9,81.0,94.1,94.1,90.1,94.1,94.1,-9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.059,0.0,0.0,0.0,0.347,0.19,0.199,101.56,92.03,76.69,92.03,-0.051,17,0,3,0.0,3.0,0.0,1,11184,11184,11184,19810,20145,17096,17096,3560,4725,4725,14214,10684,10684,16549,11854,16549,11304,8903,14055,1,1,19596,17403,9886,9652,12548,21250,21250,21202,19596,17424,19596,17424,19596,1,8:52,2019,2020
2019-20,203488,Mike Muscala,Mike,1610612760,OKC,Oklahoma City Thunder,21901317,2020-08-14T00:00:00,OKC @ LAC,L,14.3,81.6,77.4,77.4,106.1,100.0,100.0,-24.5,-22.6,-22.6,0.0,0.0,0.0,0.0,0.056,0.029,0.0,0.0,0.5,0.5,0.094,0.099,100.19,105.98,88.32,105.98,0.043,31,1,3,1.0,3.0,0.333,1,11184,11184,11184,17638,20046,20600,20600,10197,6531,6531,18400,18006,18007,16549,11854,16549,11304,17260,18552,1,1,10086,12610,19582,19498,14354,6682,6682,16124,16399,17424,16399,17424,14612,1,14:16,2019,2020
2019-20,1628977,Hamidou Diallo,Hamidou,1610612760,OKC,Oklahoma City Thunder,21901317,2020-08-14T00:00:00,OKC @ LAC,L,39.8,83.7,86.7,86.7,95.6,93.2,93.2,-11.9,-6.5,-6.5,0.053,0.5,3.7,0.069,0.159,0.108,7.4,7.4,0.545,0.558,0.248,0.256,107.94,107.38,89.48,107.38,0.149,90,10,22,10.0,22.0,0.455,1,11184,11184,11184,432,19681,19075,19075,5421,4422,4422,15152,13399,13399,15237,10228,16495,4741,7835,7032,10473,10508,9457,10547,4654,4444,4907,5219,5219,5022,835,490,835,490,10529,1,39:47,2019,2020
2019-20,1628987,Kevin Hervey,Kevin,1610612760,OKC,Oklahoma City Thunder,21901317,2020-08-14T00:00:00,OKC @ LAC,L,11.2,75.9,82.1,82.1,128.9,122.2,122.2,-53.0,-40.1,-40.1,0.143,0.0,14.3,0.04,0.273,0.111,0.0,0.0,0.417,0.417,0.154,0.161,120.01,118.03,98.36,118.03,0.081,28,2,6,2.0,6.0,0.333,1,11184,11184,11184,19126,20827,19905,19905,19429,17362,17362,21343,20499,20499,8662,11854,10820,8021,2144,6502,1,1,14216,15715,13955,13778,390,702,700,12075,13379,12598,13379,12598,14612,1,11:11,2019,2020
