season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end,is_home,home,away
2019-20,1610612748,MIA,Miami Heat,21900970,2020-03-11,MIA vs. CHA,L,48.0,13.0,8.0,15.0,44.0,24.0,18.0,9.0,38.0,0,0,0,0,139,1478,1674,716,1302,1831,1700,506,307,1,2019,2020,True,MIA,CHA
2019-20,1610612743,DEN,Denver Nuggets,21900973,2020-03-11,DEN @ DAL,L,48.0,2.0,4.0,20.0,38.0,28.0,16.0,14.0,60.0,0,0,0,0,139,2113,2000,276,1706,2014,1467,1162,1843,1,2019,2020,False,DAL,DEN
2019-20,1610612755,PHI,Philadelphia 76ers,21900971,2020-03-11,PHI vs. DET,W,48.0,13.0,22.0,11.0,48.0,14.0,5.0,13.0,50.0,0,0,0,0,139,1478,96,1224,938,642,120,1027,1182,1,2019,2020,True,PHI,DET
2019-20,1610612765,DET,Detroit Pistons,21900971,2020-03-11,DET @ PHI,L,48.0,14.0,5.0,13.0,50.0,13.0,22.0,11.0,48.0,0,0,0,0,139,1330,1959,958,767,520,1986,763,999,1,2019,2020,False,PHI,DET
2019-20,1610612766,CHA,Charlotte Hornets,21900970,2020-03-11,CHA @ MIA,W,48.0,24.0,18.0,9.0,38.0,13.0,8.0,15.0,44.0,0,0,0,0,139,232,323,1494,1706,520,310,1283,675,1,2019,2020,False,MIA,CHA
2019-20,1610612742,DAL,Dallas Mavericks,21900973,2020-03-11,DAL vs. DEN,W,48.0,28.0,16.0,14.0,60.0,2.0,4.0,20.0,38.0,0,0,0,0,139,87,540,837,194,2,62,1778,307,1,2019,2020,True,DAL,DEN
2019-20,1610612752,NYK,New York Knicks,21900969,2020-03-11,NYK @ ATL,W,53.0,26.0,9.0,29.0,62.0,11.0,18.0,12.0,58.0,0,0,0,0,13,143,1543,34,136,313,1700,896,1754,1,2019,2020,False,ATL,NYK
2019-20,1610612737,ATL,Atlanta Hawks,21900969,2020-03-11,ATL vs. NYK,L,53.0,11.0,18.0,12.0,58.0,26.0,9.0,29.0,62.0,0,0,0,0,13,1698,323,1093,277,1927,446,2073,1926,1,2019,2020,True,ATL,NYK
2019-20,1610612756,PHX,Phoenix Suns,21900966,2020-03-10,PHX @ POR,L,48.0,11.0,13.0,12.0,36.0,16.0,8.0,15.0,38.0,0,0,0,0,139,1698,943,1093,1813,919,310,1283,307,1,2019,2020,False,POR,PHX
2019-20,1610612752,NYK,New York Knicks,21900961,2020-03-10,NYK @ WAS,L,48.0,22.0,21.0,6.0,54.0,28.0,8.0,13.0,34.0,0,0,0,0,139,358,134,1847,474,2014,310,1027,129,1,2019,2020,False,WAS,NYK
2019-20,1610612757,POR,Portland Trail Blazers,21900966,2020-03-10,POR vs. PHX,W,48.0,16.0,8.0,15.0,38.0,11.0,13.0,12.0,36.0,0,0,0,0,139,1067,1674,716,1706,313,1017,896,209,1,2019,2020,True,POR,PHX
2019-20,1610612746,LAC,LA Clippers,21900967,2020-03-10,LAC @ GSW,W,48.0,18.0,17.0,15.0,42.0,18.0,4.0,12.0,44.0,0,0,0,0,139,773,420,716,1445,1203,62,896,675,1,2019,2020,False,GSW,LAC
2019-20,1610612751,BKN,Brooklyn Nets,21900968,2020-03-10,BKN @ LAL,W,48.0,17.0,13.0,14.0,42.0,17.0,9.0,18.0,36.0,0,0,0,0,139,917,943,837,1445,1053,446,1603,209,1,2019,2020,False,LAL,BKN
2019-20,1610612745,HOU,Houston Rockets,21900963,2020-03-10,HOU vs. MIN,W,48.0,17.0,7.0,13.0,46.0,21.0,7.0,17.0,50.0,0,0,0,0,139,917,1810,958,1121,1565,229,1504,1182,1,2019,2020,True,HOU,MIN
2019-20,1610612763,MEM,Memphis Grizzlies,21900964,2020-03-10,MEM vs. ORL,L,48.0,17.0,13.0,12.0,50.0,26.0,18.0,15.0,48.0,0,0,0,0,139,917,943,1093,767,1927,1700,1283,999,1,2019,2020,True,MEM,ORL
2019-20,1610612750,MIN,Minnesota Timberwolves,21900963,2020-03-10,MIN @ HOU,L,48.0,21.0,7.0,17.0,50.0,17.0,7.0,13.0,46.0,0,0,0,0,139,452,1810,517,767,1053,229,1027,818,1,2019,2020,False,HOU,MIN
2019-20,1610612739,CLE,Cleveland Cavaliers,21900962,2020-03-10,CLE @ CHI,L,48.0,32.0,14.0,11.0,66.0,20.0,17.0,11.0,56.0,0,0,0,0,139,23,802,1224,58,1455,1580,763,1646,1,2019,2020,False,CHI,CLE
2019-20,1610612753,ORL,Orlando Magic,21900964,2020-03-10,ORL @ MEM,W,48.0,26.0,18.0,15.0,48.0,17.0,13.0,12.0,50.0,0,0,0,0,139,143,323,716,938,1053,1017,896,1182,1,2019,2020,False,MEM,ORL
2019-20,1610612754,IND,Indiana Pacers,21900960,2020-03-10,IND vs. BOS,L,48.0,14.0,19.0,14.0,64.0,15.0,16.0,14.0,40.0,0,0,0,0,139,1330,248,837,100,790,1467,1162,414,1,2019,2020,True,IND,BOS
