group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,team
Players,203914,Gary Harris,Gary,1610612743,DEN,25.0,5,4,1,0.8,13.398333333333332,0,0,0,0,4,0,0,12,0,0,3,1,7.4,28,20,11,13,46,39,34,16,51,76,1,1,85,25,1,96,39,52,DEN
Players,200794,Paul Millsap,Paul,1610612743,DEN,35.0,6,1,5,0.167,18.77166666666667,0,3,0,2,6,6,2,10,1,2,3,0,12.0,21,51,115,94,34,39,10,16,25,86,88,70,71,11,117,96,62,36,DEN
Players,1628408,PJ Dozier,PJ,1610612743,DEN,23.0,3,2,1,0.667,9.858333333333333,0,0,0,0,0,3,0,2,1,0,1,3,11.7,61,38,11,27,62,39,34,16,51,1,64,1,22,11,1,38,17,38,DEN
Players,203999,Nikola Jokić,Nikola,1610612743,DEN,25.0,11,6,5,0.545,36.818333333333335,6,4,0,12,6,9,2,22,0,1,3,5,44.6,9,7,115,43,12,3,6,16,3,86,97,70,108,25,97,96,9,4,DEN
Players,1627750,Jamal Murray,Jamal,1610612743,DEN,23.0,11,6,5,0.545,38.535,11,2,0,4,8,11,2,24,3,1,4,4,75.0,9,7,115,43,10,1,17,16,15,92,111,70,110,1,97,111,14,2,DEN
Players,1629008,Michael Porter Jr.,Michael,1610612743,DEN,22.0,6,4,2,0.667,11.058333333333334,0,0,0,0,0,2,0,6,1,0,3,3,12.4,21,20,59,27,59,39,34,16,51,1,42,1,56,11,1,96,17,35,DEN
Players,203486,Mason Plumlee,Mason,1610612743,DEN,30.0,3,1,2,0.333,0.8516666666666667,0,0,0,0,2,3,0,2,0,0,0,0,0.0,61,51,59,73,110,39,34,16,51,36,64,1,22,25,1,1,62,93,DEN
Players,203584,Troy Daniels,Troy,1610612743,DEN,28.0,1,0,1,0.0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,97,95,11,95,119,39,34,16,51,1,1,1,1,25,1,1,62,93,DEN
Players,1628470,Torrey Craig,Torrey,1610612743,DEN,29.0,6,4,2,0.667,12.96,0,0,0,2,2,7,0,12,0,0,3,0,3.5,21,20,59,27,48,39,34,16,25,36,94,1,85,25,1,96,62,69,DEN
Players,203924,Jerami Grant,Jerami,1610612743,DEN,26.0,10,5,5,0.5,37.98833333333334,0,3,2,2,8,11,2,24,0,2,5,1,13.6,12,17,115,45,11,39,10,5,25,92,111,70,110,25,117,120,39,34,DEN
Players,1628420,Monté Morris,Monté,1610612743,DEN,25.0,5,2,3,0.4,12.305,3,3,0,0,4,3,2,6,0,0,1,2,6.2,28,38,76,67,53,12,10,16,51,76,64,70,56,25,1,38,30,59,DEN
