group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank
Players,1629626,Bol Bol,Bol,1610612743,DEN,20.0,3,1,2,0.333,6.605,0,0,0,0,6,2,0,10,0,0,1,0,0.5,364,358,82,331,355,210,223,157,296,178,88,1,136,181,1,95,319,402
Players,203914,Gary Harris,Gary,1610612743,DEN,25.0,33,21,12,0.636,112.52333333333333,0,3,0,6,21,27,11,104,1,2,12,9,62.5,32,15,341,97,44,210,127,157,138,338,369,337,425,107,353,402,81,110
Players,1627750,Jamal Murray,Jamal,1610612743,DEN,23.0,33,22,11,0.667,122.39833333333333,9,4,6,26,29,22,10,100,0,4,3,20,137.2,32,13,320,77,26,34,105,26,37,391,341,322,420,181,428,192,25,25
Players,203924,Jerami Grant,Jerami,1610612743,DEN,26.0,31,22,9,0.71,93.82666666666668,4,5,0,12,19,22,3,76,2,0,12,12,55.7,47,13,279,51,77,90,81,157,91,323,341,175,372,58,1,402,57,123
Players,1628966,Keita Bates-Diop,Keita,1610612743,DEN,24.0,7,2,5,0.286,14.148333333333332,0,5,0,2,8,4,0,18,0,0,1,1,8.9,299,321,180,367,293,210,81,157,217,209,154,1,190,181,1,95,262,299
Players,203486,Mason Plumlee,Mason,1610612743,DEN,30.0,18,10,8,0.556,25.88,0,4,2,8,11,7,3,28,1,0,5,5,28.9,178,139,254,150,246,210,105,88,117,246,203,175,244,107,1,257,131,190
Players,1629008,Michael Porter Jr.,Michael,1610612743,DEN,22.0,8,6,2,0.75,34.75,3,7,0,4,8,8,6,8,1,2,2,5,28.5,285,210,82,38,208,113,46,157,169,209,218,247,121,107,353,156,131,191
Players,1628420,Monté Morris,Monté,1610612743,DEN,25.0,20,13,7,0.65,57.111666666666665,0,0,2,8,9,11,1,40,0,1,4,4,38.9,150,91,232,94,151,210,223,88,117,220,254,123,281,181,253,226,156,165
Players,203999,Nikola Jokić,Nikola,1610612743,DEN,25.0,43,29,14,0.674,165.23666666666668,24,28,2,66,36,36,16,120,1,4,17,40,254.7,1,1,367,75,4,3,1,88,1,427,419,393,444,107,428,435,1,1
Players,203943,Noah Vonleh,Noah,1610612743,DEN,24.0,4,2,2,0.5,2.9816666666666665,0,0,0,0,0,5,0,2,0,1,1,0,0.0,344,321,82,177,397,210,223,157,296,1,170,1,39,181,253,95,319,406
Players,1628408,PJ Dozier,PJ,1610612743,DEN,23.0,4,2,2,0.5,9.188333333333333,1,0,1,2,9,3,0,12,0,1,2,4,8.7,344,321,82,177,330,188,223,145,217,220,134,1,153,181,253,156,156,301
Players,200794,Paul Millsap,Paul,1610612743,DEN,35.0,20,12,8,0.6,63.5,2,2,3,8,12,13,10,56,2,2,7,4,44.2,150,102,254,118,140,141,159,58,117,259,278,322,315,58,353,308,156,149
Players,1628470,Torrey Craig,Torrey,1610612743,DEN,29.0,23,17,6,0.739,46.105,0,5,0,4,11,8,2,34,2,0,6,3,36.7,122,40,208,43,178,210,81,157,169,246,218,135,266,58,1,287,184,169
Players,203584,Troy Daniels,Troy,1610612743,DEN,28.0,3,2,1,0.667,4.526666666666666,0,0,3,0,1,0,0,10,0,0,0,0,3.0,364,321,28,77,372,210,223,58,296,83,1,1,136,181,1,1,319,366
Players,203115,Will Barton,Will,1610612743,DEN,29.0,32,19,13,0.594,107.47333333333331,2,6,1,10,23,31,15,104,1,1,8,12,87.7,44,26,357,137,53,141,57,145,104,356,393,385,425,107,253,337,57,75
