TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,TRAVEL,DOUBLE_DRIBBLE,DISCONTINUED_DRIBBLE,OFF_THREE_SEC,FIVE_SEC,EIGHT_SEC,SHOT_CLOCK,INBOUND,BACKCOURT,OFF_GOALTENDING,PALMING,OFF_FOUL,DEF_THREE_SEC,CHARGE,DELAY_OF_GAME,DEF_GOALTENDING,LANE,JUMP_BALL,KICKED_BALL,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,TRAVEL_RANK,DOUBLE_DRIBBLE_RANK,DISCONTINUED_DRIBBLE_RANK,OFF_THREE_SEC_RANK,FIVE_SEC_RANK,EIGHT_SEC_RANK,SHOT_CLOCK_RANK,INBOUND_RANK,BACKCOURT_RANK,OFF_GOALTENDING_RANK,PALMING_RANK,OFF_FOUL_RANK,DEF_THREE_SEC_RANK,CHARGE_RANK,DELAY_OF_GAME_RANK,DEF_GOALTENDING_RANK,LANE_RANK,JUMP_BALL_RANK,KICKED_BALL_RANK
1610612737,Atlanta Hawks,6,2,4,0.333,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,10,10,1,10,13,6,3,10,4,5,9,4,12,7,4,9,7,9,12,11,3,2,9
1610612738,Boston Celtics,20,11,9,0.55,14.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,31.0,1.0,9.0,2.0,4.0,0.0,1.0,9.0,2,3,15,4,1,1,1,3,4,5,6,4,3,1,4,3,4,3,4,3,3,1,4
1610612751,Brooklyn Nets,4,0,4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,16,16,1,16,14,6,3,10,4,5,9,4,12,7,4,16,7,13,8,11,3,2,13
1610612739,Cleveland Cavaliers,5,1,4,0.2,5.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,12,12,1,12,11,1,3,10,4,5,9,4,12,7,4,14,7,13,12,15,3,2,6
1610612743,Denver Nuggets,20,16,4,0.8,10.0,1.0,0.0,1.0,0.0,0.0,21.0,1.0,4.0,0.0,0.0,43.0,2.0,12.0,2.0,2.0,0.0,0.0,14.0,2,1,1,1,4,1,3,3,4,5,1,2,1,7,4,1,3,2,4,7,3,2,1
1610612744,Golden State Warriors,13,6,7,0.462,11.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,1.0,1.0,30.0,1.0,8.0,0.0,0.0,0.0,0.0,6.0,5,6,13,8,3,6,3,10,4,1,6,4,3,1,1,4,4,4,12,15,3,2,5
1610612746,LA Clippers,5,1,4,0.2,7.000000000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,12,12,1,12,6,6,3,10,4,5,13,4,3,7,4,15,7,16,4,11,3,2,13
1610612747,Los Angeles Lakers,16,8,8,0.5,7.0,1.0,0.0,2.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,23.0,4.0,7.0,4.0,6.0,0.0,0.0,10.0,4,4,14,7,7,1,3,2,2,5,5,4,12,1,1,6,1,6,1,1,3,2,2
1610612763,Memphis Grizzlies,6,2,4,0.333,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,4.0,1.0,2.0,0.0,0.0,2.0,10,10,1,10,7,6,1,3,4,5,16,4,3,7,4,11,7,9,8,7,3,2,9
1610612748,Miami Heat,23,13,10,0.565,14.0,1.0,0.0,3.0,0.0,1.0,15.0,0.0,1.0,1.0,1.0,39.0,3.0,4.0,3.0,6.0,0.0,0.0,10.0,1,2,16,3,1,1,3,1,4,1,3,4,3,1,1,2,2,9,2,1,3,2,2
1610612749,Milwaukee Bucks,5,1,4,0.2,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,1.0,8.0,3.0,1.0,0.0,0.0,2.0,12,12,1,12,14,6,3,3,4,5,13,4,3,7,4,12,4,4,2,11,3,2,9
1610612750,Minnesota Timberwolves,5,1,4,0.2,6.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,9.0,0.0,3.0,1.0,2.0,1.0,0.0,3.0,12,12,1,12,9,6,3,3,4,5,12,4,3,1,4,13,7,12,8,7,1,2,6
