close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fg2m,fg2a,fg2_pct,ns_fg2_pct,plusminus
202355,Hassan Whiteside,1610612748,MIA,C,28.0,77,77,0.87,5.39,11.29,0.478,0.518,-0.041
1626159,Justise Winslow,1610612748,MIA,F,21.0,18,18,0.746,5.22,9.78,0.534,0.501,0.033
201949,James Johnson,1610612748,MIA,F,30.0,76,76,0.674,3.07,7.25,0.423,0.501,-0.079
203079,Dion Waiters,1610612748,MIA,G,25.0,46,46,0.679,3.3,7.13,0.463,0.495,-0.032
1626196,Josh Richardson,1610612748,MIA,G,23.0,53,53,0.688,2.92,6.85,0.427,0.483,-0.056
201609,Goran Dragic,1610612748,MIA,G,31.0,73,73,0.704,3.33,6.79,0.49,0.487,0.003
204020,Tyler Johnson,1610612748,MIA,G,25.0,73,73,0.677,3.23,6.77,0.478,0.481,-0.003
203585,Rodney McGruder,1610612748,MIA,G,25.0,77,76,0.679,3.1,5.58,0.556,0.5,0.056
201177,Josh McRoberts,1610612748,MIA,F,30.0,22,22,0.793,3.09,5.23,0.591,0.508,0.083
202337,Luke Babbitt,1610612748,MIA,F,28.0,65,65,0.78,2.69,5.23,0.515,0.506,0.009
203186,Willie Reed,1610612748,MIA,F-C,27.0,70,70,0.847,2.53,5.0,0.506,0.512,-0.006
201961,Wayne Ellington,1610612748,MIA,G,29.0,62,61,0.626,2.18,4.29,0.508,0.492,0.015
1627855,Okaro White,1610612748,MIA,F,24.0,32,31,0.721,2.16,4.13,0.523,0.495,0.027
2617,Udonis Haslem,1610612748,MIA,F,37.0,14,14,0.909,1.71,2.86,0.6,0.505,0.095
