GAME_ID,GAME_DATE,AWAY_TEAM,HOME_TEAM,ROUND,GAME_NO_IN_SERIES
41800151,2019-04-13,SAS,DEN,RND1,1
41800152,2019-04-16,SAS,DEN,RND1,2
41800153,2019-04-18,DEN,SAS,RND1,3
41800154,2019-04-20,DEN,SAS,RND1,4
41800155,2019-04-23,SAS,DEN,RND1,5
41800156,2019-04-25,DEN,SAS,RND1,6
41800157,2019-04-27,SAS,DEN,RND1,7
41800231,2019-04-29,POR,DEN,SF,1
41800232,2019-05-01,POR,DEN,SF,2
41800233,2019-05-03,DEN,POR,SF,3
41800234,2019-05-05,DEN,POR,SF,4
41800235,2019-05-07,POR,DEN,SF,5
41800236,2019-05-09,DEN,POR,SF,6
41800237,2019-05-12,POR,DEN,SF,7
