player,team,number,position,height,weight,last_attended,country,profile_url,is_active,is_free_agent,is_retired,headshot_url,birthdate,experience,legacy,draft_year,draft_round,draft_pick,draft_status,player_id
Deni Avdija,POR,8,Forward,81.0,240.0,Maccabi Tel Aviv,Israel,https://www.nba.com/player/1630166/deni-avdija,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,4.0,False,2020.0,1.0,9.0,Drafted,avdijde01
Deandre Ayton,POR,2,Center,84.0,252.0,Arizona,Bahamas,https://www.nba.com/player/1629028/deandre-ayton,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,6.0,False,2018.0,1.0,1.0,Drafted,aytonde01
Dalano Banton,POR,5,Forward,80.0,203.0,Nebraska,Canada,https://www.nba.com/player/1630625/dalano-banton,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,3.0,False,2021.0,2.0,46.0,Drafted,bantoda01
Toumani Camara,POR,33,Forward,79.0,229.0,Dayton,Belgium,https://www.nba.com/player/1641739/toumani-camara,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,1.0,False,2023.0,2.0,52.0,Drafted,camarto01
Sidy Cissoko,POR,25,Guard,78.0,200.0,NBA G League Ignite,France,https://www.nba.com/player/1631321/sidy-cissoko,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,1.0,False,2023.0,2.0,44.0,Drafted,cissosi01
Donovan Clingan,POR,23,Center,86.0,280.0,Connecticut,USA,https://www.nba.com/player/1642270/donovan-clingan,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,,False,2024.0,1.0,7.0,Drafted,clingdo01
Jerami Grant,POR,9,Forward,79.0,210.0,Syracuse,USA,https://www.nba.com/player/203924/jerami-grant,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,10.0,False,2014.0,2.0,39.0,Drafted,grantje01
Scoot Henderson,POR,00,Guard,75.0,206.0,NBA G League Ignite,USA,https://www.nba.com/player/1630703/scoot-henderson,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,1.0,False,2023.0,1.0,3.0,Drafted,hendesc01
Bryce McGowens,POR,11,Guard,78.0,190.0,Nebraska,USA,https://www.nba.com/player/1631121/bryce-mcgowens,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,2.0,False,2022.0,2.0,40.0,Drafted,mcgowbr01
Justin Minaya,POR,10,Forward,77.0,205.0,Providence,USA,https://www.nba.com/player/1631303/justin-minaya,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,2.0,False,0.0,0.0,0.0,UDF,minayju01
