group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,team
Players,1629684,Grant Williams,Grant,1610612738,BOS,21.0,18,9,9,0.5,24.901666666666667,2,0,0,4,5,4,6,20,1,0,7,3,14.9,178,157,279,177,255,141,223,157,169,161,154,247,202,107,1,308,184,258,BOS
Players,202330,Gordon Hayward,Gordon,1610612738,BOS,30.0,26,15,11,0.577,94.75333333333332,9,7,4,12,27,33,8,68,3,1,5,9,89.6,98,62,320,144,74,34,46,46,91,380,402,286,353,39,253,257,81,72,BOS
Players,1629641,Romeo Langford,Romeo,1610612738,BOS,20.0,3,3,0,1.0,2.683333333333333,0,0,0,0,4,0,2,4,0,0,0,1,6.2,364,284,1,1,402,210,223,157,296,144,1,135,73,181,1,1,262,323,BOS
Players,203935,Marcus Smart,Marcus,1610612738,BOS,26.0,34,19,15,0.559,112.94333333333331,4,0,2,18,35,39,13,78,2,3,22,12,115.8,24,26,387,149,42,90,223,88,62,425,429,366,377,58,404,454,57,38,BOS
Players,202683,Enes Freedom,Enes,1610612738,BOS,28.0,13,7,6,0.538,10.846666666666666,0,0,0,4,2,0,2,10,0,0,2,1,14.7,215,198,208,162,316,210,223,157,169,89,1,135,136,181,1,156,262,260,BOS
Players,1628400,Semi Ojeleye,Semi,1610612738,BOS,25.0,7,3,4,0.429,13.965,3,1,0,0,6,9,0,12,0,0,0,2,6.4,299,284,148,262,295,113,208,157,296,178,234,1,153,181,1,1,220,322,BOS
Players,1628464,Daniel Theis,Daniel,1610612738,BOS,28.0,30,15,15,0.5,96.70333333333332,0,4,2,20,36,41,7,68,5,5,21,7,77.9,56,62,387,177,72,210,105,88,55,427,433,271,353,12,439,450,104,86,BOS
Players,1629682,Tremont Waters,Tremont,1610612738,BOS,22.0,4,1,3,0.25,5.073333333333333,0,0,0,0,2,2,0,4,0,0,1,0,0.0,344,358,117,383,367,210,223,157,296,89,88,1,73,181,1,95,319,406,BOS
Players,1629035,Carsen Edwards,Carsen,1610612738,BOS,22.0,3,0,3,0.0,3.653333333333333,0,0,0,0,6,4,0,4,0,0,1,1,3.0,364,415,117,415,381,210,223,157,296,178,154,1,73,181,1,95,262,366,BOS
Players,202954,Brad Wanamaker,Brad,1610612738,BOS,30.0,14,7,7,0.5,20.821666666666665,0,0,0,4,9,12,0,16,0,1,1,3,12.6,211,198,232,177,269,210,223,157,169,220,266,1,176,181,253,95,184,271,BOS
Players,1628369,Jayson Tatum,Jayson,1610612738,BOS,22.0,38,21,17,0.553,133.49,7,11,5,40,34,46,15,92,4,1,13,21,168.3,7,15,410,159,14,52,19,38,13,422,443,385,410,22,253,412,23,9,BOS
Players,202689,Kemba Walker,Kemba,1610612738,BOS,30.0,27,15,12,0.556,84.00666666666666,7,3,0,6,19,27,9,54,0,2,4,16,99.4,84,62,341,150,98,52,127,157,138,323,369,307,312,181,353,226,39,61,BOS
Players,1627759,Jaylen Brown,Jaylen,1610612738,BOS,23.0,30,16,14,0.533,97.595,2,3,8,12,27,31,13,62,1,2,9,9,83.6,56,49,367,164,71,141,127,19,91,380,393,366,334,107,353,353,81,80,BOS
Players,1629750,Javonte Green,Javonte,1610612738,BOS,26.0,5,1,4,0.2,6.948333333333333,0,0,0,0,6,6,0,12,0,0,2,0,0.4,331,358,148,401,351,210,223,157,296,178,183,1,153,181,1,156,319,404,BOS
Players,1629738,Vincent Poirier,Vincent,1610612738,BOS,26.0,3,1,2,0.333,3.335,0,0,0,0,2,2,0,2,1,0,1,0,4.2,364,358,82,331,387,210,223,157,296,89,88,1,39,107,1,95,319,351,BOS
Players,1629057,Robert Williams III,Robert,1610612738,BOS,22.0,5,1,4,0.2,9.613333333333332,0,3,0,4,5,4,0,4,0,0,5,2,8.4,331,358,148,401,325,210,127,157,169,161,154,1,73,181,1,257,220,305,BOS
