season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,available_flag,season_start,season_end,is_home,home,away,MON
2023-24,1610612759,SAS,San Antonio Spurs,22301197,2024-04-14,SAS vs. DET,W,48.0,0.626,0.374,0.553,0.033,0.366,0.211,0.081,0.171,0.52,0.588,0.412,0.867,0.133,0.673,0.327,0,0,0,0,119,957,1497,804,2098,886,166,2260,726,395,807,1639,1155,1256,821,1627,1,2023,2024,True,SAS,DET,APR
2023-24,1610612759,SAS,San Antonio Spurs,22301180,2024-04-12,SAS vs. DEN,W,48.0,0.612,0.388,0.496,0.033,0.372,0.174,0.132,0.091,0.463,0.6,0.4,0.867,0.133,0.689,0.311,0,0,0,0,119,1156,1301,1428,2079,819,446,1523,2079,952,689,1712,1155,1256,648,1803,1,2023,2024,True,SAS,DEN,APR
2023-24,1610612759,SAS,San Antonio Spurs,22301163,2024-04-10,SAS @ OKC,L,48.0,0.583,0.417,0.517,0.022,0.303,0.067,0.18,0.045,0.494,0.652,0.348,1.0,0.0,0.75,0.25,0,0,0,0,119,1524,924,1202,2176,1567,2143,635,2413,632,378,2075,1,2028,230,2200,1,2023,2024,False,OKC,SAS,APR
2023-24,1610612759,SAS,San Antonio Spurs,22301151,2024-04-09,SAS @ MEM,W,48.0,0.54,0.46,0.627,0.059,0.294,0.118,0.078,0.039,0.569,0.625,0.375,1.0,0.0,0.714,0.286,0,0,0,0,119,2032,423,212,1444,1678,1298,2285,2430,149,525,1902,1,2028,444,1990,1,2023,2024,False,MEM,SAS,APR
2023-24,1610612759,SAS,San Antonio Spurs,22301140,2024-04-07,SAS vs. PHI,L,58.0,0.551,0.449,0.444,0.032,0.381,0.167,0.175,0.127,0.413,0.536,0.464,1.0,0.0,0.705,0.295,0,0,0,0,1,1924,533,1975,2128,741,523,710,1498,1573,1267,1174,1,2028,524,1926,1,2023,2024,True,SAS,PHI,APR
2023-24,1610612759,SAS,San Antonio Spurs,22301123,2024-04-05,SAS @ NOP,W,48.0,0.446,0.554,0.45,0.0,0.459,0.126,0.09,0.153,0.45,0.8,0.2,0.824,0.176,0.81,0.19,0,0,0,0,119,2427,33,1924,2381,193,1128,2176,994,1100,27,2433,1492,945,55,2404,1,2023,2024,False,NOP,SAS,APR
2023-24,1610612759,SAS,San Antonio Spurs,22301099,2024-04-02,SAS @ DEN,L,48.0,0.581,0.419,0.552,0.038,0.371,0.21,0.076,0.114,0.514,0.69,0.31,1.0,0.0,0.786,0.214,0,0,0,0,119,1570,891,806,1897,833,177,2309,1722,454,221,2231,1,2028,107,2347,1,2023,2024,False,DEN,SAS,APR
2023-24,1610612759,SAS,San Antonio Spurs,22301085,2024-03-31,SAS vs. GSW,L,48.0,0.517,0.483,0.407,0.0,0.451,0.168,0.142,0.15,0.407,0.696,0.304,0.882,0.118,0.775,0.225,0,0,0,0,119,2202,255,2242,2381,228,515,1330,1043,1635,194,2261,1061,1381,134,2322,1,2023,2024,True,SAS,GSW,MAR
2023-24,1610612759,SAS,San Antonio Spurs,22301070,2024-03-29,SAS vs. NYK,W,53.0,0.512,0.488,0.431,0.077,0.369,0.169,0.2,0.123,0.354,0.679,0.321,0.938,0.063,0.773,0.227,0,0,0,0,17,2226,230,2112,1017,850,501,366,1571,2130,257,2198,497,1921,143,2312,1,2023,2024,True,SAS,NYK,MAR
2023-24,1610612759,SAS,San Antonio Spurs,22301058,2024-03-27,SAS @ UTA,W,48.0,0.616,0.384,0.475,0.051,0.407,0.195,0.119,0.178,0.424,0.857,0.143,1.0,0.0,0.909,0.091,0,0,0,0,119,1095,1360,1671,1638,512,266,1778,635,1423,4,2455,1,2028,2,2459,1,2023,2024,False,UTA,SAS,MAR
2023-24,1610612759,SAS,San Antonio Spurs,22301039,2024-03-25,SAS vs. PHX,W,48.0,0.659,0.341,0.615,0.115,0.231,0.154,0.154,0.163,0.5,0.563,0.438,0.625,0.375,0.575,0.425,0,0,0,0,119,525,1931,264,380,2181,688,1087,826,541,1028,1408,2337,99,1803,643,1,2023,2024,True,SAS,PHX,MAR
2023-24,1610612759,SAS,San Antonio Spurs,22301025,2024-03-23,SAS vs. PHX,L,48.0,0.612,0.388,0.585,0.057,0.255,0.179,0.16,0.113,0.528,0.613,0.387,0.889,0.111,0.675,0.325,0,0,0,0,119,1156,1301,469,1494,2036,392,967,1736,337,623,1822,983,1401,768,1677,1,2023,2024,True,SAS,PHX,MAR
2023-24,1610612759,SAS,San Antonio Spurs,22301015,2024-03-22,SAS vs. MEM,L,48.0,0.6,0.4,0.619,0.082,0.216,0.247,0.165,0.186,0.536,0.6,0.4,0.857,0.143,0.649,0.351,0,0,0,0,119,1299,1132,252,908,2250,49,898,534,298,689,1712,1208,1159,1075,1374,1,2023,2024,True,SAS,MEM,MAR
2023-24,1610612759,SAS,San Antonio Spurs,22300994,2024-03-19,SAS vs. DAL,L,48.0,0.562,0.438,0.467,0.075,0.393,0.131,0.14,0.093,0.393,0.68,0.32,1.0,0.0,0.795,0.205,0,0,0,0,119,1801,657,1746,1074,622,1044,1360,2045,1795,250,2205,1,2028,82,2372,1,2023,2024,True,SAS,DAL,MAR
2023-24,1610612759,SAS,San Antonio Spurs,22300981,2024-03-17,SAS vs. BKN,W,53.0,0.626,0.374,0.607,0.115,0.221,0.09,0.172,0.082,0.492,0.595,0.405,0.889,0.111,0.652,0.348,0,0,0,0,17,965,1492,315,392,2235,1810,754,2187,645,750,1709,983,1401,1027,1418,1,2023,2024,True,SAS,BKN,MAR
2023-24,1610612759,SAS,San Antonio Spurs,22300965,2024-03-15,SAS vs. DEN,L,48.0,0.642,0.358,0.491,0.075,0.311,0.142,0.198,0.142,0.415,0.462,0.538,1.0,0.0,0.622,0.378,0,0,0,0,119,752,1704,1513,1061,1472,855,401,1209,1546,1854,577,1,2028,1364,1078,1,2023,2024,True,SAS,DEN,MAR
2023-24,1610612759,SAS,San Antonio Spurs,22300942,2024-03-12,SAS vs. HOU,L,48.0,0.561,0.439,0.554,0.04,0.327,0.089,0.119,0.059,0.515,0.679,0.321,1.0,0.0,0.769,0.231,0,0,0,0,119,1809,643,790,1863,1306,1836,1775,2361,448,257,2198,1,2028,157,2300,1,2023,2024,True,SAS,HOU,MAR
2023-24,1610612759,SAS,San Antonio Spurs,22300936,2024-03-11,SAS vs. GSW,L,48.0,0.602,0.398,0.49,0.02,0.412,0.098,0.098,0.088,0.471,0.52,0.48,1.0,0.0,0.692,0.308,0,0,0,0,119,1290,1164,1520,2210,467,1662,2095,2120,869,1387,1054,1,2028,611,1832,1,2023,2024,True,SAS,GSW,MAR
2023-24,1610612759,SAS,San Antonio Spurs,22300921,2024-03-09,SAS @ GSW,W,48.0,0.616,0.384,0.429,0.048,0.405,0.095,0.167,0.143,0.381,0.63,0.37,1.0,0.0,0.773,0.227,0,0,0,0,119,1095,1360,2122,1733,528,1712,838,1166,1907,501,1944,1,2028,143,2312,1,2023,2024,False,GSW,SAS,MAR
2023-24,1610612759,SAS,San Antonio Spurs,22300908,2024-03-07,SAS @ SAC,L,48.0,0.637,0.363,0.465,0.062,0.372,0.07,0.163,0.209,0.403,0.767,0.233,1.0,0.0,0.848,0.152,0,0,0,0,119,809,1645,1774,1373,814,2112,927,307,1688,51,2408,1,2028,20,2441,1,2023,2024,False,SAC,SAS,MAR
2023-24,1610612759,SAS,San Antonio Spurs,22300891,2024-03-05,SAS @ HOU,L,48.0,0.586,0.414,0.515,0.079,0.356,0.139,0.129,0.089,0.436,0.5,0.5,0.917,0.083,0.632,0.368,0,0,0,0,119,1485,963,1224,973,972,899,1598,2111,1279,1520,805,714,1665,1227,1210,1,2023,2024,False,HOU,SAS,MAR
2023-24,1610612759,SAS,San Antonio Spurs,22300877,2024-03-03,SAS vs. IND,W,48.0,0.706,0.294,0.615,0.051,0.256,0.111,0.128,0.145,0.564,0.694,0.306,0.8,0.2,0.717,0.283,0,0,0,0,119,152,2303,264,1629,2023,1424,1604,1128,160,201,2258,1631,724,435,2020,1,2023,2024,True,SAS,IND,MAR
2023-24,1610612759,SAS,San Antonio Spurs,22300853,2024-02-29,SAS vs. OKC,W,48.0,0.571,0.429,0.439,0.061,0.432,0.076,0.129,0.098,0.379,0.69,0.31,1.0,0.0,0.813,0.188,0,0,0,0,119,1687,755,2031,1401,331,2023,1594,1979,1929,221,2231,1,2028,52,2409,1,2023,2024,True,SAS,OKC,FEB
2023-24,1610612759,SAS,San Antonio Spurs,22300838,2024-02-27,SAS @ MIN,L,48.0,0.5,0.5,0.438,0.019,0.457,0.2,0.105,0.105,0.419,0.565,0.435,0.938,0.063,0.718,0.282,0,0,0,0,119,2296,143,2045,2222,198,228,2006,1876,1491,1004,1437,497,1921,424,2027,1,2023,2024,False,MIN,SAS,FEB
2023-24,1610612759,SAS,San Antonio Spurs,22300825,2024-02-25,SAS @ UTA,L,48.0,0.659,0.341,0.532,0.092,0.358,0.147,0.11,0.128,0.44,0.759,0.241,0.923,0.077,0.81,0.19,0,0,0,0,119,525,1931,1030,730,955,777,1923,1466,1219,57,2401,644,1749,55,2404,1,2023,2024,False,UTA,SAS,FEB
2023-24,1610612759,SAS,San Antonio Spurs,22300813,2024-02-23,SAS @ LAL,L,48.0,0.604,0.396,0.458,0.034,0.381,0.127,0.161,0.11,0.424,0.704,0.296,0.933,0.067,0.786,0.214,0,0,0,0,119,1259,1199,1847,2051,735,1110,956,1785,1423,168,2288,541,1877,107,2347,1,2023,2024,False,LAL,SAS,FEB
