close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fg2m,fg2a,fg2_pct,ns_fg2_pct,plusminus
204001,Kristaps Porziņģis,1610612764,WAS,F-C,26.0,51,51,0.704,5.31,10.24,0.519,0.546,-0.027
1629655,Daniel Gafford,1610612764,WAS,F-C,23.0,72,72,0.794,4.9,9.54,0.514,0.539,-0.026
1628398,Kyle Kuzma,1610612764,WAS,F,26.0,66,66,0.747,4.38,9.21,0.475,0.526,-0.05
1630166,Deni Avdija,1610612764,WAS,F,21.0,81,81,0.672,4.06,8.28,0.49,0.527,-0.037
203078,Bradley Beal,1610612764,WAS,G,29.0,40,40,0.575,3.78,6.98,0.541,0.533,0.008
1628418,Thomas Bryant,1610612764,WAS,C-F,24.0,27,26,0.744,3.67,6.78,0.541,0.545,-0.004
203484,Kentavious Caldwell-Pope,1610612764,WAS,G,29.0,77,77,0.651,3.31,6.16,0.538,0.528,0.01
203526,Raul Neto,1610612764,WAS,G,30.0,68,68,0.651,3.26,5.78,0.565,0.517,0.048
1630557,Corey Kispert,1610612764,WAS,F,23.0,75,74,0.667,2.85,5.37,0.531,0.518,0.013
1629060,Rui Hachimura,1610612764,WAS,F,24.0,42,42,0.602,2.71,5.0,0.543,0.541,0.002
1630176,Vernon Carey Jr.,1610612764,WAS,F-C,21.0,4,4,0.69,2.5,5.0,0.5,0.56,-0.06
202954,Brad Wanamaker,1610612764,WAS,G,32.0,22,22,0.651,2.0,3.73,0.537,0.512,0.024
202397,Ish Smith,1610612764,WAS,G,33.0,64,60,0.611,2.02,3.73,0.54,0.513,0.027
203107,Tomas Satoransky,1610612764,WAS,G,30.0,54,52,0.605,2.22,3.72,0.597,0.521,0.076
1630264,Anthony Gill,1610612764,WAS,F,29.0,37,33,0.554,1.11,2.62,0.423,0.525,-0.102
1630225,Isaiah Todd,1610612764,WAS,F,20.0,8,8,0.708,1.38,2.13,0.647,0.537,0.11
1630692,Jordan Goodwin,1610612764,WAS,G,23.0,1,1,0.5,1.0,2.0,0.5,0.506,-0.006
1629682,Tremont Waters,1610612764,WAS,G,24.0,3,1,0.462,1.33,2.0,0.667,0.495,0.172
1630216,Cassius Winston,1610612764,WAS,G,24.0,7,6,0.769,0.86,1.43,0.6,0.549,0.051
1630648,Jordan Schakel,1610612764,WAS,G,24.0,4,3,0.333,0.25,1.25,0.2,0.432,-0.232
1628591,Craig Sword,1610612764,WAS,G,28.0,1,1,0.333,0.0,1.0,0.0,0.5,-0.5
1630555,Joel Ayayi,1610612764,WAS,G,22.0,4,1,0.25,0.0,0.25,0.0,0.52,-0.52
