player_id,player,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm,fga,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,fgm_rank,fga_rank,fg_pct_rank,team
1627936,Alex Caruso,Alex,1610612747,LAL,27.0,6,2,4,0.333,20.1,0.553,0.447,0.514,0.0,0.429,0.057,0.057,0.114,0.514,0.778,0.222,1.0,0.0,0.857,0.143,14,38,0.368,100,115,95,131,103,136,94,101,124,78,132,164,114,69,41,167,1,82,42,169,116,109,167,LAL
1628035,Alfonzo McKinnie,Alfonzo,1610612747,LAL,28.0,2,0,2,0.0,5.8,0.333,0.667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,209,201,35,201,179,189,34,209,124,158,158,178,168,203,193,183,153,82,201,187,212,208,212,LAL
203083,Andre Drummond,Andre,1610612747,LAL,27.0,5,2,3,0.4,21.0,1.0,0.0,0.844,0.0,0.0,0.0,0.156,0.222,0.844,0.579,0.421,0.0,0.0,0.579,0.421,19,32,0.594,120,115,64,118,101,1,192,29,124,158,158,95,27,23,88,120,153,82,121,89,95,120,29,LAL
203076,Anthony Davis,Anthony,1610612747,LAL,28.0,5,2,3,0.4,28.8,0.823,0.177,0.529,0.115,0.069,0.092,0.402,0.195,0.414,0.696,0.304,1.0,0.0,0.72,0.28,25,62,0.403,120,115,64,118,68,49,181,92,57,154,91,15,39,94,57,152,1,82,80,132,81,77,147,LAL
203463,Ben McLemore,Ben,1610612747,LAL,28.0,4,1,3,0.25,8.9,0.333,0.667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,9,0.222,169,137,64,152,158,189,34,209,124,1,158,178,168,203,193,183,1,82,1,187,179,166,202,LAL
203471,Dennis Schröder,Dennis,1610612747,LAL,27.0,6,2,4,0.333,32.7,0.629,0.371,0.465,0.07,0.279,0.105,0.256,0.116,0.395,0.45,0.55,0.75,0.25,0.536,0.464,28,70,0.4,100,115,95,131,46,108,122,115,73,121,86,37,112,106,122,86,110,42,129,83,74,66,148,LAL
201162,Jared Dudley,Jared,1610612747,LAL,35.0,2,0,2,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,209,201,35,201,217,223,192,209,124,158,158,178,168,203,193,183,153,82,201,187,212,230,212,LAL
203484,Kentavious Caldwell-Pope,Kentavious,1610612747,LAL,28.0,5,2,3,0.4,29.1,0.345,0.655,0.452,0.065,0.387,0.194,0.161,0.194,0.387,0.429,0.571,1.0,0.0,0.636,0.364,11,29,0.379,120,115,64,118,65,187,43,118,79,88,31,87,40,109,127,81,1,82,108,104,130,127,163,LAL
1628398,Kyle Kuzma,Kyle,1610612747,LAL,25.0,6,2,4,0.333,21.6,0.521,0.479,0.526,0.053,0.316,0.026,0.158,0.0,0.474,0.6,0.4,1.0,0.0,0.714,0.286,14,48,0.292,100,115,95,131,99,140,90,94,89,113,153,92,168,78,79,124,1,82,81,129,116,89,191,LAL
2544,LeBron James,LeBron,1610612747,LAL,36.0,6,2,4,0.333,37.3,0.579,0.421,0.514,0.043,0.386,0.229,0.1,0.193,0.471,0.278,0.722,0.389,0.611,0.315,0.685,54,114,0.474,100,115,95,131,18,127,103,101,95,89,18,141,41,80,163,46,142,16,183,29,40,38,88,LAL
