season,team_id,team,team_name,game_id,game_date,matchup,wl,min,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,off_rating_rank,def_rating_rank,net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,efg_pct_rank,ts_pct_rank,pace_rank,pie_rank,available_flag,season_start,season_end,is_home,home,away,MON
2023-24,1610612749,MIL,Milwaukee Bucks,22301191,2024-04-14,MIL @ ORL,L,48.0,92.5,92.6,112.6,120.2,-20.1,-27.6,0.533,0.94,13.3,0.2,0.659,0.427,0.179,0.447,0.517,97.7,94.5,78.75,95,0.355,1,1231,1231,1231,119,2381,1685,2353,2115,2432,2401,2117,1950,2270,2127,2300,2097,2083,2353,1,2023,2024,False,ORL,MIL,APR
2023-24,1610612749,MIL,Milwaukee Bucks,22301179,2024-04-12,MIL @ OKC,L,48.0,105.2,107.0,125.3,123.8,-20.1,-16.8,0.643,1.42,19.6,0.256,0.791,0.523,0.19,0.559,0.59,100.8,100.5,83.75,100,0.427,1,1231,1231,1231,119,1818,1913,2130,1131,2022,1041,1514,414,816,2253,1043,1082,851,1990,1,2023,2024,False,OKC,MIL,APR
2023-24,1610612749,MIL,Milwaukee Bucks,22301162,2024-04-10,MIL vs. ORL,W,48.0,119.6,121.9,99.9,104.2,19.8,17.7,0.628,1.8,19.9,0.295,0.778,0.539,0.156,0.601,0.63,98.5,95.5,79.58,96,0.598,1,1,1,1,119,659,476,296,1281,1477,941,1025,528,541,1738,514,524,1903,293,1,2023,2024,True,MIL,ORL,APR
2023-24,1610612749,MIL,Milwaukee Bucks,22301148,2024-04-09,MIL vs. BOS,W,48.0,115.7,115.6,97.8,101.1,17.9,14.4,0.674,1.61,22.1,0.308,0.714,0.547,0.2,0.636,0.635,91.4,90.0,75.0,90,0.589,1,1,1,1,119,1146,327,413,785,1763,379,869,1278,424,2328,218,478,2413,341,1,2023,2024,True,MIL,BOS,APR
2023-24,1610612749,MIL,Milwaukee Bucks,22301139,2024-04-07,MIL vs. NYK,L,48.0,115.9,117.2,127.5,132.6,-11.6,-15.4,0.771,1.93,20.6,0.262,0.667,0.478,0.151,0.547,0.612,94.9,92.5,77.08,93,0.471,1,1231,1231,1231,119,1016,2300,2086,150,1281,707,1437,1834,1630,1623,1217,745,2301,1496,1,2023,2024,True,MIL,NYK,APR
2023-24,1610612749,MIL,Milwaukee Bucks,22301122,2024-04-05,MIL vs. TOR,L,48.0,106.5,105.7,113.8,113.6,-7.3,-7.9,0.512,1.62,14.9,0.278,0.778,0.505,0.124,0.5,0.538,103.5,104.0,86.67,105,0.442,1,1231,1231,1231,119,1903,1141,1706,2216,1750,2243,1248,528,1148,947,1870,1874,307,1837,1,2023,2024,True,MIL,TOR,APR
2023-24,1610612749,MIL,Milwaukee Bucks,22301107,2024-04-03,MIL vs. MEM,L,48.0,102.8,108.6,117.5,118.1,-14.7,-9.5,0.684,2.36,19.0,0.295,0.708,0.477,0.118,0.495,0.504,96.4,93.5,77.92,93,0.419,1,1231,1231,1231,119,1702,1511,1812,684,750,1217,1040,1361,1641,821,1930,2199,2197,2063,1,2023,2024,True,MIL,MEM,APR
2023-24,1610612749,MIL,Milwaukee Bucks,22301095,2024-04-02,MIL @ WAS,L,48.0,107.7,109.7,109.9,111.4,-2.2,-1.7,0.689,2.58,20.3,0.317,0.83,0.542,0.117,0.49,0.509,105.7,104.0,86.67,103,0.49,1,1231,1231,1231,119,1609,975,1291,648,554,817,762,131,500,777,1982,2158,307,1322,1,2023,2024,False,WAS,MIL,APR
2023-24,1610612749,MIL,Milwaukee Bucks,22301076,2024-03-30,MIL @ ATL,W,48.0,122.7,124.5,110.9,114.1,11.9,10.3,0.628,2.25,20.3,0.205,0.725,0.5,0.122,0.603,0.653,100.7,98.5,82.08,98,0.584,1,1,1,1,119,497,1191,604,1281,872,788,2074,1149,1191,903,502,294,1311,374,1,2023,2024,False,ATL,MIL,MAR
2023-24,1610612749,MIL,Milwaukee Bucks,22301061,2024-03-28,MIL @ NOP,L,48.0,100.6,103.1,104.9,108.1,-4.3,-5.0,0.553,1.5,16.8,0.146,0.733,0.472,0.144,0.549,0.553,100.7,98.0,81.67,97,0.438,1,1231,1231,1231,119,2043,710,1494,2000,1899,1853,2398,1071,1731,1478,1195,1662,1455,1893,1,2023,2024,False,NOP,MIL,MAR
2023-24,1610612749,MIL,Milwaukee Bucks,22301045,2024-03-26,MIL vs. LAL,L,58.0,98.8,100.0,103.2,104.1,-4.3,-4.1,0.755,2.64,20.6,0.257,0.701,0.468,0.113,0.475,0.49,103.3,102.21,85.17,124,0.459,1,1231,1231,1231,1,2180,464,1423,225,516,726,1506,1467,1808,694,2132,2283,583,1620,1,2023,2024,True,MIL,LAL,MAR
2023-24,1610612749,MIL,Milwaukee Bucks,22301030,2024-03-24,MIL vs. OKC,W,48.0,117.8,121.6,92.4,93.0,25.4,28.6,0.673,1.94,22.6,0.356,0.741,0.573,0.175,0.592,0.601,100.4,98.5,82.08,97,0.654,1,1,1,1,119,673,88,92,821,1259,289,373,962,192,2088,599,908,1311,80,1,2023,2024,True,MIL,OKC,MAR
2023-24,1610612749,MIL,Milwaukee Bucks,22301007,2024-03-21,MIL vs. BKN,W,48.0,119.0,119.8,110.2,112.5,8.9,7.3,0.628,2.7,20.0,0.245,0.627,0.44,0.104,0.56,0.589,97.3,96.0,80.0,96,0.501,1,1,1,1,119,810,1059,789,1281,489,868,1648,2189,2150,484,1013,1089,1823,1223,1,2023,2024,True,MIL,BKN,MAR
2023-24,1610612749,MIL,Milwaukee Bucks,22300998,2024-03-20,MIL @ BOS,L,48.0,123.8,124.0,127.4,128.4,-3.6,-4.5,0.444,1.33,15.6,0.3,0.714,0.528,0.156,0.637,0.66,96.0,95.5,79.58,96,0.477,1,1231,1231,1231,119,526,2171,1452,2414,2122,2150,972,1278,719,1738,208,252,1903,1436,1,2023,2024,False,BOS,MIL,MAR
2023-24,1610612749,MIL,Milwaukee Bucks,22300976,2024-03-17,MIL vs. PHX,W,48.0,138.4,137.3,128.2,127.7,10.2,9.5,0.686,3.18,23.8,0.233,0.778,0.481,0.108,0.67,0.699,100.9,101.5,84.58,102,0.515,1,1,1,1,119,73,2137,646,669,263,145,1816,528,1569,567,91,76,657,1097,1,2023,2024,True,MIL,PHX,MAR
2023-24,1610612749,MIL,Milwaukee Bucks,22300958,2024-03-14,MIL vs. PHI,W,48.0,124.5,126.7,113.9,118.0,10.6,8.7,0.744,1.93,22.7,0.294,0.8,0.568,0.167,0.653,0.69,91.9,89.5,74.58,90,0.583,1,1,1,1,119,373,1499,701,276,1272,286,1044,304,234,1937,142,95,2421,378,1,2023,2024,True,MIL,PHI,MAR
2023-24,1610612749,MIL,Milwaukee Bucks,22300945,2024-03-12,MIL @ SAC,L,48.0,93.6,93.1,126.4,127.7,-32.8,-34.7,0.767,1.77,17.0,0.193,0.822,0.471,0.129,0.409,0.483,101.2,101.0,84.17,101,0.328,1,1231,1231,1231,119,2369,2137,2416,169,1529,1791,2195,172,1759,1043,2424,2328,739,2412,1,2023,2024,False,SAC,MIL,MAR
2023-24,1610612749,MIL,Milwaukee Bucks,22300924,2024-03-10,MIL @ LAC,W,48.0,125.4,126.5,115.4,119.4,10.0,7.1,0.651,4.0,20.6,0.208,0.632,0.438,0.071,0.592,0.627,100.1,98.0,81.67,98,0.54,1,1,1,1,119,379,1622,801,1044,83,712,2048,2170,2171,77,605,559,1455,852,1,2023,2024,False,LAC,MIL,MAR
