season,team_id,game_id,game_date,away_team,home_team,opponent,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2016-17,1610612761,41600121,2017-04-15,MIL,TOR,MIL,1610612749,83,97,L,-14,rnd1,1
2016-17,1610612761,41600122,2017-04-18,MIL,TOR,MIL,1610612749,106,100,W,6,rnd1,2
2016-17,1610612761,41600123,2017-04-20,TOR,MIL,MIL,1610612749,77,104,L,-27,rnd1,3
2016-17,1610612761,41600124,2017-04-22,TOR,MIL,MIL,1610612749,87,76,W,11,rnd1,4
2016-17,1610612761,41600125,2017-04-24,MIL,TOR,MIL,1610612749,118,93,W,25,rnd1,5
2016-17,1610612761,41600126,2017-04-27,TOR,MIL,MIL,1610612749,92,89,W,3,rnd1,6
2016-17,1610612761,41600211,2017-05-01,TOR,CLE,CLE,1610612739,105,116,L,-11,sf,1
2016-17,1610612761,41600212,2017-05-03,TOR,CLE,CLE,1610612739,103,125,L,-22,sf,2
2016-17,1610612761,41600213,2017-05-05,CLE,TOR,CLE,1610612739,94,115,L,-21,sf,3
2016-17,1610612761,41600214,2017-05-07,CLE,TOR,CLE,1610612739,102,109,L,-7,sf,4
