season,player_id,player_name,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,e_off_rating,off_rating,sp_work_off_rating,e_def_rating,def_rating,sp_work_def_rating,e_net_rating,net_rating,sp_work_net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,e_usg_pct,e_pace,pace,pace_per40,sp_work_pace,pie,poss,fgm,fga,fgm_pg,fga_pg,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,e_off_rating_rank,off_rating_rank,sp_work_off_rating_rank,e_def_rating_rank,def_rating_rank,sp_work_def_rating_rank,e_net_rating_rank,net_rating_rank,sp_work_net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,e_tov_pct_rank,efg_pct_rank,ts_pct_rank,usg_pct_rank,e_usg_pct_rank,e_pace_rank,pace_rank,sp_work_pace_rank,pie_rank,fgm_rank,fga_rank,fgm_pg_rank,fga_pg_rank,fg_pct_rank,available_flag,min_sec,season_start,season_end
2024-25,1628978,Donte DiVincenzo,Donte,1610612750,MIN,Minnesota Timberwolves,22401195,2025-04-13T00:00:00,MIN vs. UTA,W,28.3,141.1,144.6,144.6,130.7,128.1,128.1,10.4,16.6,16.6,0.077,2.0,15.4,0.037,0.08,0.058,7.7,7.7,0.8,0.8,0.164,0.166,96.03,95.83,79.86,95.83,0.083,56,6,10,6.0,10.0,0.6,1,1,1,1,9299,1605,1113,1113,22070,21138,21138,8683,6615,6615,16451,4467,13268,10847,16879,16656,13223,13351,3300,3525,14810,15253,20726,20921,20921,14166,5250,8304,5250,8304,5394,1,28:18,2024,2025
2024-25,1641740,Jaylen Clark,Jaylen,1610612750,MIN,Minnesota Timberwolves,22401195,2025-04-13T00:00:00,MIN vs. UTA,W,2.7,133.3,133.3,133.3,183.3,183.3,183.3,-50.0,-50.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.167,106.67,106.67,88.89,106.67,-0.043,6,0,1,0.0,1.0,0.0,1,1,1,1,25126,3069,2966,2966,26042,26090,26090,24730,24644,24650,19908,13976,19908,14058,22137,23286,1,1,22635,23200,17374,15065,5399,5224,5195,24873,22635,23259,22635,23259,22635,1,2:42,2024,2025
2024-25,203497,Rudy Gobert,Rudy,1610612750,MIN,Minnesota Timberwolves,22401195,2025-04-13T00:00:00,MIN vs. UTA,W,38.5,102.3,106.4,106.4,95.6,96.3,96.3,6.6,10.2,10.2,0.0,0.0,0.0,0.167,0.222,0.194,0.0,0.0,0.5,0.522,0.188,0.187,100.87,98.58,82.15,98.58,0.168,78,8,16,8.0,16.0,0.5,1,1,1,1,1124,17589,15651,15651,5290,5407,5407,10110,8808,8808,19908,13976,19908,1214,4234,1904,1,1,12416,14172,11644,12444,13911,17069,17069,4053,2561,2836,2561,2836,8526,1,38:28,2024,2025
2024-25,203944,Julius Randle,Julius,1610612750,MIN,Minnesota Timberwolves,22401195,2025-04-13T00:00:00,MIN vs. UTA,W,33.0,109.5,113.4,113.4,101.0,101.5,101.5,8.5,12.0,12.0,0.2,1.25,25.0,0.083,0.194,0.139,20.0,20.0,0.455,0.455,0.188,0.187,100.26,98.28,81.9,98.28,0.09,67,5,11,5.0,11.0,0.455,1,1,1,1,5178,13819,11761,11761,7581,7777,7777,9382,8161,8161,7318,8198,6510,4928,5967,4933,22340,22461,15883,17499,11644,12516,14884,17468,17468,13152,7242,7071,7242,7071,12676,1,32:58,2024,2025
2024-25,201144,Mike Conley,Mike,1610612750,MIN,Minnesota Timberwolves,22401195,2025-04-13T00:00:00,MIN vs. UTA,W,15.0,91.6,96.8,96.8,87.4,87.1,87.1,4.1,9.7,9.7,0.154,0.0,40.0,0.0,0.105,0.053,0.0,0.0,0.0,0.0,0.079,0.077,102.05,99.42,82.85,99.42,0.0,31,0,3,0.0,3.0,0.0,1,1,1,1,19587,21833,20186,20186,2969,2959,2959,11102,8971,8977,10427,13976,1850,14058,13916,17507,1,1,22635,23200,23717,23957,11949,15716,15716,22513,22635,19992,22635,19992,22635,1,14:58,2024,2025
2024-25,1629675,Naz Reid,Naz,1610612750,MIN,Minnesota Timberwolves,22401195,2025-04-13T00:00:00,MIN vs. UTA,W,24.6,141.7,146.0,146.0,131.0,125.5,125.5,10.7,20.5,20.5,0.083,2.0,15.4,0.125,0.238,0.178,7.7,7.4,0.5,0.527,0.186,0.195,98.05,98.67,82.23,98.67,0.086,50,5,10,5.0,10.0,0.5,1,1,1,1,12410,1511,1008,1008,22170,20177,20177,8581,5478,5478,15872,4467,13268,2416,3633,2543,13223,13187,12416,14051,11832,11452,18237,16921,16921,13771,7242,8304,7242,8304,8526,1,24:34,2024,2025
2024-25,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,22401195,2025-04-13T00:00:00,MIN vs. UTA,W,32.7,118.9,122.4,122.4,112.6,111.8,111.8,6.4,10.6,10.6,0.241,7.0,41.2,0.0,0.156,0.074,5.9,5.7,0.444,0.477,0.127,0.131,100.27,99.18,82.65,99.18,0.102,67,3,9,3.0,9.0,0.333,1,1,1,1,5424,8674,7051,7051,13672,13027,13027,10222,8640,8640,5728,287,1794,14058,8724,13571,11562,11568,16194,16853,19572,19541,14874,16075,16077,11470,12449,9700,12449,9700,17395,1,32:40,2024,2025
2024-25,1630183,Jaden McDaniels,Jaden,1610612750,MIN,Minnesota Timberwolves,22401195,2025-04-13T00:00:00,MIN vs. UTA,W,25.1,88.9,92.2,92.2,91.7,92.3,92.3,-2.8,-0.2,-0.2,0.0,0.0,0.0,0.059,0.0,0.031,33.3,33.7,0.571,0.508,0.188,0.186,100.48,98.42,82.02,98.42,0.0,51,4,7,4.0,7.0,0.571,1,1,1,1,11895,22527,21619,21619,4042,4140,4140,14066,13227,13227,19908,13976,19908,7509,22137,21233,25003,25403,10435,14782,11644,12586,14531,17277,17277,22513,9611,12910,9611,12910,6538,1,25:07,2024,2025
2024-25,1630162,Anthony Edwards,Anthony,1610612750,MIN,Minnesota Timberwolves,22401195,2025-04-13T00:00:00,MIN vs. UTA,W,40.3,117.4,122.0,122.0,95.3,95.2,95.2,22.1,26.7,26.7,0.2,2.5,12.5,0.0,0.133,0.067,5.0,4.9,0.597,0.631,0.357,0.364,100.84,98.98,82.48,98.98,0.232,82,15,31,15.0,31.0,0.484,1,1,1,1,503,9448,7262,7262,5176,5053,5053,5107,3903,3903,7318,3837,15164,14058,10845,14712,10905,10913,9709,9419,688,779,13963,16357,16357,1217,82,30,82,30,11951,1,40:15,2024,2025
2024-25,1629675,Naz Reid,Naz,1610612750,MIN,Minnesota Timberwolves,22401179,2025-04-11T00:00:00,MIN vs. BKN,W,26.3,124.3,131.4,131.4,118.3,113.2,113.2,6.0,18.2,18.2,0.1,0.0,25.0,0.087,0.12,0.104,0.0,0.0,0.583,0.583,0.102,0.1,95.55,94.97,79.14,94.97,0.091,51,3,6,3.0,6.0,0.5,1,1,1,1,10915,6107,3591,3591,16909,13885,13885,10381,6165,6165,14413,13976,6510,4739,12344,8601,1,1,9973,11511,22095,22498,21299,21896,21896,13016,12449,14618,12449,14618,8526,1,26:17,2024,2025
