season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,round,game_no_in_series
2024-25,1610612739,42400101,2025-04-20,MIA,CLE,1610612748,121,100,W,rnd1,1
2024-25,1610612739,42400102,2025-04-23,MIA,CLE,1610612748,121,112,W,rnd1,2
2024-25,1610612739,42400103,2025-04-26,CLE,MIA,1610612748,124,87,W,rnd1,3
2024-25,1610612739,42400104,2025-04-28,CLE,MIA,1610612748,138,83,W,rnd1,4
2024-25,1610612739,42400201,2025-05-04,IND,CLE,1610612754,112,121,L,sf,1
2024-25,1610612739,42400202,2025-05-06,IND,CLE,1610612754,119,120,L,sf,2
2024-25,1610612739,42400203,2025-05-09,CLE,IND,1610612754,126,104,W,sf,3
2024-25,1610612739,42400204,2025-05-11,CLE,IND,1610612754,109,129,L,sf,4
2024-25,1610612739,42400205,2025-05-13,IND,CLE,1610612754,105,114,L,sf,5
