season,team_id,game_id,game_date,away_team,home_team,opponent_id,game_no,pf,opp_pf,wl,differential
2015-16,1610612764,21500004,2015-10-28,WAS,ORL,1610612753,1,88,87,W,1
2015-16,1610612764,21500027,2015-10-30,WAS,MIL,1610612749,2,118,113,W,5
2015-16,1610612764,21500034,2015-10-31,NYK,WAS,1610612752,3,110,117,L,-7
2015-16,1610612764,21500061,2015-11-04,SAS,WAS,1610612759,4,102,99,W,3
2015-16,1610612764,21500076,2015-11-06,WAS,BOS,1610612738,5,98,118,L,-20
2015-16,1610612764,21500086,2015-11-07,WAS,ATL,1610612737,6,99,114,L,-15
2015-16,1610612764,21500107,2015-11-10,OKC,WAS,1610612760,7,101,125,L,-24
2015-16,1610612764,21500139,2015-11-14,ORL,WAS,1610612753,8,108,99,W,9
2015-16,1610612764,21500158,2015-11-17,MIL,WAS,1610612749,9,115,86,W,29
2015-16,1610612764,21500192,2015-11-21,WAS,DET,1610612765,10,97,95,W,2
2015-16,1610612764,21500209,2015-11-24,IND,WAS,1610612754,11,106,123,L,-17
2015-16,1610612764,21500215,2015-11-25,WAS,CHA,1610612766,12,87,101,L,-14
2015-16,1610612764,21500229,2015-11-27,WAS,BOS,1610612738,13,78,111,L,-33
2015-16,1610612764,21500239,2015-11-28,TOR,WAS,1610612761,14,82,84,L,-2
2015-16,1610612764,21500262,2015-12-01,WAS,CLE,1610612739,15,97,85,W,12
2015-16,1610612764,21500269,2015-12-02,LAL,WAS,1610612747,16,104,108,L,-4
2015-16,1610612764,21500284,2015-12-04,PHX,WAS,1610612756,17,109,106,W,3
2015-16,1610612764,21500302,2015-12-06,DAL,WAS,1610612742,18,104,116,L,-12
2015-16,1610612764,21500306,2015-12-07,WAS,MIA,1610612748,19,114,103,W,11
2015-16,1610612764,21500321,2015-12-09,HOU,WAS,1610612745,20,103,109,L,-6
2015-16,1610612764,21500339,2015-12-11,WAS,NOP,1610612740,21,105,107,L,-2
2015-16,1610612764,21500350,2015-12-12,WAS,DAL,1610612742,22,114,111,W,3
2015-16,1610612764,21500362,2015-12-14,WAS,MEM,1610612763,23,95,112,L,-17
2015-16,1610612764,21500379,2015-12-16,WAS,SAS,1610612759,24,95,114,L,-19
2015-16,1610612764,21500399,2015-12-19,CHA,WAS,1610612766,25,109,101,W,8
2015-16,1610612764,21500410,2015-12-21,SAC,WAS,1610612758,26,113,99,W,14
2015-16,1610612764,21500427,2015-12-23,MEM,WAS,1610612763,27,100,91,W,9
2015-16,1610612764,21500447,2015-12-26,WAS,BKN,1610612751,28,111,96,W,15
2015-16,1610612764,21500461,2015-12-28,LAC,WAS,1610612746,29,91,108,L,-17
2015-16,1610612764,21500477,2015-12-30,WAS,TOR,1610612761,30,91,94,L,-3
2015-16,1610612764,21500490,2016-01-01,ORL,WAS,1610612753,31,103,91,W,12
2015-16,1610612764,21500508,2016-01-03,MIA,WAS,1610612748,32,75,97,L,-22
2015-16,1610612764,21500527,2016-01-06,CLE,WAS,1610612739,33,115,121,L,-6
2015-16,1610612764,21500540,2016-01-08,TOR,WAS,1610612761,34,88,97,L,-9
