season,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,available_flag,season_start,season_end,is_home,home,away
2024-25,1610612752,NYK,New York Knicks,42400306,2025-05-31,NYK @ IND,L,48.0,41,86,0.477,9,32,0.281,17,26,0.654,13,28,41,23,18.0,10,6,9,16,23,108,-17.0,1,79,79,79,11,51,63,51,122,97,124,76,48,139,34,115,85,73,131,27,43,144,16,32,83,132,1,2024,2025,False,IND,NYK
2024-25,1610612754,IND,Indiana Pacers,42400306,2025-05-31,IND vs. NYK,W,48.0,46,85,0.541,17,33,0.515,16,19,0.842,6,30,36,30,13.0,10,9,6,23,16,125,17.0,1,1,1,1,11,16,83,10,18,91,4,86,109,39,139,89,134,9,59,27,5,96,108,131,16,23,1,2024,2025,True,IND,NYK
2024-25,1610612754,IND,Indiana Pacers,42400305,2025-05-29,IND @ NYK,L,48.0,30,74,0.405,10,30,0.333,24,29,0.828,8,32,40,20,20.0,10,7,3,22,22,94,-17.0,1,79,79,79,11,151,153,130,108,115,92,29,35,44,114,65,97,103,140,27,25,26,90,50,129,132,1,2024,2025,False,NYK,IND
2024-25,1610612752,NYK,New York Knicks,42400305,2025-05-29,NYK vs. IND,W,48.0,44,89,0.494,8,29,0.276,15,22,0.682,11,34,45,22,15.0,11,3,7,22,22,111,17.0,1,1,1,1,11,24,42,40,136,125,126,93,75,130,71,44,47,87,96,17,110,115,90,50,71,23,1,2024,2025,True,NYK,IND
2024-25,1610612760,OKC,Oklahoma City Thunder,42400315,2025-05-28,OKC vs. MIN,W,48.0,46,88,0.523,14,35,0.4,18,21,0.857,7,39,46,26,16.0,14,8,6,20,20,124,30.0,1,1,1,1,11,16,48,18,53,72,49,68,87,27,126,14,37,33,110,3,14,96,62,82,18,10,1,2024,2025,True,OKC,MIN
2024-25,1610612750,MIN,Minnesota Timberwolves,42400315,2025-05-28,MIN @ OKC,L,48.0,35,85,0.412,12,34,0.353,12,15,0.8,8,31,39,16,21.0,7,6,8,20,20,94,-30.0,1,79,79,79,11,113,83,126,75,81,84,128,132,59,114,74,103,143,144,77,43,133,62,82,129,147,1,2024,2025,False,OKC,MIN
2024-25,1610612752,NYK,New York Knicks,42400304,2025-05-27,NYK @ IND,L,48.0,38,82,0.463,12,28,0.429,33,39,0.846,13,31,44,17,17.0,7,4,4,27,27,121,-9.0,1,79,79,79,11,88,107,68,75,136,33,2,5,33,34,74,53,134,123,77,81,48,142,8,22,111,1,2024,2025,False,IND,NYK
2024-25,1610612754,IND,Indiana Pacers,42400304,2025-05-27,IND vs. NYK,W,48.0,45,88,0.511,13,32,0.406,27,32,0.844,5,28,33,29,11.0,11,4,4,27,27,130,9.0,1,1,1,1,11,19,48,26,62,97,44,16,25,37,146,115,148,17,31,17,81,48,142,8,9,39,1,2024,2025,True,IND,NYK
2024-25,1610612760,OKC,Oklahoma City Thunder,42400314,2025-05-26,OKC @ MIN,W,48.0,48,95,0.505,16,37,0.432,16,21,0.762,19,17,36,22,14.0,14,5,3,22,20,128,2.0,1,1,1,1,11,10,14,32,25,56,29,86,87,89,4,156,134,87,74,3,62,26,90,82,12,67,1,2024,2025,False,MIN,OKC
2024-25,1610612750,MIN,Minnesota Timberwolves,42400314,2025-05-26,MIN vs. OKC,L,48.0,43,84,0.512,18,41,0.439,22,28,0.786,19,22,41,30,23.0,8,3,5,20,22,126,-2.0,1,79,79,79,11,34,90,24,10,30,24,35,38,74,4,153,85,9,153,59,110,77,62,50,14,84,1,2024,2025,True,MIN,OKC
