season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end,is_home,home,away
2024-25,1610612754,IND,Indiana Pacers,42400306,2025-05-31,IND vs. NYK,W,48.0,34.0,12.0,25.0,50.0,13.0,15.0,10.0,54.0,0,0,0,0,11,3,98,7,41,52,84,48,122,1,2024,2025,True,IND,NYK
2024-25,1610612752,NYK,New York Knicks,42400306,2025-05-31,NYK @ IND,L,48.0,13.0,15.0,10.0,54.0,34.0,12.0,25.0,50.0,0,0,0,0,11,95,62,100,24,153,46,149,106,1,2024,2025,False,IND,NYK
2024-25,1610612754,IND,Indiana Pacers,42400305,2025-05-29,IND @ NYK,L,48.0,20.0,7.0,16.0,34.0,15.0,13.0,15.0,60.0,0,0,0,0,11,38,145,37,127,73,60,103,145,1,2024,2025,False,NYK,IND
2024-25,1610612752,NYK,New York Knicks,42400305,2025-05-29,NYK vs. IND,W,48.0,15.0,13.0,15.0,60.0,20.0,7.0,16.0,34.0,0,0,0,0,11,74,88,49,9,113,9,109,23,1,2024,2025,True,NYK,IND
2024-25,1610612750,MIN,Minnesota Timberwolves,42400315,2025-05-28,MIN @ OKC,L,48.0,19.0,9.0,11.0,42.0,18.0,9.0,19.0,54.0,0,0,0,0,11,45,130,89,96,101,15,131,122,1,2024,2025,False,OKC,MIN
2024-25,1610612760,OKC,Oklahoma City Thunder,42400315,2025-05-28,OKC vs. MIN,W,48.0,18.0,9.0,19.0,54.0,19.0,9.0,11.0,42.0,0,0,0,0,11,51,130,22,24,107,15,58,52,1,2024,2025,True,OKC,MIN
2024-25,1610612752,NYK,New York Knicks,42400304,2025-05-27,NYK @ IND,L,48.0,9.0,15.0,9.0,44.0,20.0,16.0,22.0,50.0,0,0,0,0,11,133,62,110,86,113,96,142,106,1,2024,2025,False,IND,NYK
2024-25,1610612754,IND,Indiana Pacers,42400304,2025-05-27,IND vs. NYK,W,48.0,20.0,16.0,22.0,50.0,9.0,15.0,9.0,44.0,0,0,0,0,11,38,56,13,41,18,84,41,62,1,2024,2025,True,IND,NYK
2024-25,1610612760,OKC,Oklahoma City Thunder,42400314,2025-05-26,OKC @ MIN,W,48.0,22.0,24.0,5.0,42.0,25.0,30.0,13.0,46.0,0,0,0,0,11,27,7,138,96,140,155,78,72,1,2024,2025,False,MIN,OKC
2024-25,1610612750,MIN,Minnesota Timberwolves,42400314,2025-05-26,MIN vs. OKC,L,48.0,25.0,30.0,13.0,46.0,22.0,24.0,5.0,42.0,0,0,0,0,11,12,2,66,70,124,149,13,52,1,2024,2025,True,MIN,OKC
