season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end,is_home,home,away,MON
2021-22,1610612754,IND,Indiana Pacers,22101216,2022-04-10,IND @ BKN,L,48.0,27.0,20.0,26.0,48.0,10.0,19.0,18.0,74.0,0,0,0,0,117,107,282,57,1031,337,2014,1959,2447,1,2021,2022,False,BKN,IND,APR
2021-22,1610612754,IND,Indiana Pacers,22101214,2022-04-09,IND @ PHI,L,48.0,19.0,14.0,20.0,50.0,18.0,23.0,11.0,64.0,0,0,0,0,117,709,962,270,832,1461,2318,989,2300,1,2021,2022,False,PHI,IND,APR
2021-22,1610612754,IND,Indiana Pacers,22101178,2022-04-05,IND vs. PHI,L,48.0,27.0,29.0,26.0,58.0,27.0,13.0,17.0,40.0,0,0,0,0,117,107,15,57,301,2318,1151,1865,507,1,2021,2022,True,IND,PHI,APR
2021-22,1610612754,IND,Indiana Pacers,22101169,2022-04-03,IND vs. DET,L,48.0,10.0,13.0,25.0,62.0,23.0,17.0,17.0,38.0,0,0,0,0,117,2010,1121,78,162,2082,1800,1865,377,1,2021,2022,True,IND,DET,APR
2021-22,1610612754,IND,Indiana Pacers,22101153,2022-04-01,IND @ BOS,L,48.0,24.0,14.0,9.0,46.0,21.0,16.0,11.0,62.0,0,0,0,0,117,232,962,1640,1216,1861,1649,989,2239,1,2021,2022,False,BOS,IND,APR
2021-22,1610612754,IND,Indiana Pacers,22101137,2022-03-30,IND vs. DEN,L,48.0,25.0,23.0,13.0,58.0,13.0,13.0,15.0,68.0,0,0,0,0,117,177,110,996,301,721,1151,1614,2381,1,2021,2022,True,IND,DEN,MAR
2021-22,1610612754,IND,Indiana Pacers,22101124,2022-03-28,IND vs. ATL,L,48.0,18.0,14.0,15.0,36.0,18.0,16.0,15.0,50.0,0,0,0,0,117,845,962,715,2085,1461,1649,1614,1431,1,2021,2022,True,IND,ATL,MAR
2021-22,1610612754,IND,Indiana Pacers,22101109,2022-03-26,IND @ TOR,L,48.0,9.0,10.0,15.0,32.0,22.0,14.0,15.0,62.0,0,0,0,0,117,2125,1624,715,2294,1980,1341,1614,2239,1,2021,2022,False,TOR,IND,MAR
2021-22,1610612754,IND,Indiana Pacers,22101096,2022-03-24,IND @ MEM,L,48.0,15.0,16.0,12.0,54.0,15.0,22.0,20.0,54.0,0,0,0,0,117,1283,662,1132,513,1036,2262,2125,1788,1,2021,2022,False,MEM,IND,MAR
2021-22,1610612754,IND,Indiana Pacers,22101086,2022-03-23,IND vs. SAC,L,48.0,23.0,13.0,21.0,54.0,19.0,4.0,12.0,54.0,0,0,0,0,117,308,1121,219,513,1617,53,1179,1788,1,2021,2022,True,IND,SAC,MAR
2021-22,1610612754,IND,Indiana Pacers,22101062,2022-03-20,IND vs. POR,W,48.0,24.0,15.0,19.0,60.0,18.0,15.0,15.0,56.0,0,0,0,0,117,232,813,337,223,1461,1500,1614,1949,1,2021,2022,True,IND,POR,MAR
2021-22,1610612754,IND,Indiana Pacers,22101053,2022-03-18,IND @ HOU,W,48.0,13.0,17.0,6.0,62.0,16.0,11.0,23.0,52.0,0,0,0,0,117,1595,535,2040,162,1179,838,2286,1630,1,2021,2022,False,HOU,IND,MAR
2021-22,1610612754,IND,Indiana Pacers,22101029,2022-03-15,IND vs. MEM,L,48.0,3.0,14.0,9.0,54.0,29.0,24.0,33.0,72.0,0,0,0,0,117,2444,962,1640,513,2381,2352,2454,2428,1,2021,2022,True,IND,MEM,MAR
2021-22,1610612754,IND,Indiana Pacers,22101016,2022-03-13,IND @ ATL,L,48.0,12.0,20.0,4.0,50.0,23.0,10.0,5.0,50.0,0,0,0,0,117,1741,282,2260,832,2082,667,202,1431,1,2021,2022,False,ATL,IND,MAR
2021-22,1610612754,IND,Indiana Pacers,22101007,2022-03-12,IND @ SAS,W,48.0,17.0,19.0,12.0,52.0,18.0,15.0,14.0,52.0,0,0,0,0,117,1001,358,1132,674,1461,1500,1466,1630,1,2021,2022,False,SAS,IND,MAR
2021-22,1610612754,IND,Indiana Pacers,22100976,2022-03-08,IND vs. CLE,L,48.0,6.0,12.0,14.0,52.0,23.0,19.0,24.0,70.0,0,0,0,0,117,2357,1311,848,674,2082,2014,2325,2411,1,2021,2022,True,IND,CLE,MAR
2021-22,1610612754,IND,Indiana Pacers,22100963,2022-03-06,IND @ WAS,L,48.0,4.0,8.0,6.0,62.0,17.0,6.0,10.0,46.0,0,0,0,0,117,2427,1945,2040,162,1307,171,822,1016,1,2021,2022,False,WAS,IND,MAR
2021-22,1610612754,IND,Indiana Pacers,22100946,2022-03-04,IND @ DET,L,48.0,20.0,25.0,6.0,56.0,19.0,19.0,9.0,46.0,0,0,0,0,117,601,60,2040,389,1617,2014,695,1016,1,2021,2022,False,DET,IND,MAR
2021-22,1610612754,IND,Indiana Pacers,22100933,2022-03-02,IND @ ORL,W,53.0,25.0,18.0,11.0,46.0,20.0,8.0,11.0,54.0,0,0,0,0,15,177,448,1283,1216,1753,380,989,1788,1,2021,2022,False,ORL,IND,MAR
2021-22,1610612754,IND,Indiana Pacers,22100921,2022-02-28,IND @ ORL,L,48.0,5.0,7.0,9.0,28.0,22.0,18.0,9.0,54.0,0,0,0,0,117,2405,2082,1640,2384,1980,1927,695,1788,1,2021,2022,False,ORL,IND,FEB
2021-22,1610612754,IND,Indiana Pacers,22100914,2022-02-27,IND vs. BOS,W,48.0,14.0,14.0,20.0,52.0,8.0,6.0,10.0,44.0,0,0,0,0,117,1426,962,270,674,156,171,822,849,1,2021,2022,True,IND,BOS,FEB
2021-22,1610612754,IND,Indiana Pacers,22100897,2022-02-25,IND vs. OKC,L,53.0,18.0,19.0,24.0,60.0,17.0,8.0,20.0,70.0,0,0,0,0,15,845,358,102,223,1307,380,2125,2411,1,2021,2022,True,IND,OKC,FEB
2021-22,1610612754,IND,Indiana Pacers,22100876,2022-02-16,IND vs. WAS,W,48.0,10.0,7.0,20.0,74.0,15.0,12.0,15.0,36.0,0,0,0,0,117,2010,2082,270,7,1036,975,1614,256,1,2021,2022,True,IND,WAS,FEB
2021-22,1610612754,IND,Indiana Pacers,22100870,2022-02-15,IND @ MIL,L,48.0,21.0,14.0,10.0,48.0,16.0,17.0,19.0,62.0,0,0,0,0,117,482,962,1473,1031,1179,1800,2050,2239,1,2021,2022,False,MIL,IND,FEB
2021-22,1610612754,IND,Indiana Pacers,22100857,2022-02-13,IND vs. MIN,L,48.0,11.0,23.0,17.0,54.0,22.0,11.0,24.0,50.0,0,0,0,0,117,1888,110,503,513,1980,838,2325,1431,1,2021,2022,True,IND,MIN,FEB
2021-22,1610612754,IND,Indiana Pacers,22100839,2022-02-11,IND vs. CLE,L,48.0,27.0,16.0,21.0,38.0,26.0,15.0,12.0,60.0,0,0,0,0,117,107,662,219,1955,2285,1500,1179,2161,1,2021,2022,True,IND,CLE,FEB
2021-22,1610612754,IND,Indiana Pacers,22100816,2022-02-08,IND @ ATL,L,48.0,13.0,18.0,13.0,48.0,19.0,8.0,5.0,56.0,0,0,0,0,117,1595,448,996,1031,1617,380,202,1949,1,2021,2022,False,ATL,IND,FEB
2021-22,1610612754,IND,Indiana Pacers,22100805,2022-02-06,IND @ CLE,L,48.0,14.0,8.0,10.0,42.0,24.0,12.0,13.0,44.0,0,0,0,0,117,1426,1945,1473,1613,2154,975,1330,849,1,2021,2022,False,CLE,IND,FEB
2021-22,1610612754,IND,Indiana Pacers,22100789,2022-02-04,IND vs. CHI,L,48.0,10.0,10.0,13.0,54.0,14.0,13.0,10.0,70.0,0,0,0,0,117,2010,1624,996,513,867,1151,822,2411,1,2021,2022,True,IND,CHI,FEB
2021-22,1610612754,IND,Indiana Pacers,22100773,2022-02-02,IND vs. ORL,L,48.0,11.0,5.0,15.0,46.0,10.0,11.0,14.0,60.0,0,0,0,0,117,1888,2291,715,1216,337,838,1466,2161,1,2021,2022,True,IND,ORL,FEB
2021-22,1610612754,IND,Indiana Pacers,22100760,2022-01-31,IND vs. LAC,W,48.0,12.0,17.0,11.0,68.0,17.0,13.0,5.0,46.0,0,0,0,0,117,1741,535,1283,51,1307,1151,202,1016,1,2021,2022,True,IND,LAC,JAN
2021-22,1610612754,IND,Indiana Pacers,22100746,2022-01-29,IND @ DAL,L,48.0,2.0,13.0,10.0,60.0,6.0,17.0,17.0,64.0,0,0,0,0,117,2451,1121,1473,223,57,1800,1865,2300,1,2021,2022,False,DAL,IND,JAN
2021-22,1610612754,IND,Indiana Pacers,22100741,2022-01-28,IND @ OKC,W,53.0,14.0,13.0,5.0,52.0,23.0,11.0,12.0,56.0,0,0,0,0,15,1426,1121,2170,674,2082,838,1179,1949,1,2021,2022,False,OKC,IND,JAN
2021-22,1610612754,IND,Indiana Pacers,22100723,2022-01-26,IND vs. CHA,L,48.0,18.0,19.0,15.0,60.0,30.0,13.0,30.0,54.0,0,0,0,0,117,845,358,715,223,2400,1151,2445,1788,1,2021,2022,True,IND,CHA,JAN
2021-22,1610612754,IND,Indiana Pacers,22100712,2022-01-24,IND @ NOP,L,48.0,16.0,13.0,5.0,32.0,14.0,15.0,18.0,64.0,0,0,0,0,117,1155,1121,2170,2294,867,1500,1959,2300,1,2021,2022,False,NOP,IND,JAN
2021-22,1610612754,IND,Indiana Pacers,22100697,2022-01-22,IND @ PHX,L,48.0,11.0,20.0,10.0,44.0,22.0,17.0,16.0,66.0,0,0,0,0,117,1888,282,1473,1446,1980,1800,1747,2352,1,2021,2022,False,PHX,IND,JAN
2021-22,1610612754,IND,Indiana Pacers,22100683,2022-01-20,IND @ GSW,W,53.0,20.0,20.0,6.0,42.0,19.0,20.0,16.0,62.0,0,0,0,0,15,601,282,2040,1613,1617,2104,1747,2239,1,2021,2022,False,GSW,IND,JAN
2021-22,1610612754,IND,Indiana Pacers,22100680,2022-01-19,IND @ LAL,W,48.0,8.0,13.0,13.0,62.0,10.0,22.0,11.0,46.0,0,0,0,0,117,2236,1121,996,162,337,2262,989,1016,1,2021,2022,False,LAL,IND,JAN
2021-22,1610612754,IND,Indiana Pacers,22100659,2022-01-17,IND @ LAC,L,48.0,21.0,26.0,15.0,64.0,23.0,7.0,15.0,42.0,0,0,0,0,117,482,45,715,110,2082,270,1614,672,1,2021,2022,False,LAC,IND,JAN
2021-22,1610612754,IND,Indiana Pacers,22100634,2022-01-14,IND vs. PHX,L,48.0,16.0,9.0,9.0,38.0,19.0,10.0,11.0,42.0,0,0,0,0,117,1155,1795,1640,1955,1617,667,989,672,1,2021,2022,True,IND,PHX,JAN
2021-22,1610612754,IND,Indiana Pacers,22100618,2022-01-12,IND vs. BOS,L,48.0,13.0,17.0,9.0,56.0,7.0,15.0,16.0,36.0,0,0,0,0,117,1595,535,1640,389,105,1500,1747,256,1,2021,2022,True,IND,BOS,JAN
2021-22,1610612754,IND,Indiana Pacers,22100609,2022-01-10,IND @ BOS,L,53.0,18.0,7.0,14.0,36.0,17.0,15.0,15.0,48.0,0,0,0,0,15,845,2082,848,2085,1307,1500,1614,1246,1,2021,2022,False,BOS,IND,JAN
2021-22,1610612754,IND,Indiana Pacers,22100594,2022-01-08,IND vs. UTA,W,48.0,16.0,10.0,14.0,46.0,14.0,6.0,11.0,42.0,0,0,0,0,117,1155,1624,848,1216,867,171,989,672,1,2021,2022,True,IND,UTA,JAN
