TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1610612763,Memphis Grizzlies,MEM,73,73,0.471,24.37,42.64,0.571,0.571,0.471,24.37,42.64,0.571,0.0,0.0,0.0,
1610612750,Minnesota Timberwolves,MIN,64,64,0.459,23.36,41.94,0.557,0.557,0.459,23.36,41.94,0.557,0.0,0.0,0.0,
1610612741,Chicago Bulls,CHI,65,65,0.474,22.94,41.65,0.551,0.551,0.474,22.94,41.65,0.551,0.0,0.0,0.0,
1610612751,Brooklyn Nets,BKN,72,72,0.456,22.88,41.07,0.557,0.557,0.456,22.88,41.07,0.557,0.0,0.0,0.0,
1610612765,Detroit Pistons,DET,65,65,0.481,22.78,41.06,0.555,0.555,0.481,22.78,41.06,0.555,0.0,0.0,0.0,
1610612737,Atlanta Hawks,ATL,67,67,0.453,23.24,40.99,0.567,0.567,0.453,23.24,40.99,0.567,0.0,0.0,0.0,
1610612739,Cleveland Cavaliers,CLE,65,65,0.468,22.85,40.98,0.557,0.557,0.468,22.85,40.98,0.557,0.0,0.0,0.0,
1610612752,New York Knicks,NYK,66,66,0.459,22.48,40.88,0.55,0.55,0.459,22.48,40.88,0.55,0.0,0.0,0.0,
1610612766,Charlotte Hornets,CHA,64,64,0.476,21.61,40.8,0.53,0.53,0.476,21.61,40.8,0.53,0.0,0.0,0.0,
1610612761,Toronto Raptors,TOR,71,71,0.46,22.63,40.32,0.561,0.561,0.46,22.63,40.32,0.561,0.0,0.0,0.0,
1610612740,New Orleans Pelicans,NOP,71,71,0.435,23.07,39.46,0.585,0.585,0.435,23.07,39.46,0.585,0.0,0.0,0.0,
1610612747,Los Angeles Lakers,LAL,71,71,0.446,24.72,39.3,0.629,0.629,0.446,24.72,39.3,0.629,0.0,0.0,0.0,
1610612738,Boston Celtics,BOS,72,72,0.439,21.86,39.29,0.556,0.556,0.439,21.86,39.29,0.556,0.0,0.0,0.0,
1610612743,Denver Nuggets,DEN,73,73,0.436,22.67,38.68,0.586,0.586,0.436,22.67,38.68,0.586,0.0,0.0,0.0,
1610612754,Indiana Pacers,IND,73,73,0.435,22.26,38.34,0.581,0.581,0.435,22.26,38.34,0.581,0.0,0.0,0.0,
1610612745,Houston Rockets,HOU,72,72,0.417,22.19,37.64,0.59,0.59,0.417,22.19,37.64,0.59,0.0,0.0,0.0,
1610612755,Philadelphia 76ers,PHI,73,73,0.426,21.81,37.37,0.584,0.584,0.426,21.81,37.37,0.584,0.0,0.0,0.0,
1610612764,Washington Wizards,WAS,72,72,0.412,21.17,37.31,0.567,0.567,0.412,21.17,37.31,0.567,0.0,0.0,0.0,
1610612749,Milwaukee Bucks,MIL,72,72,0.41,22.75,37.22,0.611,0.611,0.41,22.75,37.22,0.611,0.0,0.0,0.0,
1610612762,Utah Jazz,UTA,72,72,0.437,21.25,37.15,0.572,0.572,0.437,21.25,37.15,0.572,0.0,0.0,0.0,
1610612758,Sacramento Kings,SAC,71,71,0.419,21.15,36.93,0.573,0.573,0.419,21.15,36.93,0.573,0.0,0.0,0.0,
1610612746,LA Clippers,LAC,72,72,0.414,21.29,36.92,0.577,0.577,0.414,21.29,36.92,0.577,0.0,0.0,0.0,
1610612756,Phoenix Suns,PHX,72,72,0.419,21.56,36.69,0.587,0.587,0.419,21.56,36.69,0.587,0.0,0.0,0.0,
1610612753,Orlando Magic,ORL,73,73,0.408,20.01,36.11,0.554,0.554,0.408,20.01,36.11,0.554,0.0,0.0,0.0,
1610612760,Oklahoma City Thunder,OKC,72,72,0.418,19.92,35.74,0.557,0.557,0.418,19.92,35.74,0.557,0.0,0.0,0.0,
1610612757,Portland Trail Blazers,POR,73,73,0.39,19.97,35.48,0.563,0.563,0.39,19.97,35.48,0.563,0.0,0.0,0.0,
1610612744,Golden State Warriors,GSW,65,65,0.405,19.55,35.4,0.552,0.552,0.405,19.55,35.4,0.552,0.0,0.0,0.0,
1610612742,Dallas Mavericks,DAL,73,73,0.387,20.7,34.93,0.593,0.593,0.387,20.7,34.93,0.593,0.0,0.0,0.0,
1610612748,Miami Heat,MIA,72,72,0.401,20.04,33.69,0.595,0.595,0.401,20.04,33.69,0.595,0.0,0.0,0.0,
1610612759,San Antonio Spurs,SAS,70,70,0.373,19.17,33.23,0.577,0.577,0.373,19.17,33.23,0.577,0.0,0.0,0.0,
