GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM,FGA,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK
Players,203940,Adreian Payne,Adreian,1610612750,MIN,25.0,2,1,1,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,374,362,31,188,423,363,275,320,195,209,175,299,234,303,270,257,194,82,313,264,342,379,342
Players,203952,Andrew Wiggins,Andrew,1610612750,MIN,21.0,49,20,29,0.408,4.2,0.92,0.08,0.588,0.191,0.0,0.066,0.412,0.228,0.397,0.3,0.7,0.0,0.0,0.3,0.7,40,100,0.4,3,45,436,287,35,119,260,123,88,209,140,87,68,151,217,103,194,82,272,70,12,9,186
Players,204014,Damjan Rudez,Damjan,1610612750,MIN,30.0,5,1,4,0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,329,362,127,396,387,363,275,320,195,209,175,1,234,303,270,257,194,82,313,264,342,379,342
Players,203476,Gorgui Dieng,Gorgui,1610612750,MIN,26.0,32,11,21,0.344,2.7,0.864,0.136,0.533,0.089,0.067,0.111,0.4,0.044,0.444,0.75,0.25,1.0,0.0,0.769,0.231,13,22,0.591,94,157,402,328,216,136,243,152,157,199,100,88,226,127,88,226,1,82,117,225,88,120,66
Players,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,20.0,46,19,27,0.413,4.1,0.776,0.224,0.66,0.186,0.124,0.01,0.216,0.072,0.474,0.719,0.281,1.0,0.0,0.75,0.25,36,67,0.537,9,64,433,285,43,154,225,105,92,181,174,217,208,109,96,224,1,82,119,213,17,31,84
Players,708,Kevin Garnett,Kevin,1610612750,MIN,40.0,11,5,6,0.455,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,4,0.25,269,252,174,252,218,1,275,1,1,209,175,299,234,303,270,1,194,82,313,1,279,279,298
Players,202357,Nemanja Bjelica,Nemanja,1610612750,MIN,28.0,16,6,10,0.375,2.0,0.5,0.5,0.4,0.0,0.0,0.0,0.6,0.0,0.4,1.0,0.0,0.0,0.0,1.0,0.0,1,4,0.25,222,235,238,308,290,268,92,225,195,209,175,31,234,142,1,257,194,82,1,264,279,279,298
Players,201937,Ricky Rubio,Ricky,1610612750,MIN,25.0,44,19,25,0.432,4.2,0.576,0.424,0.203,0.169,0.203,0.102,0.594,0.102,0.034,0.333,0.667,1.0,0.0,0.6,0.4,10,33,0.303,12,64,425,268,27,245,134,301,102,149,108,35,180,301,200,107,1,82,167,164,111,83,283
Players,203498,Shabazz Muhammad,Shabazz,1610612750,MIN,23.0,23,6,17,0.261,1.9,0.308,0.692,0.333,0.0,0.0,0.667,0.667,0.167,0.333,0.0,1.0,0.0,0.0,0.0,1.0,1,13,0.077,173,235,341,379,298,334,43,249,195,209,3,24,114,171,270,1,194,82,313,1,279,178,341
Players,2419,Tayshaun Prince,Tayshaun,1610612750,MIN,36.0,25,11,14,0.44,2.9,1.0,0.0,0.667,0.222,0.0,0.0,0.333,0.0,0.444,0.667,0.333,0.0,0.0,0.667,0.333,3,10,0.3,151,157,298,261,196,1,275,88,71,209,175,125,234,127,103,203,194,82,143,182,223,204,286
Players,1626145,Tyus Jones,Tyus,1610612750,MIN,20.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,404,408,31,408,427,363,275,320,195,209,175,299,234,303,270,257,194,82,313,264,342,379,342
Players,203897,Zach LaVine,Zach,1610612750,MIN,21.0,41,16,25,0.39,3.4,0.531,0.469,0.438,0.156,0.328,0.188,0.234,0.172,0.281,0.5,0.5,0.857,0.143,0.619,0.381,21,64,0.328,22,99,425,301,121,265,114,209,109,103,57,202,112,218,138,146,130,74,165,177,50,36,275
