group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,e_off_rating,off_rating,sp_work_off_rating,e_def_rating,def_rating,sp_work_def_rating,e_net_rating,net_rating,sp_work_net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,e_usg_pct,e_pace,pace,pace_per40,sp_work_pace,pie,poss,fgm,fga,fgm_pg,fga_pg,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,e_off_rating_rank,off_rating_rank,sp_work_off_rating_rank,e_def_rating_rank,def_rating_rank,sp_work_def_rating_rank,e_net_rating_rank,net_rating_rank,sp_work_net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,e_tov_pct_rank,efg_pct_rank,ts_pct_rank,usg_pct_rank,e_usg_pct_rank,e_pace_rank,pace_rank,sp_work_pace_rank,pie_rank,fgm_rank,fga_rank,fgm_pg_rank,fga_pg_rank,fg_pct_rank,team
Players,203914,Gary Harris,Gary,1610612743,DEN,25.0,5,4,1,0.8,2.7,104.5,104.0,104.0,104.7,104.0,104.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.077,0.111,0.091,20.0,20.0,0.375,0.375,0.185,0.186,89.06,89.56,74.64,89.56,-0.036,25,1,4,0.2,0.8,0.25,28,20,11,13,65,51,55,55,54,66,66,59,49,49,42,25,42,18,50,36,104,104,51,64,45,48,96,105,105,98,43,39,57,55,57,DEN
Players,200794,Paul Millsap,Paul,1610612743,DEN,35.0,6,1,5,0.167,3.1,97.5,89.2,89.2,109.0,111.9,111.9,-11.5,-22.7,-22.7,0.0,0.0,0.0,0.048,0.19,0.119,0.0,0.0,0.333,0.436,0.073,0.091,98.4,101.0,84.17,101.0,0.06,37,1,3,0.2,0.5,0.333,21,51,115,94,59,67,81,81,65,79,79,66,79,79,42,25,42,34,21,26,1,1,55,58,85,81,50,57,57,57,43,43,62,68,48,DEN
Players,1628408,PJ Dozier,PJ,1610612743,DEN,23.0,3,2,1,0.667,3.3,122.6,121.1,121.1,71.2,71.4,71.4,51.4,49.6,49.6,0.111,0.0,50.0,0.0,0.091,0.045,0.0,0.0,0.0,0.0,0.043,0.04,96.99,97.38,81.15,97.38,0.053,19,0,0,0.0,0.0,0.0,61,38,11,27,55,33,31,31,18,20,20,13,13,13,33,25,3,40,58,68,1,1,69,76,92,93,54,73,73,58,69,89,69,89,69,DEN
Players,203999,Nikola Jokić,Nikola,1610612743,DEN,25.0,11,6,5,0.545,3.3,131.4,124.4,124.4,105.4,103.9,103.9,26.0,20.4,20.4,0.091,2.0,9.5,0.083,0.152,0.116,4.8,4.5,0.75,0.786,0.218,0.245,96.97,100.38,83.65,100.38,0.21,78,10,16,0.9,1.5,0.625,9,7,115,43,52,28,29,29,56,65,65,31,34,34,37,6,38,15,37,27,79,79,16,18,30,25,55,60,60,18,3,7,17,26,18,DEN
Players,1627750,Jamal Murray,Jamal,1610612743,DEN,23.0,11,6,5,0.545,3.5,129.7,122.8,122.8,107.4,106.1,106.1,22.3,16.7,16.7,0.588,3.33,25.0,0.081,0.194,0.137,7.5,7.4,0.704,0.711,0.341,0.368,97.06,100.27,83.56,100.27,0.298,79,15,27,1.4,2.5,0.556,9,7,115,43,49,29,30,30,62,70,70,38,38,38,6,2,13,17,20,18,83,83,22,27,11,10,53,61,61,11,1,1,5,9,23,DEN
Players,1629008,Michael Porter Jr.,Michael,1610612743,DEN,22.0,6,4,2,0.667,1.8,162.0,156.0,156.0,114.1,104.5,104.5,47.9,51.5,51.5,0.0,0.0,0.0,0.0,0.182,0.1,0.0,0.0,0.75,0.931,0.148,0.15,96.01,102.0,85.0,102.0,0.108,25,1,2,0.2,0.3,0.5,21,20,59,27,90,9,5,5,82,68,68,17,12,12,42,25,42,40,23,33,1,1,16,13,56,60,64,54,54,41,43,55,62,79,28,DEN
Players,203486,Mason Plumlee,Mason,1610612743,DEN,30.0,3,1,2,0.333,0.3,0.0,0.0,0.0,143.4,140.0,140.0,-143.4,-140.0,-140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.7,169.08,140.9,169.08,0.0,1,0,0,0.0,0.0,0.0,61,51,59,73,114,115,115,115,104,105,105,117,117,117,42,25,42,40,76,82,1,1,69,76,95,95,7,9,9,66,69,89,69,89,69,DEN
Players,203584,Troy Daniels,Troy,1610612743,DEN,28.0,1,0,1,0.0,0.1,277.8,200.0,200.0,113.6,50.0,50.0,164.1,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.31,738.46,615.38,738.46,0.0,2,0,0,0.0,0.0,0.0,97,95,11,95,119,1,1,1,80,12,12,3,3,3,42,25,42,40,76,82,1,1,69,76,95,95,2,4,4,66,69,89,69,89,69,DEN
Players,1628470,Torrey Craig,Torrey,1610612743,DEN,29.0,6,4,2,0.667,2.2,144.2,132.0,132.0,121.5,117.9,117.9,22.7,14.1,14.1,0.083,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.111,0.121,92.67,98.15,81.79,98.15,-0.036,25,1,3,0.2,0.5,0.333,21,20,59,27,82,14,23,23,89,87,87,37,40,40,38,25,13,40,76,82,1,1,55,67,70,68,88,69,69,99,43,43,62,68,48,DEN
Players,203924,Jerami Grant,Jerami,1610612743,DEN,26.0,10,5,5,0.5,3.8,124.4,118.4,118.4,107.3,107.5,107.5,17.1,10.9,10.9,0.0,0.0,0.0,0.0,0.083,0.041,8.3,8.1,0.25,0.353,0.141,0.153,96.36,98.56,82.13,98.56,-0.015,76,2,10,0.2,1.0,0.2,12,17,115,45,39,31,32,32,61,74,74,41,42,42,42,25,42,40,62,72,85,85,61,65,60,58,62,65,65,94,27,19,57,35,62,DEN
