group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,team
Players,203914,Gary Harris,Gary,1610612743,DEN,25.0,33,21,12,0.636,3.4,0.0,0.1,0.0,0.2,0.6,0.8,0.3,3.2,0.0,0.1,0.4,0.3,1.9,32,15,341,97,101,210,193,157,244,197,263,214,84,170,308,301,162,225,DEN
Players,200794,Paul Millsap,Paul,1610612743,DEN,35.0,20,12,8,0.6,3.2,0.1,0.1,0.2,0.4,0.6,0.7,0.5,2.8,0.1,0.1,0.4,0.2,2.2,150,102,254,118,145,172,183,75,155,183,202,287,121,88,365,295,214,174,DEN
Players,1628966,Keita Bates-Diop,Keita,1610612743,DEN,24.0,7,2,5,0.286,2.0,0.0,0.7,0.0,0.3,1.1,0.6,0.0,2.6,0.0,0.0,0.1,0.1,1.3,299,321,180,367,294,210,11,157,200,363,186,1,151,181,1,123,258,297,DEN
Players,1628408,PJ Dozier,PJ,1610612743,DEN,23.0,4,2,2,0.5,2.3,0.3,0.0,0.3,0.5,2.3,0.8,0.0,3.0,0.0,0.3,0.5,1.0,2.2,344,321,82,177,262,89,223,42,126,448,241,1,95,181,437,371,6,184,DEN
Players,203943,Noah Vonleh,Noah,1610612743,DEN,24.0,4,2,2,0.5,0.7,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.5,0.0,0.3,0.3,0.0,0.0,344,321,82,177,417,210,223,157,296,1,368,1,406,181,437,192,319,406,DEN
Players,1627750,Jamal Murray,Jamal,1610612743,DEN,23.0,33,22,11,0.667,3.7,0.3,0.1,0.2,0.8,0.9,0.7,0.3,3.0,0.0,0.1,0.1,0.6,4.2,32,13,320,77,61,74,169,61,83,272,205,201,93,181,384,104,60,55,DEN
Players,203999,Nikola Jokić,Nikola,1610612743,DEN,25.0,43,29,14,0.674,3.8,0.6,0.7,0.0,1.5,0.8,0.8,0.4,2.8,0.0,0.1,0.4,0.9,5.9,1,1,367,75,47,14,17,148,12,258,270,238,125,179,359,319,24,12,DEN
Players,203924,Jerami Grant,Jerami,1610612743,DEN,26.0,31,22,9,0.71,3.0,0.1,0.2,0.0,0.4,0.6,0.7,0.1,2.5,0.1,0.0,0.4,0.4,1.8,47,13,279,51,165,152,146,157,163,189,233,131,173,127,1,315,118,231,DEN
Players,1629008,Michael Porter Jr.,Michael,1610612743,DEN,22.0,8,6,2,0.75,4.3,0.4,0.9,0.0,0.5,1.0,1.0,0.8,1.0,0.1,0.3,0.3,0.6,3.6,285,210,82,38,15,40,5,157,126,305,308,395,357,66,437,192,54,81,DEN
Players,1628420,Monté Morris,Monté,1610612743,DEN,25.0,20,13,7,0.65,2.9,0.0,0.0,0.1,0.4,0.5,0.6,0.1,2.0,0.0,0.1,0.2,0.2,1.9,150,91,232,94,189,210,223,107,155,141,183,123,232,181,291,164,214,215,DEN
Players,203584,Troy Daniels,Troy,1610612743,DEN,28.0,3,2,1,0.667,1.5,0.0,0.0,1.0,0.0,0.3,0.0,0.0,3.3,0.0,0.0,0.0,0.0,1.0,364,321,28,77,353,210,223,4,296,116,1,1,67,181,1,1,319,327,DEN
Players,1629626,Bol Bol,Bol,1610612743,DEN,20.0,3,1,2,0.333,2.2,0.0,0.0,0.0,0.0,2.0,0.7,0.0,3.3,0.0,0.0,0.3,0.0,0.2,364,358,82,331,272,210,223,157,296,439,205,1,67,181,1,267,319,400,DEN
Players,203486,Mason Plumlee,Mason,1610612743,DEN,30.0,18,10,8,0.556,1.4,0.0,0.2,0.1,0.4,0.6,0.4,0.2,1.6,0.1,0.0,0.3,0.3,1.6,178,139,254,150,362,210,109,97,149,188,127,144,315,135,1,223,161,257,DEN
Players,1628470,Torrey Craig,Torrey,1610612743,DEN,29.0,23,17,6,0.739,2.0,0.0,0.2,0.0,0.2,0.5,0.3,0.1,1.5,0.1,0.0,0.3,0.1,1.6,122,40,208,43,296,210,114,157,249,148,118,128,328,100,1,212,267,259,DEN
Players,203115,Will Barton,Will,1610612743,DEN,29.0,32,19,13,0.594,3.4,0.1,0.2,0.0,0.3,0.7,1.0,0.5,3.3,0.0,0.0,0.3,0.4,2.7,44,26,357,137,112,193,128,156,192,227,307,280,75,169,259,192,121,139,DEN
