GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,USG_PCT_RANK,PCT_FGM_RANK,PCT_FGA_RANK,PCT_FG3M_RANK,PCT_FG3A_RANK,PCT_FTM_RANK,PCT_FTA_RANK,PCT_OREB_RANK,PCT_DREB_RANK,PCT_REB_RANK,PCT_AST_RANK,PCT_TOV_RANK,PCT_STL_RANK,PCT_BLK_RANK,PCT_BLKA_RANK,PCT_PF_RANK,PCT_PFD_RANK,PCT_PTS_RANK
Players,202718,Chandler Parsons,Chandler,1610612742,DAL,27.0,23,11,12,0.478,115.0,0.143,0.198,0.154,0.194,0.17,0.061,0.088,0.308,0.25,0.258,0.277,0.222,0.273,0.25,0.0,0.104,0.083,0.169,173,157,264,239,85,211,160,213,138,185,267,258,102,108,112,91,331,96,107,1,87,268,183
Players,101111,Charlie Villanueva,Charlie,1610612742,DAL,31.0,15,6,9,0.4,14.0,0.184,0.1,0.226,0.0,0.211,0.0,0.0,0.333,0.25,0.273,0.0,0.0,0.0,0.0,0.0,0.214,0.0,0.069,233,235,223,291,301,144,268,115,209,151,299,312,84,108,97,287,1,237,200,1,262,326,326
Players,101135,David Lee,David,1610612742,DAL,33.0,6,2,4,0.333,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,326,127,330,332,390,342,379,209,275,299,312,270,108,150,287,1,237,200,1,1,326,359
Players,101114,Deron Williams,Deron,1610612742,DAL,32.0,36,18,18,0.5,176.0,0.277,0.331,0.292,0.362,0.264,0.305,0.276,0.12,0.127,0.126,0.378,0.231,0.15,0.235,0.429,0.149,0.263,0.328,59,80,361,188,14,48,49,58,54,108,62,83,194,278,277,56,335,175,123,395,148,83,42
Players,2734,Devin Harris,Devin,1610612742,DAL,33.0,25,16,9,0.64,36.0,0.103,0.154,0.138,0.167,0.143,0.091,0.093,0.0,0.192,0.161,0.2,0.111,0.0,0.667,0.333,0.278,0.094,0.132,151,99,223,85,224,301,212,240,145,203,240,250,270,185,224,127,216,237,18,369,340,256,238
Players,1717,Dirk Nowitzki,Dirk,1610612742,DAL,38.0,44,23,21,0.523,193.0,0.279,0.286,0.297,0.25,0.283,0.289,0.257,0.24,0.285,0.277,0.2,0.194,0.286,0.211,0.105,0.315,0.287,0.282,12,19,402,180,6,47,77,53,101,98,73,98,130,82,95,127,303,89,130,253,371,72,62
Players,203939,Dwight Powell,Dwight,1610612742,DAL,24.0,19,13,6,0.684,12.0,0.091,0.0,0.0,0.0,0.0,0.267,0.222,0.0,0.286,0.222,0.0,0.333,0.0,0.0,0.0,0.3,0.143,0.148,203,129,174,58,314,317,342,379,209,275,89,118,270,76,150,287,380,237,200,1,361,206,210
Players,200826,J.J. Barea,J.J.,1610612742,DAL,32.0,27,13,14,0.481,66.0,0.232,0.22,0.248,0.214,0.26,0.185,0.139,0.25,0.186,0.196,0.292,0.333,0.286,0.0,0.286,0.056,0.241,0.213,131,129,298,234,164,82,130,100,125,113,145,204,120,193,186,81,380,89,200,351,66,101,138
Players,201580,JaVale McGee,JaVale,1610612742,DAL,28.0,4,2,2,0.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,339,326,75,188,350,390,342,379,209,275,299,312,270,41,51,287,1,237,200,1,406,326,359
Players,202379,Jeremy Evans,Jeremy,1610612742,DAL,28.0,1,0,1,0.0,1.0,0.167,0.5,0.167,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.4,404,408,31,408,404,171,7,188,209,275,299,1,270,356,370,287,1,237,200,1,299,1,20
Players,1626147,Justin Anderson,Justin,1610612742,DAL,22.0,10,4,6,0.4,13.0,0.115,0.25,0.111,0.0,0.0,0.2,0.25,0.5,0.333,0.375,0.0,0.0,0.5,1.0,0.0,0.2,0.125,0.217,277,270,174,291,310,280,93,282,209,275,131,100,32,41,34,287,1,15,1,1,229,225,129
Players,101109,Raymond Felton,Raymond,1610612742,DAL,32.0,40,22,18,0.55,137.0,0.191,0.157,0.177,0.1,0.143,0.315,0.33,0.059,0.177,0.159,0.158,0.091,0.227,0.0,0.2,0.194,0.232,0.195,28,25,361,150,43,134,207,179,186,203,57,56,248,202,232,166,200,127,200,301,223,109,153
Players,1626257,Salah Mejri,Salah,1610612742,DAL,30.0,3,2,1,0.667,10.0,0.087,0.125,0.053,0.0,0.0,0.0,0.333,0.0,0.364,0.308,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.087,357,326,31,61,324,325,236,367,209,275,299,50,270,29,75,287,1,237,1,1,1,44,306
Players,202083,Wesley Matthews,Wesley,1610612742,DAL,29.0,46,24,22,0.522,190.0,0.159,0.16,0.18,0.264,0.276,0.081,0.076,0.045,0.123,0.112,0.145,0.154,0.269,0.063,0.167,0.212,0.105,0.155,9,14,412,181,8,184,203,175,98,101,255,270,260,286,297,176,264,100,189,285,258,249,202
Players,2585,Zaza Pachulia,Zaza,1610612742,DAL,32.0,39,21,18,0.538,154.0,0.094,0.061,0.066,0.0,0.011,0.145,0.188,0.474,0.23,0.269,0.078,0.269,0.091,0.143,0.333,0.245,0.222,0.075,32,33,361,161,27,313,316,354,209,273,182,154,48,139,102,248,359,215,156,369,297,120,320
