season,team_id,game_id,game_date,away_team,home_team,opponent_id,game_no,pf,opp_pf,wl
2016-17,1610612762,21600002,2016-10-25,UTA,POR,1610612757,1,104,113,L
2016-17,1610612762,21600024,2016-10-28,LAL,UTA,1610612747,2,96,89,W
2016-17,1610612762,21600035,2016-10-30,UTA,LAC,1610612746,3,75,88,L
2016-17,1610612762,21600053,2016-11-01,UTA,SAS,1610612759,4,106,91,W
2016-17,1610612762,21600062,2016-11-02,DAL,UTA,1610612742,5,97,81,W
2016-17,1610612762,21600077,2016-11-04,SAS,UTA,1610612759,6,86,100,L
2016-17,1610612762,21600087,2016-11-06,UTA,NYK,1610612752,7,114,109,W
2016-17,1610612762,21600093,2016-11-07,UTA,PHI,1610612755,8,109,84,W
2016-17,1610612762,21600108,2016-11-09,UTA,CHA,1610612766,9,98,104,L
2016-17,1610612762,21600124,2016-11-11,UTA,ORL,1610612753,10,87,74,W
2016-17,1610612762,21600136,2016-11-12,UTA,MIA,1610612748,11,102,91,W
2016-17,1610612762,21600151,2016-11-14,MEM,UTA,1610612763,12,96,102,L
2016-17,1610612762,21600173,2016-11-17,CHI,UTA,1610612741,13,77,85,L
2016-17,1610612762,21600184,2016-11-19,UTA,HOU,1610612745,14,102,111,L
2016-17,1610612762,21600197,2016-11-20,UTA,DEN,1610612743,15,91,105,L
2016-17,1610612762,21600221,2016-11-23,DEN,UTA,1610612743,16,108,83,W
2016-17,1610612762,21600231,2016-11-25,ATL,UTA,1610612737,17,95,68,W
2016-17,1610612762,21600258,2016-11-28,UTA,MIN,1610612750,18,112,103,W
2016-17,1610612762,21600265,2016-11-29,HOU,UTA,1610612745,19,120,101,W
2016-17,1610612762,21600280,2016-12-01,MIA,UTA,1610612748,20,110,111,L
2016-17,1610612762,21600297,2016-12-03,DEN,UTA,1610612743,21,105,98,W
2016-17,1610612762,21600313,2016-12-05,UTA,LAL,1610612747,22,107,101,W
2016-17,1610612762,21600320,2016-12-06,PHX,UTA,1610612756,23,112,105,W
2016-17,1610612762,21600335,2016-12-08,GSW,UTA,1610612744,24,99,106,L
2016-17,1610612762,21600354,2016-12-10,SAC,UTA,1610612758,25,104,84,W
