game_id,game_date,away_team,home_team,pf,opp_pf,round,game_no_in_series
41600171,2017-04-15,UTA,LAC,97,95.0,rnd1,1
41600172,2017-04-18,UTA,LAC,91,99.0,rnd1,2
41600173,2017-04-21,LAC,UTA,106,111.0,rnd1,3
41600174,2017-04-23,LAC,UTA,105,98.0,rnd1,4
41600175,2017-04-25,UTA,LAC,96,92.0,rnd1,5
41600176,2017-04-28,LAC,UTA,93,98.0,rnd1,6
41600177,2017-04-30,UTA,LAC,104,91.0,rnd1,7
41600221,2017-05-02,UTA,GSW,94,106.0,sf,1
41600222,2017-05-04,UTA,GSW,104,115.0,sf,2
41600223,2017-05-06,GSW,UTA,91,102.0,sf,3
41600224,2017-05-08,GSW,UTA,95,121.0,sf,4
