team,game_id,game_date,away_team,home_team,pf,opp_pf,round,game_no_in_series
BOS,42400111,2025-04-20,ORL,BOS,103,86.0,rnd1,1
BOS,42400112,2025-04-23,ORL,BOS,109,100.0,rnd1,2
BOS,42400113,2025-04-25,BOS,ORL,93,95.0,rnd1,3
BOS,42400114,2025-04-27,BOS,ORL,107,98.0,rnd1,4
BOS,42400115,2025-04-29,ORL,BOS,120,89.0,rnd1,5
BOS,42400211,2025-05-05,NYK,BOS,105,108.0,sf,1
BOS,42400212,2025-05-07,NYK,BOS,90,91.0,sf,2
BOS,42400213,2025-05-10,BOS,NYK,115,93.0,sf,3
BOS,42400214,2025-05-12,BOS,NYK,113,121.0,sf,4
BOS,42400215,2025-05-14,NYK,BOS,127,102.0,sf,5
BOS,42400216,2025-05-16,BOS,NYK,81,119.0,sf,6
CLE,42400101,2025-04-20,MIA,CLE,121,100.0,rnd1,1
CLE,42400102,2025-04-23,MIA,CLE,121,112.0,rnd1,2
CLE,42400103,2025-04-26,CLE,MIA,124,87.0,rnd1,3
CLE,42400104,2025-04-28,CLE,MIA,138,83.0,rnd1,4
CLE,42400201,2025-05-04,IND,CLE,112,121.0,sf,1
CLE,42400202,2025-05-06,IND,CLE,119,120.0,sf,2
CLE,42400203,2025-05-09,CLE,IND,126,104.0,sf,3
CLE,42400204,2025-05-11,CLE,IND,109,129.0,sf,4
CLE,42400205,2025-05-13,IND,CLE,105,114.0,sf,5
DEN,42400171,2025-04-19,LAC,DEN,112,110.0,rnd1,1
DEN,42400172,2025-04-21,LAC,DEN,102,105.0,rnd1,2
DEN,42400173,2025-04-24,DEN,LAC,83,117.0,rnd1,3
DEN,42400174,2025-04-26,DEN,LAC,101,99.0,rnd1,4
DEN,42400175,2025-04-29,LAC,DEN,131,115.0,rnd1,5
DEN,42400176,2025-05-01,DEN,LAC,105,111.0,rnd1,6
DEN,42400177,2025-05-03,LAC,DEN,120,101.0,rnd1,7
DEN,42400221,2025-05-05,DEN,OKC,121,119.0,sf,1
DEN,42400222,2025-05-07,DEN,OKC,106,149.0,sf,2
DEN,42400223,2025-05-09,OKC,DEN,113,104.0,sf,3
DEN,42400224,2025-05-11,OKC,DEN,87,92.0,sf,4
DEN,42400225,2025-05-13,DEN,OKC,105,112.0,sf,5
DEN,42400226,2025-05-15,OKC,DEN,119,107.0,sf,6
DEN,42400227,2025-05-18,DEN,OKC,93,125.0,sf,7
DET,42400121,2025-04-19,DET,NYK,112,123.0,rnd1,1
DET,42400122,2025-04-21,DET,NYK,100,94.0,rnd1,2
DET,42400123,2025-04-24,NYK,DET,116,118.0,rnd1,3
DET,42400124,2025-04-27,NYK,DET,93,94.0,rnd1,4
DET,42400125,2025-04-29,DET,NYK,106,103.0,rnd1,5
DET,42400126,2025-05-01,NYK,DET,113,116.0,rnd1,6
GSW,42400151,2025-04-20,GSW,HOU,95,85.0,rnd1,1
GSW,42400152,2025-04-23,GSW,HOU,94,109.0,rnd1,2
GSW,42400153,2025-04-26,HOU,GSW,104,93.0,rnd1,3
