season,team_id,team,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2021-22,1610612737,ATL,42100101,2022-04-17,ATL,MIA,1610612748,91,115,L,-24,rnd1,1
2021-22,1610612737,ATL,42100102,2022-04-19,ATL,MIA,1610612748,105,115,L,-10,rnd1,2
2021-22,1610612737,ATL,42100103,2022-04-22,MIA,ATL,1610612748,111,110,W,1,rnd1,3
2021-22,1610612737,ATL,42100104,2022-04-24,MIA,ATL,1610612748,86,110,L,-24,rnd1,4
2021-22,1610612737,ATL,42100105,2022-04-26,ATL,MIA,1610612748,94,97,L,-3,rnd1,5
2021-22,1610612751,BKN,42100111,2022-04-17,BKN,BOS,1610612738,114,115,L,-1,rnd1,1
2021-22,1610612751,BKN,42100112,2022-04-20,BKN,BOS,1610612738,107,114,L,-7,rnd1,2
2021-22,1610612751,BKN,42100113,2022-04-23,BOS,BKN,1610612738,103,109,L,-6,rnd1,3
2021-22,1610612751,BKN,42100114,2022-04-25,BOS,BKN,1610612738,112,116,L,-4,rnd1,4
2021-22,1610612738,BOS,42100111,2022-04-17,BKN,BOS,1610612751,115,114,W,1,rnd1,1
2021-22,1610612738,BOS,42100112,2022-04-20,BKN,BOS,1610612751,114,107,W,7,rnd1,2
2021-22,1610612738,BOS,42100113,2022-04-23,BOS,BKN,1610612751,109,103,W,6,rnd1,3
2021-22,1610612738,BOS,42100114,2022-04-25,BOS,BKN,1610612751,116,112,W,4,rnd1,4
2021-22,1610612738,BOS,42100211,2022-05-01,MIL,BOS,1610612749,89,101,L,-12,sf,1
2021-22,1610612738,BOS,42100212,2022-05-03,MIL,BOS,1610612749,109,86,W,23,sf,2
2021-22,1610612738,BOS,42100213,2022-05-07,BOS,MIL,1610612749,101,103,L,-2,sf,3
2021-22,1610612738,BOS,42100214,2022-05-09,BOS,MIL,1610612749,116,108,W,8,sf,4
2021-22,1610612738,BOS,42100215,2022-05-11,MIL,BOS,1610612749,107,110,L,-3,sf,5
2021-22,1610612738,BOS,42100216,2022-05-13,BOS,MIL,1610612749,108,95,W,13,sf,6
2021-22,1610612738,BOS,42100217,2022-05-15,MIL,BOS,1610612749,109,81,W,28,sf,7
2021-22,1610612738,BOS,42100301,2022-05-17,BOS,MIA,1610612748,107,118,L,-11,conf,1
2021-22,1610612738,BOS,42100302,2022-05-19,BOS,MIA,1610612748,127,102,W,25,conf,2
2021-22,1610612738,BOS,42100303,2022-05-21,MIA,BOS,1610612748,103,109,L,-6,conf,3
2021-22,1610612738,BOS,42100304,2022-05-23,MIA,BOS,1610612748,102,82,W,20,conf,4
2021-22,1610612738,BOS,42100305,2022-05-25,BOS,MIA,1610612748,93,80,W,13,conf,5
2021-22,1610612738,BOS,42100306,2022-05-27,MIA,BOS,1610612748,103,111,L,-8,conf,6
2021-22,1610612738,BOS,42100307,2022-05-29,BOS,MIA,1610612748,100,96,W,4,conf,7
2021-22,1610612738,BOS,42100401,2022-06-02,BOS,GSW,1610612744,120,108,W,12,finals,1
2021-22,1610612738,BOS,42100402,2022-06-05,BOS,GSW,1610612744,88,107,L,-19,finals,2
2021-22,1610612738,BOS,42100403,2022-06-08,GSW,BOS,1610612744,116,100,W,16,finals,3
2021-22,1610612738,BOS,42100404,2022-06-10,GSW,BOS,1610612744,97,107,L,-10,finals,4
2021-22,1610612738,BOS,42100405,2022-06-13,BOS,GSW,1610612744,94,104,L,-10,finals,5
2021-22,1610612738,BOS,42100406,2022-06-16,GSW,BOS,1610612744,90,103,L,-13,finals,6
2021-22,1610612741,CHI,42100121,2022-04-17,CHI,MIL,1610612749,86,93,L,-7,rnd1,1
2021-22,1610612741,CHI,42100122,2022-04-20,CHI,MIL,1610612749,114,110,W,4,rnd1,2
2021-22,1610612741,CHI,42100123,2022-04-22,MIL,CHI,1610612749,81,111,L,-30,rnd1,3
2021-22,1610612741,CHI,42100124,2022-04-24,MIL,CHI,1610612749,95,119,L,-24,rnd1,4
2021-22,1610612741,CHI,42100125,2022-04-27,CHI,MIL,1610612749,100,116,L,-16,rnd1,5
2021-22,1610612742,DAL,42100171,2022-04-16,UTA,DAL,1610612762,93,99,L,-6,rnd1,1
2021-22,1610612742,DAL,42100172,2022-04-18,UTA,DAL,1610612762,110,104,W,6,rnd1,2
2021-22,1610612742,DAL,42100173,2022-04-21,DAL,UTA,1610612762,126,118,W,8,rnd1,3
2021-22,1610612742,DAL,42100174,2022-04-23,DAL,UTA,1610612762,99,100,L,-1,rnd1,4
2021-22,1610612742,DAL,42100175,2022-04-25,UTA,DAL,1610612762,102,77,W,25,rnd1,5
2021-22,1610612742,DAL,42100176,2022-04-28,DAL,UTA,1610612762,98,96,W,2,rnd1,6
2021-22,1610612742,DAL,42100221,2022-05-02,DAL,PHX,1610612756,114,121,L,-7,sf,1
2021-22,1610612742,DAL,42100222,2022-05-04,DAL,PHX,1610612756,109,129,L,-20,sf,2
2021-22,1610612742,DAL,42100223,2022-05-06,PHX,DAL,1610612756,103,94,W,9,sf,3
2021-22,1610612742,DAL,42100224,2022-05-08,PHX,DAL,1610612756,111,101,W,10,sf,4
2021-22,1610612742,DAL,42100225,2022-05-10,DAL,PHX,1610612756,80,110,L,-30,sf,5
2021-22,1610612742,DAL,42100226,2022-05-12,PHX,DAL,1610612756,113,86,W,27,sf,6
2021-22,1610612742,DAL,42100227,2022-05-15,DAL,PHX,1610612756,123,90,W,33,sf,7
2021-22,1610612742,DAL,42100311,2022-05-18,DAL,GSW,1610612744,87,112,L,-25,conf,1
2021-22,1610612742,DAL,42100312,2022-05-20,DAL,GSW,1610612744,117,126,L,-9,conf,2
2021-22,1610612742,DAL,42100313,2022-05-22,GSW,DAL,1610612744,100,109,L,-9,conf,3
2021-22,1610612742,DAL,42100314,2022-05-24,GSW,DAL,1610612744,119,109,W,10,conf,4
2021-22,1610612742,DAL,42100315,2022-05-26,DAL,GSW,1610612744,110,120,L,-10,conf,5
2021-22,1610612743,DEN,42100161,2022-04-16,DEN,GSW,1610612744,107,123,L,-16,rnd1,1
2021-22,1610612743,DEN,42100162,2022-04-18,DEN,GSW,1610612744,106,126,L,-20,rnd1,2
2021-22,1610612743,DEN,42100163,2022-04-21,GSW,DEN,1610612744,113,118,L,-5,rnd1,3
2021-22,1610612743,DEN,42100164,2022-04-24,GSW,DEN,1610612744,126,121,W,5,rnd1,4
2021-22,1610612743,DEN,42100165,2022-04-27,DEN,GSW,1610612744,98,102,L,-4,rnd1,5
2021-22,1610612744,GSW,42100161,2022-04-16,DEN,GSW,1610612743,123,107,W,16,rnd1,1
2021-22,1610612744,GSW,42100162,2022-04-18,DEN,GSW,1610612743,126,106,W,20,rnd1,2
2021-22,1610612744,GSW,42100163,2022-04-21,GSW,DEN,1610612743,118,113,W,5,rnd1,3
2021-22,1610612744,GSW,42100164,2022-04-24,GSW,DEN,1610612743,121,126,L,-5,rnd1,4
2021-22,1610612744,GSW,42100165,2022-04-27,DEN,GSW,1610612743,102,98,W,4,rnd1,5
2021-22,1610612744,GSW,42100231,2022-05-01,GSW,MEM,1610612763,117,116,W,1,sf,1
2021-22,1610612744,GSW,42100232,2022-05-03,GSW,MEM,1610612763,101,106,L,-5,sf,2
2021-22,1610612744,GSW,42100233,2022-05-07,MEM,GSW,1610612763,142,112,W,30,sf,3
2021-22,1610612744,GSW,42100234,2022-05-09,MEM,GSW,1610612763,101,98,W,3,sf,4
2021-22,1610612744,GSW,42100235,2022-05-11,GSW,MEM,1610612763,95,134,L,-39,sf,5
