season,team_id,team,game_id,game_date,away_team,home_team,opponent,opponent_id,game_week,pf,opp_pf,wl,differential
2021-22,1610612737,ATL,22100014,2021-10-21,DAL,ATL,DAL,1610612742,1,113,87,W,26
2021-22,1610612737,ATL,22100027,2021-10-23,ATL,CLE,CLE,1610612739,2,95,101,L,-6
2021-22,1610612737,ATL,22100043,2021-10-25,DET,ATL,DET,1610612765,3,122,104,W,18
2021-22,1610612737,ATL,22100059,2021-10-27,ATL,NOP,NOP,1610612740,4,102,99,W,3
2021-22,1610612737,ATL,22100066,2021-10-28,ATL,WAS,WAS,1610612764,5,111,122,L,-11
2021-22,1610612737,ATL,22100082,2021-10-30,ATL,PHI,PHI,1610612755,6,94,122,L,-28
2021-22,1610612737,ATL,22100097,2021-11-01,WAS,ATL,WAS,1610612764,7,118,111,W,7
2021-22,1610612737,ATL,22100113,2021-11-03,ATL,BKN,BKN,1610612751,8,108,117,L,-9
2021-22,1610612737,ATL,22100120,2021-11-04,UTA,ATL,UTA,1610612762,9,98,116,L,-18
2021-22,1610612737,ATL,22100137,2021-11-06,ATL,PHX,PHX,1610612756,10,117,121,L,-4
2021-22,1610612737,ATL,22100152,2021-11-08,ATL,GSW,GSW,1610612744,11,113,127,L,-14
2021-22,1610612737,ATL,22100156,2021-11-09,ATL,UTA,UTA,1610612762,12,98,110,L,-12
2021-22,1610612737,ATL,22100182,2021-11-12,ATL,DEN,DEN,1610612743,13,96,105,L,-9
2021-22,1610612737,ATL,22100193,2021-11-14,MIL,ATL,MIL,1610612749,14,120,100,W,20
2021-22,1610612737,ATL,22100202,2021-11-15,ORL,ATL,ORL,1610612753,15,129,111,W,18
2021-22,1610612737,ATL,22100215,2021-11-17,BOS,ATL,BOS,1610612738,16,110,99,W,11
2021-22,1610612737,ATL,22100242,2021-11-20,CHA,ATL,CHA,1610612766,17,115,105,W,10
2021-22,1610612737,ATL,22100255,2021-11-22,OKC,ATL,OKC,1610612760,18,113,101,W,12
2021-22,1610612737,ATL,22100277,2021-11-24,ATL,SAS,SAS,1610612759,19,124,106,W,18
2021-22,1610612737,ATL,22100285,2021-11-26,ATL,MEM,MEM,1610612763,20,132,100,W,32
2021-22,1610612737,ATL,22100293,2021-11-27,NYK,ATL,NYK,1610612752,21,90,99,L,-9
2021-22,1610612737,ATL,22100319,2021-12-01,ATL,IND,IND,1610612754,22,114,111,W,3
2021-22,1610612737,ATL,22100335,2021-12-03,PHI,ATL,PHI,1610612755,23,96,98,L,-2
2021-22,1610612737,ATL,22100350,2021-12-05,CHA,ATL,CHA,1610612766,24,127,130,L,-3
2021-22,1610612737,ATL,22100359,2021-12-06,ATL,MIN,MIN,1610612750,25,121,110,W,11
2021-22,1610612737,ATL,22100384,2021-12-10,BKN,ATL,BKN,1610612751,26,105,113,L,-8
2021-22,1610612737,ATL,22100407,2021-12-13,HOU,ATL,HOU,1610612745,27,126,132,L,-6
2021-22,1610612737,ATL,22100418,2021-12-15,ATL,ORL,ORL,1610612753,28,111,99,W,12
2021-22,1610612737,ATL,22100434,2021-12-17,DEN,ATL,DEN,1610612743,29,115,133,L,-18
2021-22,1610612737,ATL,22100470,2021-12-22,ORL,ATL,ORL,1610612753,30,98,104,L,-6
2021-22,1610612737,ATL,22100478,2021-12-23,ATL,PHI,PHI,1610612755,31,98,96,W,2
2021-22,1610612737,ATL,22100488,2021-12-25,ATL,NYK,NYK,1610612752,32,87,101,L,-14
2021-22,1610612737,ATL,22100502,2021-12-27,CHI,ATL,CHI,1610612741,33,118,130,L,-12
2021-22,1610612737,ATL,22100519,2021-12-29,ATL,CHI,CHI,1610612741,34,117,131,L,-14
2021-22,1610612737,ATL,22100533,2021-12-31,ATL,CLE,CLE,1610612739,35,121,118,W,3
2021-22,1610612737,ATL,22100560,2022-01-03,ATL,POR,POR,1610612757,36,131,136,L,-5
2021-22,1610612737,ATL,22100577,2022-01-05,ATL,SAC,SAC,1610612758,37,108,102,W,6
2021-22,1610612737,ATL,22100589,2022-01-07,ATL,LAL,LAL,1610612747,38,118,134,L,-16
